"dataset","blockForm","testAccuracy","nhidden","valAccuracy","learningrate","bottleneck","nblocks"
"waveform","diavolo",0.816799879074097,256,0.844035130739212,0.01,0.25,8
"waveform","diavolo",0.820799946784973,1024,0.843508797883987,0.01,0.5,16
"waveform","rect",0.815199911594391,256,0.843508785963059,0.01,0.25,16
"waveform","rect",0.815199971199036,512,0.842807006835937,0.01,0.25,8
"waveform","rect",0.813599944114685,512,0.842631620168686,0.01,0.25,3
"waveform","diavolo",0.82479989528656,256,0.841754442453384,0.01,0.5,3
"waveform","rect",0.808000028133392,256,0.840701812505722,0.01,0.25,8
"waveform","rect",0.819999992847443,1024,0.835964941978455,0.1,0.25,4
"waveform","rect",0.818399965763092,512,0.835438585281372,0.01,0.5,8
"waveform","diavolo",0.811999976634979,512,0.834035092592239,0.01,0.25,2
"waveform","rect",0.764800012111664,256,0.832280731201172,0.1,0.25,16
"waveform","rect",0.812799990177155,1024,0.832105278968811,0.01,0.5,3
"waveform","rect",0.804800033569336,512,0.831929856538773,0.01,0.5,16
"waveform","rect",0.796799957752228,1024,0.829649138450623,0.01,0.5,8
"waveform","rect",0.818399906158447,256,0.825614011287689,0.01,0.25,4
"waveform","diavolo",0.808799982070923,1024,0.824035108089447,0.01,0.5,3
"waveform","rect",0.769600033760071,512,0.821929830312729,0.1,0.5,8
"waveform","diavolo",0.839999973773956,1024,0.745789527893066,0.1,0.5,8
"waveform","rect",0.667999982833862,1024,0.740877217054367,0.1,0.5,3
"waveform","rect",0.692799925804138,256,0.681754404306412,0.1,0.5,16
"waveform","rect",0.328799962997437,512,0.32684211730957,0.1,0.25,8
"waveform","rect",0.331200003623962,1024,0.322280713915825,0.1,0.5,4
"waveform","rect",0.33119997382164,1024,0.318596494197846,0.1,0.5,8
"waveform","diavolo",0.331200003623962,512,0.315964913368225,1,0.25,2
"waveform","diavolo",0.331200003623962,256,0.315263158082962,1,0.5,2
"waveform","rect",0.331200003623962,1024,0.314035087823868,0.1,0.25,16
"waveform","rect",0.331200003623962,1024,0.314035087823868,0.1,0.5,16
"waveform","diavolo",0.331200003623962,1024,0.314035087823868,0.1,0.5,16
"waveform","rect",0.331200003623962,512,0.314035087823868,0.1,0.25,16
"waveform","rect",0.331200003623962,512,0.314035087823868,0.1,0.5,16
"waveform","rect",0.331200003623962,1024,0.314035087823868,1,0.25,16
"waveform","rect",0.331200003623962,1024,0.314035087823868,1,0.5,16
"waveform","diavolo",0.331200003623962,1024,0.314035087823868,1,0.25,16
"waveform","diavolo",0.331200003623962,1024,0.314035087823868,1,0.5,16
"waveform","rect",0.331200003623962,512,0.314035087823868,1,0.25,16
"waveform","rect",0.331200003623962,512,0.314035087823868,1,0.5,16
"waveform","diavolo",0.331200003623962,512,0.314035087823868,1,0.25,16
"waveform","diavolo",0.331200003623962,512,0.314035087823868,1,0.5,16
"waveform","rect",0.331200003623962,256,0.314035087823868,1,0.25,16
"waveform","rect",0.331200003623962,256,0.314035087823868,1,0.5,16
"waveform","diavolo",0.331200003623962,256,0.314035087823868,1,0.25,16
"waveform","diavolo",0.331200003623962,256,0.314035087823868,1,0.5,16
"waveform","rect",0.331200003623962,1024,0.314035087823868,0.1,0.25,8
"waveform","rect",0.331200003623962,1024,0.314035087823868,1,0.25,8
"waveform","rect",0.331200003623962,1024,0.314035087823868,1,0.5,8
"waveform","diavolo",0.331200003623962,1024,0.314035087823868,1,0.25,8
"waveform","diavolo",0.331200003623962,1024,0.314035087823868,1,0.5,8
"waveform","rect",0.331200003623962,512,0.314035087823868,1,0.25,8
"waveform","rect",0.331200003623962,512,0.314035087823868,1,0.5,8
"waveform","diavolo",0.331200003623962,512,0.314035087823868,1,0.25,8
"waveform","diavolo",0.33119997382164,512,0.314035087823868,1,0.5,8
"waveform","rect",0.331200003623962,256,0.314035087823868,1,0.25,8
"waveform","rect",0.331200003623962,256,0.314035087823868,1,0.5,8
"waveform","diavolo",0.331200003623962,256,0.314035087823868,1,0.25,8
"waveform","diavolo",0.331200003623962,256,0.314035087823868,1,0.5,8
"waveform","rect",0.331200003623962,1024,0.314035087823868,1,0.25,4
"waveform","rect",0.331200003623962,1024,0.314035087823868,1,0.5,4
"waveform","diavolo",0.331200003623962,1024,0.314035087823868,1,0.25,4
"waveform","diavolo",0.331200003623962,1024,0.314035087823868,1,0.5,4
"waveform","rect",0.331200003623962,512,0.314035087823868,1,0.25,4
"waveform","rect",0.331200003623962,512,0.314035087823868,1,0.5,4
"waveform","diavolo",0.331199944019318,512,0.314035087823868,1,0.25,4
"waveform","diavolo",0.331200003623962,512,0.314035087823868,1,0.5,4
"waveform","rect",0.331200003623962,256,0.314035087823868,1,0.25,4
"waveform","rect",0.331200003623962,256,0.314035087823868,1,0.5,4
"waveform","diavolo",0.331200003623962,256,0.314035087823868,1,0.25,4
"waveform","diavolo",0.331200003623962,256,0.314035087823868,1,0.5,4
"waveform","rect",0.331200003623962,1024,0.314035087823868,1,0.25,3
"waveform","rect",0.331200003623962,1024,0.314035087823868,1,0.5,3
"waveform","diavolo",0.331200003623962,1024,0.314035087823868,1,0.25,3
"waveform","diavolo",0.33119997382164,1024,0.314035087823868,1,0.5,3
"waveform","rect",0.331200003623962,512,0.314035087823868,1,0.25,3
"waveform","rect",0.331200003623962,512,0.314035087823868,1,0.5,3
"waveform","diavolo",0.33119997382164,512,0.314035087823868,1,0.25,3
"waveform","diavolo",0.331200003623962,512,0.314035087823868,1,0.5,3
"waveform","rect",0.331199944019318,256,0.314035087823868,1,0.25,3
"waveform","rect",0.331200003623962,256,0.314035087823868,1,0.5,3
"waveform","diavolo",0.331200003623962,256,0.314035087823868,1,0.25,3
"waveform","diavolo",0.331200003623962,256,0.314035087823868,1,0.5,3
"waveform","rect",0.331200003623962,1024,0.314035087823868,1,0.25,2
"waveform","rect",0.331200003623962,1024,0.314035087823868,1,0.5,2
"waveform","diavolo",0.331200003623962,1024,0.314035087823868,1,0.25,2
"waveform","diavolo",0.331200003623962,1024,0.314035087823868,1,0.5,2
"waveform","rect",0.331200003623962,512,0.314035087823868,1,0.25,2
"waveform","rect",0.331200003623962,512,0.314035087823868,1,0.5,2
"waveform","diavolo",0.331200003623962,512,0.314035087823868,1,0.5,2
"waveform","rect",0.331200003623962,256,0.314035087823868,1,0.25,2
"waveform","rect",0.331200003623962,256,0.314035087823868,1,0.5,2
"waveform","diavolo",0.331200003623962,256,0.314035087823868,1,0.25,2
