"dataset","testAccuracy","nhidden","blockForm","nblocks","bottleneck","valAccuracy","learningrate"
"ozone",0.966877043247223,1024,"diavolo",3,0.25,0.990875917673111,0.01
"ozone",0.97003173828125,256,"diavolo",2,0.25,0.990145993232727,0.01
"ozone",0.971608877182007,1024,"diavolo",8,0.5,0.989416062831879,0.01
"ozone",0.971608996391296,1024,"rect",16,0.5,0.989051103591919,0.01
"ozone",0.971608936786652,512,"rect",16,0.25,0.989051103591919,0.01
"ozone",0.971608936786652,256,"rect",16,0.25,0.989051103591919,0.01
"ozone",0.971608877182007,1024,"rect",16,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,1024,"rect",16,0.5,0.989051103591919,0.1
"ozone",0.971608996391296,1024,"diavolo",16,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,1024,"diavolo",16,0.5,0.989051103591919,0.1
"ozone",0.971608996391296,512,"rect",16,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,512,"diavolo",16,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,512,"diavolo",16,0.5,0.989051103591919,0.1
"ozone",0.971608877182007,256,"rect",16,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,256,"rect",16,0.5,0.989051103591919,0.1
"ozone",0.971608877182007,256,"diavolo",16,0.5,0.989051103591919,0.1
"ozone",0.971608877182007,1024,"rect",16,0.25,0.989051103591919,1
"ozone",0.971608877182007,1024,"rect",16,0.5,0.989051103591919,1
"ozone",0.971608936786652,1024,"diavolo",16,0.25,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",16,0.25,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",16,0.5,0.989051103591919,1
"ozone",0.971608877182007,512,"diavolo",16,0.25,0.989051103591919,1
"ozone",0.971608877182007,512,"diavolo",16,0.5,0.989051103591919,1
"ozone",0.971608877182007,256,"rect",16,0.25,0.989051103591919,1
"ozone",0.971608996391296,256,"diavolo",16,0.25,0.989051103591919,1
"ozone",0.971608877182007,256,"diavolo",16,0.5,0.989051103591919,1
"ozone",0.971608996391296,1024,"rect",8,0.25,0.989051103591919,0.01
"ozone",0.971608877182007,1024,"rect",8,0.5,0.989051103591919,0.01
"ozone",0.97003161907196,1024,"diavolo",8,0.25,0.989051103591919,0.01
"ozone",0.973186254501343,512,"rect",8,0.5,0.989051103591919,0.01
"ozone",0.971608877182007,512,"diavolo",8,0.5,0.989051103591919,0.01
"ozone",0.971608877182007,256,"rect",8,0.25,0.989051103591919,0.01
"ozone",0.971608877182007,1024,"rect",8,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,1024,"rect",8,0.5,0.989051103591919,0.1
"ozone",0.971608877182007,1024,"diavolo",8,0.5,0.989051103591919,0.1
"ozone",0.971608996391296,512,"rect",8,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,512,"rect",8,0.5,0.989051103591919,0.1
"ozone",0.971608877182007,512,"diavolo",8,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,256,"rect",8,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,256,"rect",8,0.5,0.989051103591919,0.1
"ozone",0.971608877182007,256,"diavolo",8,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,1024,"rect",8,0.25,0.989051103591919,1
"ozone",0.971608877182007,1024,"rect",8,0.5,0.989051103591919,1
"ozone",0.971608877182007,1024,"diavolo",8,0.25,0.989051103591919,1
"ozone",0.971608877182007,1024,"diavolo",8,0.5,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",8,0.25,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",8,0.5,0.989051103591919,1
"ozone",0.971608877182007,512,"diavolo",8,0.25,0.989051103591919,1
"ozone",0.971608877182007,512,"diavolo",8,0.5,0.989051103591919,1
"ozone",0.971608877182007,256,"rect",8,0.25,0.989051103591919,1
"ozone",0.971608877182007,256,"rect",8,0.5,0.989051103591919,1
"ozone",0.971608996391296,256,"diavolo",8,0.25,0.989051103591919,1
"ozone",0.971608877182007,256,"diavolo",8,0.5,0.989051103591919,1
"ozone",0.971608877182007,1024,"rect",4,0.25,0.989051103591919,0.01
"ozone",0.97003161907196,1024,"rect",4,0.5,0.989051103591919,0.01
"ozone",0.971608936786652,256,"rect",4,0.25,0.989051103591919,0.01
"ozone",0.97003161907196,256,"diavolo",4,0.25,0.989051103591919,0.01
"ozone",0.971608877182007,1024,"rect",4,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,1024,"diavolo",4,0.5,0.989051103591919,0.1
"ozone",0.971608996391296,512,"rect",4,0.25,0.989051103591919,0.1
"ozone",0.971608996391296,512,"rect",4,0.5,0.989051103591919,0.1
"ozone",0.973186254501343,256,"rect",4,0.25,0.989051103591919,0.1
"ozone",0.973186254501343,256,"rect",4,0.5,0.989051103591919,0.1
"ozone",0.971608877182007,256,"diavolo",4,0.25,0.989051103591919,0.1
"ozone",0.971608996391296,1024,"rect",4,0.25,0.989051103591919,1
"ozone",0.971608877182007,1024,"rect",4,0.5,0.989051103591919,1
"ozone",0.971608877182007,1024,"diavolo",4,0.25,0.989051103591919,1
"ozone",0.971608877182007,1024,"diavolo",4,0.5,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",4,0.25,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",4,0.5,0.989051103591919,1
"ozone",0.971608877182007,512,"diavolo",4,0.25,0.989051103591919,1
"ozone",0.971608996391296,512,"diavolo",4,0.5,0.989051103591919,1
"ozone",0.971608877182007,256,"rect",4,0.25,0.989051103591919,1
"ozone",0.971608877182007,256,"rect",4,0.5,0.989051103591919,1
"ozone",0.971608877182007,256,"diavolo",4,0.25,0.989051103591919,1
"ozone",0.971608877182007,1024,"rect",3,0.25,0.989051103591919,0.01
"ozone",0.971608877182007,1024,"rect",3,0.5,0.989051103591919,0.01
"ozone",0.973186194896698,1024,"diavolo",3,0.5,0.989051103591919,0.01
"ozone",0.971608877182007,512,"diavolo",3,0.25,0.989051103591919,0.01
"ozone",0.97003161907196,256,"diavolo",3,0.5,0.989051103591919,0.01
"ozone",0.971608877182007,1024,"rect",3,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,1024,"rect",3,0.5,0.989051103591919,0.1
"ozone",0.971608877182007,512,"rect",3,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,512,"rect",3,0.5,0.989051103591919,0.1
"ozone",0.971608877182007,256,"rect",3,0.25,0.989051103591919,0.1
"ozone",0.971608877182007,256,"rect",3,0.5,0.989051103591919,0.1
"ozone",0.973186254501343,256,"diavolo",3,0.25,0.989051103591919,0.1
"ozone",0.971608996391296,256,"diavolo",3,0.5,0.989051103591919,0.1
"ozone",0.971608877182007,1024,"rect",3,0.25,0.989051103591919,1
"ozone",0.971608996391296,1024,"rect",3,0.5,0.989051103591919,1
"ozone",0.971608877182007,1024,"diavolo",3,0.25,0.989051103591919,1
"ozone",0.971608877182007,1024,"diavolo",3,0.5,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",3,0.25,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",3,0.5,0.989051103591919,1
"ozone",0.971608996391296,512,"diavolo",3,0.25,0.989051103591919,1
"ozone",0.971608877182007,512,"diavolo",3,0.5,0.989051103591919,1
"ozone",0.971608877182007,256,"rect",3,0.25,0.989051103591919,1
"ozone",0.971608996391296,256,"diavolo",3,0.25,0.989051103591919,1
"ozone",0.971608936786652,256,"diavolo",3,0.5,0.989051103591919,1
"ozone",0.973186254501343,1024,"diavolo",2,0.25,0.989051103591919,0.01
"ozone",0.966877102851868,512,"rect",2,0.5,0.989051103591919,0.01
"ozone",0.968454360961914,512,"diavolo",2,0.25,0.989051103591919,0.01
"ozone",0.971608877182007,1024,"rect",2,0.25,0.989051103591919,1
"ozone",0.971608877182007,1024,"rect",2,0.5,0.989051103591919,1
"ozone",0.971608996391296,1024,"diavolo",2,0.25,0.989051103591919,1
"ozone",0.971608877182007,1024,"diavolo",2,0.5,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",2,0.25,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",2,0.5,0.989051103591919,1
"ozone",0.971608877182007,512,"diavolo",2,0.5,0.989051103591919,1
"ozone",0.971608877182007,256,"rect",2,0.25,0.989051103591919,1
"ozone",0.971608996391296,256,"rect",2,0.5,0.989051103591919,1
"ozone",0.971608936786652,256,"diavolo",2,0.5,0.989051103591919,1
"ozone",0.971608877182007,512,"rect",16,0.5,0.989051097631455,0.1
"ozone",0.971608877182007,1024,"diavolo",16,0.5,0.989051097631455,1
"ozone",0.971608877182007,256,"rect",16,0.5,0.989051097631455,1
"ozone",0.973186194896698,256,"diavolo",8,0.25,0.989051097631455,0.01
"ozone",0.971608877182007,1024,"diavolo",8,0.25,0.989051097631455,0.1
"ozone",0.971608877182007,512,"rect",4,0.25,0.989051097631455,0.01
"ozone",0.971608877182007,512,"diavolo",4,0.5,0.989051097631455,0.01
"ozone",0.971608877182007,1024,"rect",4,0.5,0.989051097631455,0.1
"ozone",0.971608877182007,256,"diavolo",4,0.5,0.989051097631455,0.1
"ozone",0.97003161907196,512,"rect",3,0.25,0.989051097631455,0.01
"ozone",0.971608877182007,256,"rect",3,0.5,0.989051097631455,1
"ozone",0.971608877182007,256,"diavolo",2,0.25,0.989051097631455,1
"ozone",0.971608996391296,1024,"rect",16,0.25,0.98905109167099,0.01
"ozone",0.97003161907196,256,"diavolo",8,0.5,0.98905109167099,0.01
"ozone",0.971608877182007,512,"diavolo",8,0.5,0.98905109167099,0.1
"ozone",0.971608936786652,256,"diavolo",4,0.5,0.98905109167099,1
"ozone",0.971608877182007,256,"diavolo",16,0.25,0.989051079750061,0.1
"ozone",0.971608996391296,1024,"rect",2,0.25,0.988686138391495,0.1
"ozone",0.971608877182007,1024,"rect",2,0.5,0.988686138391495,0.1
"ozone",0.966877102851868,1024,"diavolo",4,0.25,0.98868613243103,0.01
"ozone",0.97003161907196,256,"rect",3,0.25,0.988686114549637,0.01
"ozone",0.971608877182007,512,"diavolo",2,0.5,0.987956202030182,0.1
"ozone",0.97003161907196,1024,"rect",2,0.5,0.987591242790222,0.01
"ozone",0.971608877182007,512,"rect",8,0.25,0.987591236829758,0.01
"ozone",0.97003161907196,256,"diavolo",4,0.5,0.987591224908829,0.01
"ozone",0.971608877182007,256,"rect",16,0.5,0.987226283550263,0.01
"ozone",0.971608936786652,512,"diavolo",4,0.25,0.987226283550263,0.1
"ozone",0.973186254501343,1024,"diavolo",2,0.25,0.986861324310303,0.1
"ozone",0.971608936786652,512,"rect",2,0.25,0.986861312389374,0.01
"ozone",0.963722467422485,512,"diavolo",16,0.25,0.986861312389374,0.01
"ozone",0.97003161907196,512,"rect",16,0.5,0.986496353149414,0.01
"ozone",0.973186194896698,512,"diavolo",3,0.5,0.98649634718895,0.1
"ozone",0.971608877182007,512,"diavolo",4,0.5,0.986131381988526,0.1
"ozone",0.970031678676605,512,"diavolo",2,0.5,0.986131381988526,0.01
"ozone",0.971608877182007,1024,"diavolo",4,0.25,0.986131376028061,0.1
"ozone",0.973186254501343,1024,"rect",2,0.25,0.985766446590424,0.01
"ozone",0.97003173828125,256,"rect",2,0.5,0.985766416788101,0.1
"ozone",0.966877102851868,256,"rect",8,0.5,0.985401493310929,0.01
"ozone",0.97003161907196,512,"diavolo",3,0.5,0.985401451587677,0.01
"ozone",0.974763512611389,256,"diavolo",3,0.25,0.985401451587677,0.01
"ozone",0.965299725532532,256,"diavolo",2,0.5,0.985401451587677,0.01
"ozone",0.971608877182007,512,"diavolo",2,0.25,0.985401451587677,1
"ozone",0.973186254501343,512,"diavolo",2,0.25,0.985036492347717,0.1
"ozone",0.971608877182007,1024,"diavolo",3,0.25,0.985036492347717,0.1
"ozone",0.96372252702713,512,"diavolo",16,0.5,0.984671539068222,0.01
"ozone",0.966877102851868,256,"diavolo",16,0.25,0.984306561946869,0.01
"ozone",0.965299725532532,256,"rect",2,0.25,0.984306555986405,0.1
"ozone",0.962145268917084,1024,"diavolo",4,0.5,0.983576625585556,0.01
"ozone",0.965299725532532,256,"diavolo",2,0.5,0.982481735944748,0.1
"ozone",0.952681541442871,512,"rect",2,0.25,0.98102188706398,0.1
"ozone",0.973186254501343,512,"rect",2,0.5,0.979562038183212,0.1
"ozone",0.97003161907196,1024,"diavolo",2,0.5,0.979197078943253,0.1
"ozone",0.958990633487701,1024,"diavolo",2,0.5,0.977372246980667,0.01
"ozone",0.968454360961914,1024,"diavolo",3,0.5,0.974452537298203,0.1
"ozone",0.924290299415588,1024,"diavolo",16,0.5,0.972992700338364,0.01
"ozone",0.935331344604492,512,"rect",3,0.5,0.968613135814667,0.01
"ozone",0.960567831993103,256,"rect",2,0.25,0.967518252134323,0.01
"ozone",0.941640555858612,256,"diavolo",16,0.5,0.96678831577301,0.01
"ozone",0.965299725532532,512,"rect",4,0.5,0.96678831577301,0.01
"ozone",0.930599510669708,256,"rect",2,0.5,0.96678831577301,0.01
"ozone",0.947949588298798,256,"rect",3,0.5,0.964233553409576,0.01
"ozone",0.936908602714539,256,"diavolo",2,0.25,0.963503628969193,0.1
"ozone",0.957413375377655,1024,"diavolo",16,0.25,0.96094890832901,0.01
"ozone",0.894321799278259,512,"diavolo",3,0.25,0.959489023685455,0.1
"ozone",0.894321739673615,256,"rect",4,0.5,0.947080290317535,0.01
"ozone",0.895899176597595,256,"diavolo",8,0.5,0.933941608667374,0.1
"ozone",0.93217670917511,512,"diavolo",4,0.25,0.931751835346222,0.01
"ozone",0.899053633213043,512,"diavolo",8,0.25,0.910218960046768,0.01
