"dataset","blockForm","nblocks","learningrate","testAccuracy","nhidden","valAccuracy","bottleneck"
"molec-biol-promoter","rect",4,0.01,0.769230842590332,1024,0.818181872367859,0.25
"molec-biol-promoter","rect",4,0.01,0.884615421295166,1024,0.818181854486466,0.5
"molec-biol-promoter","diavolo",2,0.01,0.692307770252228,256,0.809090960025788,0.25
"molec-biol-promoter","diavolo",4,0.01,0.730769276618958,256,0.790909135341644,0.5
"molec-biol-promoter","diavolo",3,0.01,0.807692348957062,512,0.781818222999573,0.5
"molec-biol-promoter","diavolo",2,0.01,0.730769276618958,1024,0.772727310657501,0.5
"molec-biol-promoter","rect",2,0.1,0.884615421295166,512,0.772727310657501,0.5
"molec-biol-promoter","rect",3,0.01,0.615384697914124,256,0.772727304697037,0.25
"molec-biol-promoter","diavolo",8,0.1,0.807692348957062,256,0.754545485973358,0.25
"molec-biol-promoter","rect",4,0.01,0.769230842590332,256,0.745454573631287,0.25
"molec-biol-promoter","diavolo",8,0.01,0.769230842590332,512,0.718181842565537,0.25
"molec-biol-promoter","rect",3,0.01,0.807692348957062,512,0.718181836605072,0.5
"molec-biol-promoter","diavolo",2,0.1,0.884615421295166,1024,0.718181836605072,0.5
"molec-biol-promoter","diavolo",2,0.01,0.692307710647583,1024,0.709090924263001,0.25
"molec-biol-promoter","rect",4,0.01,0.807692348957062,512,0.700000017881393,0.5
"molec-biol-promoter","rect",4,0.1,0.46153849363327,512,0.690909105539322,0.5
"molec-biol-promoter","rect",3,0.01,0.769230782985687,1024,0.690909099578857,0.5
"molec-biol-promoter","rect",2,0.1,0.923076987266541,1024,0.690909099578857,0.5
"molec-biol-promoter","diavolo",16,0.01,0.769230842590332,256,0.681818187236786,0.25
"molec-biol-promoter","rect",16,0.01,0.576923131942749,512,0.681818187236786,0.5
"molec-biol-promoter","diavolo",3,0.01,0.769230842590332,256,0.681818187236786,0.25
"molec-biol-promoter","diavolo",2,0.01,0.692307770252228,256,0.681818187236786,0.5
"molec-biol-promoter","rect",8,0.01,0.769230842590332,512,0.681818187236786,0.5
"molec-biol-promoter","diavolo",4,0.1,0.653846204280853,256,0.672727280855179,0.25
"molec-biol-promoter","rect",8,0.01,0.692307710647583,256,0.663636374473572,0.25
"molec-biol-promoter","diavolo",16,0.01,0.730769276618958,512,0.663636371493339,0.5
"molec-biol-promoter","diavolo",8,0.01,0.653846204280853,1024,0.663636368513107,0.5
"molec-biol-promoter","diavolo",4,0.1,0.807692408561707,1024,0.6545454621315,0.5
"molec-biol-promoter","rect",3,0.01,0.730769276618958,512,0.654545456171036,0.25
"molec-biol-promoter","rect",4,0.1,0.769230842590332,256,0.645454543828964,0.5
"molec-biol-promoter","diavolo",4,0.01,0.653846204280853,256,0.6454545378685,0.25
"molec-biol-promoter","diavolo",3,0.1,0.846153914928436,1024,0.6454545378685,0.25
"molec-biol-promoter","rect",3,0.1,0.884615421295166,512,0.6454545378685,0.5
"molec-biol-promoter","rect",2,0.01,0.807692408561707,512,0.6454545378685,0.5
"molec-biol-promoter","rect",2,0.1,0.807692289352417,256,0.6454545378685,0.25
"molec-biol-promoter","rect",8,0.01,0.846153914928436,1024,0.636363643407822,0.5
"molec-biol-promoter","diavolo",2,0.1,0.769230782985687,256,0.636363631486893,0.5
"molec-biol-promoter","diavolo",4,0.1,0.769230842590332,512,0.636363625526428,0.25
"molec-biol-promoter","rect",4,0.1,0.846153914928436,256,0.636363625526428,0.25
"molec-biol-promoter","rect",3,0.01,0.807692408561707,1024,0.636363625526428,0.25
"molec-biol-promoter","diavolo",3,0.01,0.653846204280853,512,0.636363625526428,0.25
"molec-biol-promoter","diavolo",3,0.01,0.730769276618958,256,0.636363625526428,0.5
"molec-biol-promoter","rect",2,0.01,0.807692348957062,1024,0.636363625526428,0.25
"molec-biol-promoter","diavolo",2,0.1,0.884615421295166,1024,0.636363625526428,0.25
"molec-biol-promoter","rect",2,0.1,0.846153855323792,512,0.636363625526428,0.25
"molec-biol-promoter","diavolo",2,0.1,0.846153914928436,512,0.636363625526428,0.25
"molec-biol-promoter","diavolo",2,0.1,0.923076987266541,512,0.636363625526428,0.5
"molec-biol-promoter","rect",2,0.1,0.846153855323792,256,0.636363625526428,0.5
"molec-biol-promoter","diavolo",16,0.01,0.769230842590332,512,0.62727273106575,0.25
"molec-biol-promoter","diavolo",16,0.01,0.884615421295166,1024,0.627272719144821,0.5
"molec-biol-promoter","diavolo",4,0.01,0.884615421295166,1024,0.609090912342072,0.25
"molec-biol-promoter","diavolo",3,0.01,0.615384697914124,1024,0.609090906381607,0.5
"molec-biol-promoter","rect",3,0.1,0.884615421295166,256,0.609090906381607,0.25
"molec-biol-promoter","rect",8,0.01,0.692307710647583,512,0.6,0.25
"molec-biol-promoter","diavolo",16,0.1,0.807692348957062,512,0.6,0.25
"molec-biol-promoter","diavolo",3,0.1,0.692307770252228,256,0.6,0.5
"molec-biol-promoter","rect",3,0.1,0.846153855323792,512,0.590909099578858,0.25
"molec-biol-promoter","rect",3,0.1,0.884615421295166,256,0.590909099578858,0.5
"molec-biol-promoter","rect",4,0.01,0.730769276618958,256,0.590909093618393,0.5
"molec-biol-promoter","diavolo",8,0.01,0.807692348957062,1024,0.590909093618393,0.25
"molec-biol-promoter","diavolo",3,0.1,0.96153849363327,256,0.58181819319725,0.25
"molec-biol-promoter","rect",2,0.01,0.769230842590332,1024,0.581818187236786,0.5
"molec-biol-promoter","diavolo",16,0.1,0.653846144676208,256,0.581818187236786,0.25
"molec-biol-promoter","diavolo",4,0.01,0.653846204280853,1024,0.581818187236786,0.5
