"dataset","blockForm","testAccuracy","learningrate","nhidden","bottleneck","nblocks","valAccuracy"
"dermatology","diavolo",0.230769246816635,0.1,1024,0.5,16,0.28571429848671
"dermatology","rect",0.307692348957062,0.1,512,0.25,16,0.28571429848671
"dermatology","rect",0.307692348957062,0.1,512,0.5,16,0.28571429848671
"dermatology","diavolo",0.307692348957062,0.1,512,0.5,16,0.28571429848671
"dermatology","rect",0.307692348957062,1,1024,0.25,16,0.28571429848671
"dermatology","rect",0.307692348957062,1,1024,0.5,16,0.28571429848671
"dermatology","rect",0.307692348957062,1,512,0.25,16,0.28571429848671
"dermatology","rect",0.307692348957062,1,512,0.5,16,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,512,0.25,16,0.28571429848671
"dermatology","rect",0.307692348957062,1,256,0.25,16,0.28571429848671
"dermatology","rect",0.307692348957062,1,256,0.5,16,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,256,0.25,16,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,256,0.5,16,0.28571429848671
"dermatology","rect",0.307692348957062,0.1,1024,0.25,8,0.28571429848671
"dermatology","rect",0.307692348957062,0.1,1024,0.5,8,0.28571429848671
"dermatology","rect",0.307692348957062,0.1,512,0.5,8,0.28571429848671
"dermatology","rect",0.307692348957062,1,1024,0.25,8,0.28571429848671
"dermatology","rect",0.307692348957062,1,1024,0.5,8,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,1024,0.25,8,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,1024,0.5,8,0.28571429848671
"dermatology","rect",0.307692348957062,1,512,0.25,8,0.28571429848671
"dermatology","rect",0.307692348957062,1,512,0.5,8,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,512,0.25,8,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,512,0.5,8,0.28571429848671
"dermatology","rect",0.307692348957062,1,256,0.25,8,0.28571429848671
"dermatology","rect",0.307692348957062,1,256,0.5,8,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,256,0.25,8,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,256,0.5,8,0.28571429848671
"dermatology","rect",0.307692348957062,1,1024,0.25,4,0.28571429848671
"dermatology","rect",0.307692348957062,1,1024,0.5,4,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,1024,0.25,4,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,1024,0.5,4,0.28571429848671
"dermatology","rect",0.307692348957062,1,512,0.25,4,0.28571429848671
