"dataset","testAccuracy","nhidden","valAccuracy","nblocks","bottleneck","blockForm","learningrate"
"statlog-heart",0.820895493030548,1024,0.718518531322479,2,0.5,"diavolo",0.01
"statlog-heart",0.835820853710175,1024,0.718518525362015,4,0.5,"diavolo",0.01
"statlog-heart",0.79104471206665,512,0.714814823865891,3,0.25,"diavolo",0.01
"statlog-heart",0.835820853710175,1024,0.714814823865891,8,0.5,"rect",0.01
"statlog-heart",0.820895493030548,512,0.714814817905426,4,0.25,"diavolo",0.01
"statlog-heart",0.850746273994446,1024,0.711111122369766,16,0.25,"diavolo",0.01
"statlog-heart",0.716417908668518,256,0.707407420873642,16,0.5,"diavolo",0.01
"statlog-heart",0.820895433425903,1024,0.707407408952713,8,0.25,"rect",0.01
"statlog-heart",0.850746273994446,1024,0.703703707456589,4,0.25,"diavolo",0.1
"statlog-heart",0.850746273994446,256,0.703703707456589,3,0.5,"rect",0.1
"statlog-heart",0.79104471206665,256,0.703703701496124,3,0.5,"diavolo",0.01
"statlog-heart",0.835820913314819,512,0.703703701496124,3,0.5,"rect",0.1
"statlog-heart",0.731343269348145,256,0.703703701496124,2,0.5,"diavolo",0.01
"statlog-heart",0.731343269348145,256,0.700000011920929,16,0.25,"rect",0.01
"statlog-heart",0.805970132350922,256,0.7,16,0.25,"diavolo",0.01
"statlog-heart",0.835820913314819,256,0.7,2,0.5,"rect",0.01
"statlog-heart",0.776119410991669,256,0.696296346187592,8,0.25,"diavolo",0.1
"statlog-heart",0.850746273994446,512,0.696296316385269,16,0.5,"rect",0.01
"statlog-heart",0.746268630027771,256,0.688888931274414,8,0.25,"rect",0.01
"statlog-heart",0.776119351387024,256,0.685185223817825,3,0.25,"rect",0.01
"statlog-heart",0.820895552635193,1024,0.681481486558914,2,0.5,"rect",0.01
"statlog-heart",0.850746273994446,256,0.681481456756592,2,0.5,"diavolo",0.1
"statlog-heart",0.671641767024994,1024,0.670370370149612,8,0.5,"diavolo",0.01
"statlog-heart",0.880596995353699,512,0.666666686534881,4,0.25,"rect",0.1
"statlog-heart",0.820895493030548,512,0.666666686534881,3,0.25,"diavolo",0.1
"statlog-heart",0.761193990707397,512,0.666666650772095,8,0.5,"diavolo",0.01
"statlog-heart",0.791044771671295,256,0.666666626930237,2,0.25,"rect",0.01
"statlog-heart",0.820895493030548,256,0.659259229898453,3,0.5,"rect",0.01
"statlog-heart",0.79104471206665,256,0.629629611968994,4,0.25,"rect",0.01
"statlog-heart",0.805970132350922,512,0.611111110448837,4,0.5,"rect",0.1
"statlog-heart",0.552238821983337,256,0.607407414913178,4,0.25,"rect",1
"statlog-heart",0.552238821983337,256,0.600000005960465,3,0.25,"rect",1
"statlog-heart",0.552238821983337,512,0.596296298503876,16,0.25,"diavolo",1
"statlog-heart",0.552238821983337,1024,0.596296298503876,4,0.25,"rect",0.1
"statlog-heart",0.552238821983337,512,0.596296298503876,4,0.5,"diavolo",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,16,0.25,"rect",0.1
"statlog-heart",0.552238821983337,1024,0.592592597007752,16,0.25,"diavolo",0.1
"statlog-heart",0.552238821983337,1024,0.592592597007752,16,0.5,"rect",0.1
"statlog-heart",0.552238821983337,1024,0.592592597007752,16,0.5,"diavolo",0.1
"statlog-heart",0.552238821983337,512,0.592592597007752,16,0.25,"rect",0.1
"statlog-heart",0.552238821983337,512,0.592592597007752,16,0.25,"diavolo",0.1
"statlog-heart",0.552238821983337,512,0.592592597007752,16,0.5,"rect",0.1
"statlog-heart",0.552238821983337,512,0.592592597007752,16,0.5,"diavolo",0.1
"statlog-heart",0.552238821983337,1024,0.592592597007752,16,0.25,"rect",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,16,0.25,"diavolo",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,16,0.5,"rect",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,16,0.5,"diavolo",1
"statlog-heart",0.552238821983337,512,0.592592597007752,16,0.25,"rect",1
"statlog-heart",0.552238821983337,512,0.592592597007752,16,0.5,"rect",1
"statlog-heart",0.552238821983337,512,0.592592597007752,16,0.5,"diavolo",1
"statlog-heart",0.552238821983337,256,0.592592597007752,16,0.25,"rect",1
"statlog-heart",0.552238821983337,256,0.592592597007752,16,0.25,"diavolo",1
"statlog-heart",0.552238821983337,256,0.592592597007752,16,0.5,"rect",1
"statlog-heart",0.552238821983337,256,0.592592597007752,16,0.5,"diavolo",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,8,0.25,"rect",0.1
"statlog-heart",0.552238821983337,1024,0.592592597007752,8,0.25,"diavolo",0.1
"statlog-heart",0.552238821983337,1024,0.592592597007752,8,0.5,"rect",0.1
"statlog-heart",0.552238821983337,1024,0.592592597007752,8,0.25,"rect",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,8,0.25,"diavolo",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,8,0.5,"rect",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,8,0.5,"diavolo",1
"statlog-heart",0.552238821983337,512,0.592592597007752,8,0.25,"rect",1
"statlog-heart",0.552238821983337,512,0.592592597007752,8,0.25,"diavolo",1
"statlog-heart",0.552238821983337,512,0.592592597007752,8,0.5,"rect",1
"statlog-heart",0.552238821983337,512,0.592592597007752,8,0.5,"diavolo",1
"statlog-heart",0.552238821983337,256,0.592592597007752,8,0.25,"rect",1
"statlog-heart",0.552238821983337,256,0.592592597007752,8,0.25,"diavolo",1
"statlog-heart",0.552238821983337,256,0.592592597007752,8,0.5,"rect",1
"statlog-heart",0.552238821983337,256,0.592592597007752,8,0.5,"diavolo",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,4,0.25,"rect",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,4,0.25,"diavolo",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,4,0.5,"rect",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,4,0.5,"diavolo",1
"statlog-heart",0.552238821983337,512,0.592592597007752,4,0.25,"rect",1
"statlog-heart",0.552238821983337,512,0.592592597007752,4,0.25,"diavolo",1
"statlog-heart",0.552238821983337,512,0.592592597007752,4,0.5,"rect",1
"statlog-heart",0.552238821983337,256,0.592592597007752,4,0.25,"diavolo",1
"statlog-heart",0.552238821983337,256,0.592592597007752,4,0.5,"rect",1
"statlog-heart",0.552238821983337,256,0.592592597007752,4,0.5,"diavolo",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,3,0.5,"rect",0.1
"statlog-heart",0.552238821983337,1024,0.592592597007752,3,0.25,"rect",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,3,0.25,"diavolo",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,3,0.5,"rect",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,3,0.5,"diavolo",1
"statlog-heart",0.552238821983337,512,0.592592597007752,3,0.25,"rect",1
"statlog-heart",0.552238821983337,512,0.592592597007752,3,0.25,"diavolo",1
"statlog-heart",0.552238821983337,512,0.592592597007752,3,0.5,"rect",1
"statlog-heart",0.552238821983337,512,0.592592597007752,3,0.5,"diavolo",1
"statlog-heart",0.552238821983337,256,0.592592597007752,3,0.25,"diavolo",1
"statlog-heart",0.552238821983337,256,0.592592597007752,3,0.5,"rect",1
"statlog-heart",0.552238821983337,256,0.592592597007752,3,0.5,"diavolo",1
"statlog-heart",0.62686562538147,512,0.592592597007752,2,0.5,"diavolo",0.01
"statlog-heart",0.552238821983337,1024,0.592592597007752,2,0.25,"rect",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,2,0.25,"diavolo",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,2,0.5,"rect",1
"statlog-heart",0.552238821983337,1024,0.592592597007752,2,0.5,"diavolo",1
"statlog-heart",0.552238821983337,512,0.592592597007752,2,0.25,"rect",1
"statlog-heart",0.552238821983337,512,0.592592597007752,2,0.25,"diavolo",1
"statlog-heart",0.552238821983337,512,0.592592597007752,2,0.5,"rect",1
"statlog-heart",0.552238821983337,512,0.592592597007752,2,0.5,"diavolo",1
"statlog-heart",0.552238821983337,256,0.592592597007752,2,0.25,"rect",1
"statlog-heart",0.552238821983337,256,0.592592597007752,2,0.25,"diavolo",1
"statlog-heart",0.552238821983337,256,0.592592597007752,2,0.5,"rect",1
"statlog-heart",0.552238821983337,256,0.592592597007752,2,0.5,"diavolo",1
"statlog-heart",0.701492547988892,256,0.577777796983719,8,0.5,"rect",0.1
"statlog-heart",0.447761207818985,256,0.555555558204651,16,0.25,"rect",0.1
"statlog-heart",0.447761207818985,256,0.555555558204651,16,0.5,"rect",0.1
"statlog-heart",0.552238821983337,512,0.537037038803101,8,0.25,"rect",0.1
"statlog-heart",0.447761207818985,1024,0.537037038803101,8,0.5,"diavolo",0.1
"statlog-heart",0.447761207818985,1024,0.522222226858139,3,0.25,"rect",0.1
"statlog-heart",0.447761207818985,1024,0.51851851940155,4,0.5,"rect",0.1
"statlog-heart",0.701492488384247,512,0.511111131310463,4,0.5,"diavolo",0.01
"statlog-heart",0.552238821983337,512,0.5,8,0.5,"rect",0.1
"statlog-heart",0.447761207818985,256,0.407407402992249,16,0.5,"diavolo",0.1
