"dataset","nhidden","learningrate","bottleneck","testAccuracy","blockForm","nblocks","valAccuracy"
"arrhythmia",1024,0.01,0.25,0.646017670631409,"rect",3,0.696428596973419
"arrhythmia",1024,0.1,0.25,0.637168169021606,"diavolo",2,0.675000023841858
"arrhythmia",1024,0.01,0.5,0.56637167930603,"diavolo",3,0.635714340209961
"arrhythmia",1024,0.01,0.25,0.513274312019348,"diavolo",8,0.633928567171097
"arrhythmia",1024,0.1,0.5,0.610619425773621,"diavolo",2,0.630357158184052
"arrhythmia",1024,0.01,0.25,0.504424810409546,"rect",2,0.625
"arrhythmia",1024,0.1,0.25,0.610619485378265,"diavolo",3,0.614285719394684
"arrhythmia",512,0.01,0.5,0.584070801734924,"rect",2,0.608928579092026
"arrhythmia",512,0.1,0.5,0.539823055267334,"diavolo",2,0.607142865657806
"arrhythmia",1024,0.1,0.5,0.56637167930603,"diavolo",3,0.603571438789368
"arrhythmia",512,0.01,0.5,0.530973434448242,"diavolo",2,0.594642871618271
"arrhythmia",1024,0.01,0.25,0.557522177696228,"diavolo",3,0.594642871618271
"arrhythmia",512,0.01,0.5,0.539823055267334,"rect",4,0.589285731315613
"arrhythmia",1024,0.01,0.25,0.530973434448242,"diavolo",16,0.587500011920929
"arrhythmia",1024,0.1,0.5,0.469026535749435,"diavolo",8,0.575000023841858
"arrhythmia",256,0.01,0.25,0.592920362949371,"diavolo",3,0.571428596973419
"arrhythmia",1024,0.01,0.25,0.56637167930603,"diavolo",2,0.571428596973419
"arrhythmia",1024,0.01,0.5,0.56637167930603,"diavolo",4,0.569642841815948
"arrhythmia",256,0.1,0.5,0.513274312019348,"rect",2,0.566071456670761
"arrhythmia",256,0.01,0.5,0.548672556877136,"diavolo",8,0.566071456670761
"arrhythmia",256,0.01,0.25,0.504424810409546,"diavolo",16,0.564285743236542
"arrhythmia",512,0.1,0.25,0.584070801734924,"diavolo",4,0.564285743236542
"arrhythmia",512,0.1,0.25,0.548672556877136,"diavolo",8,0.558928602933884
"arrhythmia",1024,0.01,0.5,0.548672556877136,"rect",4,0.558928602933884
"arrhythmia",512,0.1,0.5,0.539823055267334,"rect",3,0.553571462631226
"arrhythmia",1024,0.1,0.25,0.513274371623993,"rect",3,0.54107141494751
"arrhythmia",1024,0.01,0.25,0.513274371623993,"rect",16,0.535714328289032
"arrhythmia",1024,0.01,0.5,0.52212393283844,"rect",2,0.535714328289032
"arrhythmia",1024,0.1,0.5,0.557522177696228,"rect",2,0.535714328289032
"arrhythmia",512,0.01,0.25,0.592920303344727,"diavolo",16,0.535714268684387
"arrhythmia",512,0.01,0.25,0.592920362949371,"diavolo",2,0.535714268684387
"arrhythmia",256,0.01,0.5,0.56637167930603,"rect",3,0.533928614854813
"arrhythmia",512,0.1,0.25,0.469026565551758,"diavolo",3,0.533928614854813
"arrhythmia",512,0.01,0.25,0.601769864559174,"diavolo",3,0.533928561210632
"arrhythmia",1024,0.01,0.5,0.628318548202515,"rect",8,0.521428620815277
"arrhythmia",512,0.01,0.5,0.592920303344727,"rect",3,0.519642907381058
"arrhythmia",512,1,0.5,0.584070801734924,"diavolo",16,0.519642901420593
