"dataset","nhidden","bottleneck","blockForm","nblocks","learningrate","testAccuracy","valAccuracy"
"pittsburg-bridges-SPAN",256,0.5,"diavolo",4,0.01,0.56521737575531,1
"pittsburg-bridges-SPAN",256,0.25,"diavolo",3,0.01,0.56521737575531,1
"pittsburg-bridges-SPAN",256,0.25,"rect",8,0.01,0.695652186870575,0.988888895511627
"pittsburg-bridges-SPAN",1024,0.25,"rect",3,0.01,0.695652186870575,0.988888895511627
"pittsburg-bridges-SPAN",512,0.5,"rect",3,0.01,0.56521737575531,0.988888895511627
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",3,0.01,0.695652186870575,0.988888889551163
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",2,0.01,0.60869562625885,0.988888889551163
"pittsburg-bridges-SPAN",256,0.5,"rect",2,0.01,0.65217387676239,0.988888889551163
"pittsburg-bridges-SPAN",1024,0.5,"rect",3,0.01,0.652173936367035,0.977777791023254
"pittsburg-bridges-SPAN",1024,0.5,"rect",16,0.01,0.652173936367035,0.977777779102325
"pittsburg-bridges-SPAN",256,0.5,"rect",4,0.01,0.60869562625885,0.977777779102325
"pittsburg-bridges-SPAN",512,0.25,"rect",16,0.01,0.652173936367035,0.966666686534882
"pittsburg-bridges-SPAN",512,0.5,"diavolo",3,0.01,0.60869562625885,0.966666686534882
"pittsburg-bridges-SPAN",256,0.5,"rect",3,0.1,0.652173936367035,0.966666686534882
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",8,0.01,0.56521737575531,0.966666674613953
"pittsburg-bridges-SPAN",512,0.5,"rect",4,0.01,0.652173936367035,0.966666674613953
"pittsburg-bridges-SPAN",1024,0.25,"rect",16,0.01,0.652173936367035,0.966666674613953
"pittsburg-bridges-SPAN",1024,0.5,"rect",4,0.01,0.65217387676239,0.955555564165115
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",4,0.01,0.65217387676239,0.955555564165115
"pittsburg-bridges-SPAN",1024,0.5,"rect",2,0.01,0.782608687877655,0.955555558204651
"pittsburg-bridges-SPAN",256,0.5,"rect",8,0.01,0.47826087474823,0.944444477558136
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",8,0.01,0.60869562625885,0.944444465637207
"pittsburg-bridges-SPAN",256,0.25,"rect",2,0.1,0.695652186870575,0.944444465637207
"pittsburg-bridges-SPAN",256,0.25,"diavolo",8,0.01,0.52173912525177,0.944444459676743
"pittsburg-bridges-SPAN",256,0.25,"rect",4,0.1,0.652173936367035,0.944444447755813
"pittsburg-bridges-SPAN",512,0.5,"diavolo",2,0.1,0.56521737575531,0.933333367109298
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",3,0.01,0.52173912525177,0.93333335518837
"pittsburg-bridges-SPAN",512,0.5,"diavolo",3,0.1,0.56521737575531,0.922222256660461
"pittsburg-bridges-SPAN",512,0.25,"rect",4,0.01,0.60869562625885,0.922222250699997
"pittsburg-bridges-SPAN",256,0.5,"rect",4,0.1,0.60869562625885,0.922222250699997
"pittsburg-bridges-SPAN",256,0.5,"rect",3,0.01,0.695652186870575,0.922222244739533
"pittsburg-bridges-SPAN",512,0.5,"rect",8,0.01,0.52173912525177,0.922222238779068
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",4,0.01,0.52173912525177,0.922222238779068
