"dataset","bottleneck","nblocks","valAccuracy","learningrate","nhidden","blockForm","testAccuracy"
"pittsburg-bridges-MATERIAL",0.5,3,0.860000067949295,0.01,256,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,2,0.860000067949295,0.01,256,"diavolo",0.96153849363327
"pittsburg-bridges-MATERIAL",0.5,8,0.853333401679993,0.1,256,"rect",0.884615421295166
"pittsburg-bridges-MATERIAL",0.25,4,0.853333401679993,0.01,512,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,2,0.853333401679993,0.01,256,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,16,0.84666673541069,0.01,1024,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,2,0.84666673541069,0.01,256,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,16,0.840000063180923,0.01,1024,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,3,0.840000063180923,0.01,512,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,16,0.820000064373016,0.01,256,"rect",0.884615421295166
"pittsburg-bridges-MATERIAL",0.5,4,0.813333404064179,0.1,512,"rect",0.884615421295166
"pittsburg-bridges-MATERIAL",0.5,8,0.806666737794876,0.01,256,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,4,0.806666737794876,0.01,1024,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,8,0.806666725873947,0.1,1024,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,3,0.800000071525574,0.01,512,"rect",0.923076987266541
"pittsburg-bridges-MATERIAL",0.5,4,0.800000071525574,0.01,512,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,3,0.800000071525574,0.1,512,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,2,0.800000071525574,0.01,1024,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,2,0.800000071525574,0.01,256,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,2,0.800000071525574,0.1,1024,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,2,0.800000071525574,0.1,1024,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,2,0.800000071525574,0.1,1024,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,2,0.800000071525574,0.1,1024,"diavolo",0.96153849363327
"pittsburg-bridges-MATERIAL",0.25,2,0.800000071525574,0.1,256,"diavolo",0.96153849363327
"pittsburg-bridges-MATERIAL",0.5,2,0.800000071525574,0.1,256,"diavolo",0.884615421295166
"pittsburg-bridges-MATERIAL",0.5,2,0.800000065565109,0.01,1024,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,16,0.800000065565109,0.01,512,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,4,0.793333405256271,0.1,1024,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,3,0.793333405256271,0.1,256,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,4,0.793333399295807,0.01,512,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,4,0.793333399295807,0.1,512,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,2,0.793333399295807,0.01,1024,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,3,0.793333399295807,0.1,512,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,4,0.793333393335343,0.1,256,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,8,0.793333393335342,0.01,512,"diavolo",0.884615421295166
