"dataset","nhidden","bottleneck","learningrate","blockForm","valAccuracy","testAccuracy","nblocks"
"ionosphere",256,0.5,0.01,"diavolo",0.906060576438904,0.795454561710358,2
"ionosphere",1024,0.25,0.01,"rect",0.903030276298523,0.818181872367859,2
"ionosphere",512,0.25,0.01,"diavolo",0.899999976158142,0.931818187236786,16
"ionosphere",1024,0.5,0.01,"rect",0.899999976158142,0.920454502105713,4
"ionosphere",512,0.5,0.01,"diavolo",0.896969676017761,0.886363625526428,2
"ionosphere",512,0.25,0.01,"diavolo",0.89393937587738,0.863636374473572,2
"ionosphere",256,0.5,0.01,"rect",0.890909075737,0.909090876579285,4
"ionosphere",512,0.5,0.01,"diavolo",0.884848475456238,0.909090876579285,4
"ionosphere",256,0.5,0.01,"rect",0.878787875175476,0.875,8
"ionosphere",1024,0.25,0.01,"diavolo",0.878787875175476,0.920454502105713,3
"ionosphere",512,0.25,0.01,"rect",0.878787875175476,0.886363625526428,3
"ionosphere",256,0.25,0.01,"rect",0.878787875175476,0.875,2
"ionosphere",256,0.5,0.01,"rect",0.878787875175476,0.875,2
"ionosphere",1024,0.5,0.1,"rect",0.872727251052857,0.863636374473572,4
"ionosphere",256,0.25,0.01,"rect",0.869696974754334,0.909090876579285,16
"ionosphere",1024,0.5,0.01,"diavolo",0.860606074333191,0.931818187236786,8
"ionosphere",1024,0.5,0.01,"diavolo",0.860606074333191,0.886363625526428,2
"ionosphere",1024,0.5,0.01,"diavolo",0.85757577419281,0.806818187236786,3
"ionosphere",1024,0.25,0.01,"rect",0.854545474052429,0.943181812763214,8
"ionosphere",256,0.25,0.01,"rect",0.848484873771668,0.795454561710358,4
"ionosphere",256,0.25,0.01,"diavolo",0.848484873771668,0.840909123420715,3
"ionosphere",256,0.25,0.01,"diavolo",0.82121217250824,0.806818187236786,8
"ionosphere",512,0.5,0.01,"rect",0.818181872367859,0.806818187236786,4
"ionosphere",256,0.5,0.01,"diavolo",0.727272748947143,0.704545497894287,8
"ionosphere",512,0.5,0.1,"rect",0.663636392354965,0.693181872367859,3
"ionosphere",512,0.5,0.1,"rect",0.654545450210571,0.738636374473572,8
"ionosphere",1024,0.5,0.1,"diavolo",0.651515138149261,0.647727251052856,16
"ionosphere",512,0.5,0.1,"diavolo",0.636363625526428,0.647727251052856,16
"ionosphere",1024,0.25,0.01,"rect",0.633333343267441,0.681818187236786,3
"ionosphere",1024,0.5,0.1,"diavolo",0.539393949508667,0.568181812763214,4
"ionosphere",256,0.5,0.1,"diavolo",0.52424241900444,0.625,16
"ionosphere",1024,0.25,0.1,"rect",0.5,0.647727251052856,4
"ionosphere",1024,0.25,0.1,"rect",0.5,0.647727251052856,8
"ionosphere",256,0.25,1,"diavolo",0.472727274894714,0.647727251052856,2
"ionosphere",256,0.25,0.1,"rect",0.472727274894714,0.352272748947144,16
"ionosphere",256,0.5,0.1,"diavolo",0.466666674613953,0.534090876579285,8
"ionosphere",512,0.25,0.1,"diavolo",0.454545468091965,0.443181812763214,16
"ionosphere",1024,0.25,1,"diavolo",0.448484849929809,0.352272748947144,3
"ionosphere",256,0.25,1,"diavolo",0.445454549789429,0.352272748947144,3
"ionosphere",1024,0.25,0.1,"diavolo",0.418181824684143,0.352272748947144,16
"ionosphere",512,0.25,1,"diavolo",0.418181824684143,0.352272748947144,4
"ionosphere",512,0.5,1,"rect",0.418181824684143,0.352272748947144,4
"ionosphere",512,0.25,1,"diavolo",0.418181824684143,0.352272748947144,3
"ionosphere",256,0.25,1,"rect",0.418181824684143,0.352272748947144,3
"ionosphere",1024,0.5,1,"rect",0.418181824684143,0.352272748947144,2
"ionosphere",512,0.25,1,"diavolo",0.418181824684143,0.352272748947144,2
"ionosphere",256,0.5,1,"rect",0.418181824684143,0.352272748947144,2
"ionosphere",1024,0.5,1,"diavolo",0.409090918302536,0.352272748947144,8
"ionosphere",256,0.25,0.1,"diavolo",0.406060615181923,0.431818217039108,16
"ionosphere",1024,0.25,1,"diavolo",0.406060609221458,0.352272748947144,4
"ionosphere",1024,0.5,1,"diavolo",0.400000008940697,0.352272748947144,2
"ionosphere",1024,0.25,0.1,"rect",0.390909099578857,0.352272748947144,16
"ionosphere",512,0.25,0.1,"rect",0.390909099578857,0.352272748947144,16
"ionosphere",256,0.5,0.1,"rect",0.390909099578857,0.352272748947144,16
"ionosphere",1024,0.5,1,"rect",0.390909099578857,0.352272748947144,4
"ionosphere",256,0.25,1,"rect",0.390909099578857,0.352272748947144,4
"ionosphere",1024,0.25,1,"rect",0.390909099578857,0.352272748947144,3
"ionosphere",1024,0.5,1,"diavolo",0.390909099578857,0.352272748947144,3
"ionosphere",512,0.25,1,"rect",0.390909099578857,0.352272748947144,3
"ionosphere",512,0.5,1,"rect",0.390909099578857,0.352272748947144,3
"ionosphere",256,0.5,1,"rect",0.390909099578857,0.352272748947144,3
"ionosphere",256,0.5,1,"diavolo",0.390909099578857,0.352272748947144,3
"ionosphere",1024,0.25,1,"diavolo",0.390909099578857,0.352272748947144,2
"ionosphere",512,0.25,1,"rect",0.390909099578857,0.352272748947144,2
"ionosphere",256,0.25,1,"rect",0.390909099578857,0.352272748947144,2
"ionosphere",1024,0.25,1,"diavolo",0.387878799438477,0.352272748947144,16
"ionosphere",1024,0.25,1,"diavolo",0.387878799438477,0.352272748947144,8
"ionosphere",256,0.25,1,"diavolo",0.387878796458244,0.352272748947144,4
"ionosphere",256,0.5,1,"rect",0.38181819319725,0.352272748947144,4
"ionosphere",1024,0.25,0.1,"diavolo",0.375757586956024,0.352272748947144,8
"ionosphere",512,0.5,1,"diavolo",0.372727283835411,0.352272748947144,8
"ionosphere",1024,0.5,0.1,"rect",0.369696980714798,0.352272748947144,8
"ionosphere",512,0.5,0.1,"diavolo",0.366666677594185,0.352272748947144,8
"ionosphere",512,0.5,1,"rect",0.366666677594185,0.352272748947144,2
"ionosphere",1024,0.5,0.01,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",512,0.5,0.01,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",256,0.5,0.01,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",1024,0.5,0.1,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",512,0.5,0.1,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",1024,0.25,1,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",1024,0.5,1,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",1024,0.5,1,"diavolo",0.363636374473572,0.352272748947144,16
"ionosphere",512,0.25,1,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",512,0.25,1,"diavolo",0.363636374473572,0.352272748947144,16
"ionosphere",512,0.5,1,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",512,0.5,1,"diavolo",0.363636374473572,0.352272748947144,16
"ionosphere",256,0.25,1,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",256,0.25,1,"diavolo",0.363636374473572,0.352272748947144,16
"ionosphere",256,0.5,1,"rect",0.363636374473572,0.352272748947144,16
"ionosphere",256,0.5,1,"diavolo",0.363636374473572,0.352272748947144,16
"ionosphere",512,0.25,0.01,"rect",0.363636374473572,0.352272748947144,8
"ionosphere",1024,0.5,0.1,"diavolo",0.363636374473572,0.352272748947144,8
"ionosphere",1024,0.25,1,"rect",0.363636374473572,0.352272748947144,8
"ionosphere",1024,0.5,1,"rect",0.363636374473572,0.352272748947144,8
"ionosphere",512,0.25,1,"rect",0.363636374473572,0.352272748947144,8
"ionosphere",512,0.25,1,"diavolo",0.363636374473572,0.352272748947144,8
"ionosphere",512,0.5,1,"rect",0.363636374473572,0.352272748947144,8
"ionosphere",256,0.25,1,"rect",0.363636374473572,0.352272748947144,8
"ionosphere",256,0.25,1,"diavolo",0.363636374473572,0.352272748947144,8
"ionosphere",256,0.5,1,"rect",0.363636374473572,0.352272748947144,8
"ionosphere",256,0.5,1,"diavolo",0.363636374473572,0.352272748947144,8
"ionosphere",1024,0.25,1,"rect",0.363636374473572,0.352272748947144,4
"ionosphere",1024,0.5,1,"diavolo",0.363636374473572,0.352272748947144,4
"ionosphere",512,0.25,1,"rect",0.363636374473572,0.352272748947144,4
"ionosphere",512,0.5,1,"diavolo",0.363636374473572,0.352272748947144,4
"ionosphere",256,0.5,1,"diavolo",0.363636374473572,0.352272748947144,4
"ionosphere",1024,0.5,1,"rect",0.363636374473572,0.352272748947144,3
"ionosphere",512,0.5,1,"diavolo",0.363636374473572,0.352272748947144,3
"ionosphere",1024,0.25,1,"rect",0.363636374473572,0.352272748947144,2
"ionosphere",512,0.5,1,"diavolo",0.363636374473572,0.352272748947144,2
"ionosphere",256,0.5,1,"diavolo",0.363636374473572,0.352272748947144,2
