"dataset","bottleneck","learningrate","testAccuracy","nblocks","blockForm","nhidden","valAccuracy"
"statlog-shuttle",0.5,0.01,0.994966149330139,16,"rect",512,0.995965731143951
"statlog-shuttle",0.25,0.1,0.99524199962616,3,"rect",256,0.995954310894012
"statlog-shuttle",0.5,0.01,0.996276438236237,2,"rect",256,0.995612400770187
"statlog-shuttle",0.25,0.1,0.993862688541412,16,"rect",256,0.995532643795014
"statlog-shuttle",0.25,0.1,0.992828249931335,8,"rect",256,0.995521271228791
"statlog-shuttle",0.25,0.01,0.997035026550293,2,"rect",256,0.995350271463394
"statlog-shuttle",0.25,0.01,0.995448887348175,16,"rect",256,0.99531609416008
"statlog-shuttle",0.5,0.01,0.998345375061035,8,"rect",256,0.995224905014038
"statlog-shuttle",0.5,0.01,0.995104074478149,3,"diavolo",256,0.995122331380844
"statlog-shuttle",0.25,0.01,0.996345400810242,16,"diavolo",512,0.99488297700882
"statlog-shuttle",0.25,0.01,0.992690205574036,16,"rect",512,0.994757634401321
"statlog-shuttle",0.25,0.01,0.998690187931061,3,"diavolo",512,0.994746220111847
"statlog-shuttle",0.25,0.01,0.989931583404541,2,"diavolo",256,0.994552451372147
"statlog-shuttle",0.25,0.01,0.997104048728943,4,"rect",256,0.994506877660751
"statlog-shuttle",0.5,0.01,0.99537992477417,16,"rect",256,0.994358718395233
"statlog-shuttle",0.25,0.01,0.991931617259979,2,"diavolo",512,0.994256138801575
"statlog-shuttle",0.5,0.01,0.999103963375092,16,"diavolo",512,0.994233340024948
"statlog-shuttle",0.25,0.1,0.996138513088226,16,"diavolo",1024,0.994016790390015
"statlog-shuttle",0.25,0.01,0.992000579833984,3,"rect",512,0.993993991613388
"statlog-shuttle",0.25,0.01,0.991104006767273,4,"rect",512,0.993971198797226
"statlog-shuttle",0.25,0.01,0.994345486164093,8,"rect",512,0.993823033571243
"statlog-shuttle",0.5,0.01,0.993931651115417,8,"rect",512,0.993697655200958
"statlog-shuttle",0.25,0.01,0.994552373886108,16,"diavolo",1024,0.993446910381317
"statlog-shuttle",0.25,0.1,0.991310834884644,4,"rect",1024,0.993435513973236
"statlog-shuttle",0.5,0.01,0.992000579833984,4,"diavolo",1024,0.993321549892426
"statlog-shuttle",0.5,0.1,0.990345358848572,8,"diavolo",256,0.993207573890686
"statlog-shuttle",0.5,0.01,0.990552246570587,3,"diavolo",512,0.993173396587372
"statlog-shuttle",0.5,0.01,0.993448913097382,3,"rect",256,0.99312778711319
"statlog-shuttle",0.25,0.01,0.99813848733902,3,"diavolo",256,0.992979627847672
"statlog-shuttle",0.5,0.01,0.992276430130005,2,"diavolo",512,0.992808675765991
"statlog-shuttle",0.5,0.01,0.991586744785309,4,"diavolo",512,0.992717504501343
"statlog-shuttle",0.5,0.1,0.988345324993134,16,"diavolo",512,0.99219321012497
"statlog-shuttle",0.25,0.01,0.98910391330719,8,"diavolo",512,0.992193192243576
"statlog-shuttle",0.25,0.01,0.991586744785309,8,"rect",256,0.992113441228867
"statlog-shuttle",0.5,0.1,0.994138479232788,4,"rect",256,0.991919672489166
"statlog-shuttle",0.5,0.1,0.988138437271118,8,"rect",512,0.991737323999405
"statlog-shuttle",0.25,0.01,0.993517875671387,4,"diavolo",256,0.991691720485687
"statlog-shuttle",0.25,0.01,0.990207433700562,8,"diavolo",256,0.991338407993317
"statlog-shuttle",0.5,0.01,0.990690231323242,8,"diavolo",256,0.990779936313629
"statlog-shuttle",0.25,0.01,0.988069534301758,3,"rect",256,0.990358257293701
"statlog-shuttle",0.5,0.01,0.988828122615814,4,"diavolo",256,0.990232861042023
"statlog-shuttle",0.5,0.01,0.990345418453217,2,"diavolo",256,0.990141659975052
"statlog-shuttle",0.25,0.01,0.992000579833984,16,"diavolo",256,0.990050500631332
"statlog-shuttle",0.5,0.01,0.98903501033783,8,"diavolo",512,0.989571815729141
"statlog-shuttle",0.25,0.1,0.981793642044067,16,"diavolo",512,0.988147163391113
"statlog-shuttle",0.25,0.1,0.98972475528717,8,"rect",512,0.988147163391113
"statlog-shuttle",0.5,0.01,0.987793624401093,16,"diavolo",256,0.987942016124726
"statlog-shuttle",0.5,0.1,0.983241856098175,4,"rect",1024,0.979644757509232
"statlog-shuttle",0.5,0.1,0.986621201038361,2,"rect",1024,0.974231022596359
"statlog-shuttle",0.5,0.1,0.979862570762634,3,"rect",1024,0.961819368600845
"statlog-shuttle",0.25,1,0.791586458683014,2,"rect",1024,0.779804313182831
"statlog-shuttle",0.25,0.1,0.791586458683014,8,"rect",1024,0.779804307222366
"statlog-shuttle",0.5,1,0.791586518287659,16,"diavolo",512,0.779804307222366
"statlog-shuttle",0.5,1,0.791586458683014,8,"rect",256,0.779804307222366
"statlog-shuttle",0.5,0.1,0.791586458683014,16,"rect",512,0.779804301261902
"statlog-shuttle",0.25,1,0.791586458683014,8,"rect",1024,0.779804301261902
"statlog-shuttle",0.25,1,0.791586399078369,4,"rect",512,0.779804301261902
"statlog-shuttle",0.5,1,0.791586399078369,4,"rect",512,0.779804301261902
"statlog-shuttle",0.5,1,0.791586399078369,4,"rect",256,0.779804301261902
"statlog-shuttle",0.25,1,0.791586458683014,3,"diavolo",512,0.779804301261902
"statlog-shuttle",0.5,1,0.791586458683014,2,"rect",1024,0.779804301261902
"statlog-shuttle",0.25,1,0.791586458683014,2,"rect",256,0.779804301261902
"statlog-shuttle",0.25,0.1,0.791586458683014,16,"rect",512,0.779804295301437
"statlog-shuttle",0.25,1,0.791586518287659,16,"rect",512,0.779804295301437
"statlog-shuttle",0.5,1,0.791586458683014,16,"rect",256,0.779804295301437
"statlog-shuttle",0.5,1,0.791586518287659,16,"diavolo",256,0.779804295301437
"statlog-shuttle",0.25,1,0.791586458683014,4,"rect",1024,0.779804295301437
"statlog-shuttle",0.25,1,0.791586458683014,3,"diavolo",1024,0.779804295301437
