"dataset","learningrate","valAccuracy","nblocks","bottleneck","testAccuracy","blockForm","nhidden"
"magic",0.01,0.847458386421204,8,0.25,0.841009557247162,"diavolo",512
"magic",0.1,0.84140477180481,16,0.5,0.838696181774139,"diavolo",1024
"magic",0.1,0.837569296360016,8,0.5,0.831125259399414,"rect",256
"magic",0.1,0.831238442659378,3,0.5,0.824185132980347,"rect",1024
"magic",0.1,0.831099784374237,2,0.5,0.824185132980347,"rect",512
"magic",0.1,0.830961155891419,4,0.25,0.824395418167114,"rect",512
"magic",0.1,0.830591493844986,4,0.25,0.822082102298737,"diavolo",512
"magic",0.1,0.829990726709366,3,0.5,0.824185192584991,"rect",512
"magic",0.1,0.829713475704193,2,0.25,0.831756114959717,"rect",512
"magic",0.1,0.826755982637405,3,0.25,0.832387089729309,"rect",1024
"magic",0.1,0.81913121342659,4,0.5,0.809253454208374,"rect",1024
"magic",0.01,0.817421418428421,3,0.25,0.807781457901001,"rect",256
"magic",0.1,0.814140456914902,2,0.5,0.813669919967651,"rect",1024
"magic",0.1,0.814048033952713,8,0.25,0.805257678031921,"diavolo",1024
"magic",0.01,0.813863188028336,2,0.25,0.824816048145294,"rect",512
"magic",0.01,0.813354873657227,3,0.25,0.806940078735352,"rect",512
"magic",0.1,0.812846547365189,4,0.25,0.815562605857849,"diavolo",1024
"magic",0.01,0.812384468317032,2,0.25,0.814511060714722,"rect",1024
"magic",0.1,0.811922335624695,4,0.5,0.804626822471619,"diavolo",1024
"magic",0.1,0.811090558767319,3,0.25,0.803575277328491,"diavolo",1024
"magic",0.01,0.809935289621353,4,0.25,0.808832883834839,"diavolo",1024
"magic",0.1,0.808872443437576,2,0.25,0.814090490341187,"rect",1024
"magic",0.1,0.808548963069916,3,0.5,0.794742465019226,"diavolo",1024
"magic",0.01,0.806885379552841,8,0.5,0.798738300800323,"diavolo",512
"magic",0.1,0.806792968511582,2,0.25,0.807991683483124,"diavolo",1024
"magic",0.01,0.803789252042771,2,0.5,0.797055840492249,"rect",1024
"magic",0.01,0.802310514450073,16,0.25,0.799579441547394,"rect",1024
"magic",0.01,0.801663571596146,4,0.5,0.805888652801514,"diavolo",1024
"magic",0.1,0.800415885448456,2,0.5,0.803785562515259,"diavolo",1024
"magic",0.01,0.799029564857483,16,0.5,0.781493186950684,"diavolo",1024
"magic",0.01,0.798012918233871,8,0.5,0.794321835041046,"rect",512
