"dataset","learningrate","bottleneck","nblocks","blockForm","nhidden","testAccuracy","valAccuracy"
"pima",0.01,0.5,2,"diavolo",1024,0.713541746139526,0.851764750480652
"pima",0.1,0.25,2,"rect",1024,0.734375059604645,0.841176521778107
"pima",0.1,0.5,16,"diavolo",256,0.729166686534882,0.835294163227081
"pima",0.1,0.25,4,"diavolo",512,0.744791626930237,0.835294151306152
"pima",0.01,0.5,2,"diavolo",256,0.729166686534882,0.834117686748505
"pima",0.01,0.25,2,"diavolo",256,0.739583373069763,0.830588269233704
"pima",0.01,0.5,3,"rect",1024,0.734375059604645,0.823529469966888
"pima",0.1,0.5,3,"rect",1024,0.770833432674408,0.82352945804596
"pima",0.1,0.25,16,"diavolo",256,0.75,0.823529458045959
"pima",0.01,0.25,4,"rect",1024,0.744791686534882,0.821176528930664
"pima",0.01,0.25,3,"diavolo",256,0.713541686534882,0.815294146537781
"pima",0.01,0.25,16,"diavolo",512,0.692708373069763,0.812941205501556
"pima",0.1,0.25,4,"rect",512,0.781250059604645,0.811764752864838
"pima",0.01,0.5,16,"diavolo",1024,0.703125059604645,0.811764740943909
"pima",0.1,0.5,8,"diavolo",512,0.734375,0.81176472902298
"pima",0.1,0.5,4,"diavolo",1024,0.739583373069763,0.810588276386261
"pima",0.1,0.25,3,"diavolo",256,0.739583373069763,0.810588264465332
"pima",0.1,0.25,2,"rect",512,0.729166686534882,0.810588264465332
"pima",0.1,0.25,3,"diavolo",512,0.729166746139526,0.808235323429108
"pima",0.01,0.25,16,"rect",256,0.6875,0.80235298871994
"pima",0.01,0.5,3,"rect",512,0.703125,0.80235298871994
"pima",0.01,0.5,16,"rect",1024,0.687500059604645,0.798823571205139
"pima",0.1,0.5,2,"rect",256,0.697916746139526,0.797647118568421
"pima",0.01,0.25,2,"rect",512,0.661458373069763,0.797647106647492
"pima",0.1,0.5,2,"diavolo",1024,0.713541686534882,0.797647094726563
"pima",0.1,0.25,8,"diavolo",1024,0.776041686534882,0.796470630168915
"pima",0.01,0.5,16,"diavolo",512,0.697916686534882,0.795294165611267
"pima",0.01,0.25,2,"rect",1024,0.739583432674408,0.795294153690338
"pima",0.1,0.25,2,"diavolo",1024,0.713541686534882,0.792941224575043
"pima",0.01,0.25,8,"rect",256,0.677083373069763,0.791764760017395
"pima",0.1,0.5,3,"diavolo",1024,0.718750059604645,0.791764760017395
"pima",0.1,0.25,8,"diavolo",256,0.692708313465118,0.791764748096466
"pima",0.1,0.25,3,"diavolo",1024,0.744791686534882,0.789411818981171
"pima",0.1,0.25,2,"diavolo",512,0.703125,0.788235342502594
"pima",0.01,0.25,2,"rect",256,0.744791746139526,0.788235306739807
"pima",0.01,0.5,2,"rect",512,0.703125,0.787058877944946
"pima",0.1,0.5,2,"rect",1024,0.739583313465118,0.787058866024017
"pima",0.01,0.25,2,"diavolo",512,0.703125,0.78705884218216
"pima",0.1,0.5,2,"diavolo",512,0.729166686534882,0.785882389545441
"pima",0.01,0.25,3,"diavolo",1024,0.729166746139526,0.784705924987793
"pima",0.1,0.25,4,"diavolo",1024,0.744791746139526,0.78235297203064
"pima",0.1,0.25,2,"rect",256,0.750000059604645,0.780000030994415
"pima",0.1,0.25,4,"diavolo",256,0.770833373069763,0.778823572397232
"pima",0.1,0.5,2,"rect",512,0.723958373069763,0.777647113800049
"pima",0.01,0.25,4,"diavolo",512,0.713541686534882,0.775294172763824
"pima",0.01,0.5,4,"diavolo",512,0.682291626930237,0.774117696285248
"pima",0.01,0.25,16,"rect",1024,0.734375059604645,0.772941237688065
"pima",0.1,0.5,3,"diavolo",256,0.744791686534882,0.771764755249023
"pima",0.1,0.5,3,"rect",256,0.703125,0.771764743328095
"pima",0.01,0.25,4,"diavolo",1024,0.703125,0.77176473736763
"pima",0.01,0.5,4,"diavolo",256,0.713541686534882,0.771764719486237
