"dataset","blockForm","learningrate","nblocks","testAccuracy","valAccuracy","bottleneck","nhidden"
"acute-nephritis","rect",0.01,16,1,1,0.25,1024
"acute-nephritis","rect",0.01,16,1,1,0.5,1024
"acute-nephritis","diavolo",0.01,16,1,1,0.25,1024
"acute-nephritis","diavolo",0.01,16,1,1,0.5,1024
"acute-nephritis","rect",0.01,16,1,1,0.25,512
"acute-nephritis","rect",0.01,16,1,1,0.5,512
"acute-nephritis","diavolo",0.01,16,1,1,0.25,512
"acute-nephritis","rect",0.01,16,1,1,0.25,256
"acute-nephritis","rect",0.01,16,1,1,0.5,256
"acute-nephritis","diavolo",0.01,16,1,1,0.25,256
"acute-nephritis","diavolo",0.01,16,0.700000047683716,1,0.5,256
"acute-nephritis","rect",0.1,16,1,1,0.25,256
"acute-nephritis","rect",0.01,8,1,1,0.25,1024
"acute-nephritis","rect",0.01,8,1,1,0.5,1024
"acute-nephritis","diavolo",0.01,8,0.900000095367432,1,0.25,1024
"acute-nephritis","diavolo",0.01,8,1,1,0.5,1024
"acute-nephritis","rect",0.01,8,1,1,0.25,512
"acute-nephritis","rect",0.01,8,1,1,0.5,512
"acute-nephritis","diavolo",0.01,8,0.933333396911621,1,0.25,512
"acute-nephritis","diavolo",0.01,8,0.966666698455811,1,0.5,512
"acute-nephritis","rect",0.01,8,1,1,0.25,256
"acute-nephritis","rect",0.01,8,1,1,0.5,256
"acute-nephritis","diavolo",0.01,8,1,1,0.25,256
"acute-nephritis","diavolo",0.01,8,0.900000035762787,1,0.5,256
"acute-nephritis","diavolo",0.1,8,1,1,0.25,1024
"acute-nephritis","diavolo",0.1,8,0.800000071525574,1,0.25,512
"acute-nephritis","diavolo",0.1,8,1,1,0.5,512
"acute-nephritis","rect",0.1,8,1,1,0.25,256
"acute-nephritis","rect",0.1,8,0.933333396911621,1,0.5,256
"acute-nephritis","diavolo",0.1,8,1,1,0.5,256
"acute-nephritis","rect",0.01,4,1,1,0.25,1024
"acute-nephritis","rect",0.01,4,1,1,0.5,1024
"acute-nephritis","diavolo",0.01,4,1,1,0.5,1024
"acute-nephritis","rect",0.01,4,1,1,0.25,512
"acute-nephritis","rect",0.01,4,1,1,0.5,512
"acute-nephritis","diavolo",0.01,4,1,1,0.25,512
"acute-nephritis","diavolo",0.01,4,0.966666698455811,1,0.5,512
"acute-nephritis","rect",0.01,4,0.966666698455811,1,0.25,256
"acute-nephritis","rect",0.01,4,0.800000071525574,1,0.5,256
"acute-nephritis","diavolo",0.01,4,0.966666698455811,1,0.5,256
"acute-nephritis","rect",0.1,4,1,1,0.5,1024
"acute-nephritis","diavolo",0.1,4,1,1,0.25,1024
"acute-nephritis","diavolo",0.1,4,1,1,0.5,1024
"acute-nephritis","rect",0.1,4,1,1,0.25,512
"acute-nephritis","rect",0.1,4,1,1,0.5,512
"acute-nephritis","diavolo",0.1,4,1,1,0.25,512
"acute-nephritis","diavolo",0.1,4,1,1,0.5,512
"acute-nephritis","rect",0.1,4,1,1,0.25,256
"acute-nephritis","rect",0.1,4,1,1,0.5,256
"acute-nephritis","diavolo",0.1,4,1,1,0.25,256
"acute-nephritis","diavolo",0.1,4,1,1,0.5,256
"acute-nephritis","rect",0.01,3,1,1,0.25,1024
"acute-nephritis","rect",0.01,3,1,1,0.5,1024
"acute-nephritis","diavolo",0.01,3,0.966666698455811,1,0.25,1024
"acute-nephritis","diavolo",0.01,3,1,1,0.5,1024
"acute-nephritis","rect",0.01,3,0.966666698455811,1,0.25,512
"acute-nephritis","rect",0.01,3,0.966666698455811,1,0.5,512
"acute-nephritis","diavolo",0.01,3,1,1,0.5,512
"acute-nephritis","rect",0.01,3,1,1,0.25,256
"acute-nephritis","rect",0.01,3,0.900000035762787,1,0.5,256
"acute-nephritis","diavolo",0.01,3,1,1,0.25,256
"acute-nephritis","rect",0.1,3,1,1,0.25,1024
"acute-nephritis","rect",0.1,3,1,1,0.5,1024
"acute-nephritis","diavolo",0.1,3,1,1,0.25,1024
"acute-nephritis","diavolo",0.1,3,1,1,0.5,1024
"acute-nephritis","rect",0.1,3,1,1,0.25,512
"acute-nephritis","rect",0.1,3,1,1,0.5,512
"acute-nephritis","diavolo",0.1,3,1,1,0.25,512
"acute-nephritis","diavolo",0.1,3,1,1,0.5,512
"acute-nephritis","rect",0.1,3,1,1,0.25,256
"acute-nephritis","rect",0.1,3,1,1,0.5,256
