"dataset","nhidden","blockForm","valAccuracy","learningrate","bottleneck","testAccuracy","nblocks"
"statlog-vehicle",512,"diavolo",0.839189225435257,0.1,0.25,0.758293867111206,3
"statlog-vehicle",256,"rect",0.809459495544434,0.1,0.5,0.777251183986664,8
"statlog-vehicle",512,"rect",0.8,0.1,0.5,0.777251183986664,4
"statlog-vehicle",256,"rect",0.790540570020676,0.1,0.25,0.78672993183136,8
"statlog-vehicle",512,"diavolo",0.787837851047516,0.1,0.5,0.734597206115723,2
"statlog-vehicle",512,"diavolo",0.786486548185348,0.1,0.25,0.734597206115723,4
"statlog-vehicle",512,"rect",0.778378444910049,0.1,0.25,0.78672981262207,3
"statlog-vehicle",1024,"diavolo",0.777027082443237,0.1,0.5,0.786729872226715,4
"statlog-vehicle",512,"diavolo",0.772973001003265,0.1,0.5,0.777251243591309,3
"statlog-vehicle",256,"rect",0.77027028799057,0.1,0.5,0.772511899471283,3
"statlog-vehicle",1024,"diavolo",0.759459519386292,0.1,0.25,0.777251243591309,4
"statlog-vehicle",512,"diavolo",0.758108115196228,0.1,0.5,0.748815178871155,8
"statlog-vehicle",1024,"rect",0.756756794452667,0.1,0.25,0.781990587711334,3
"statlog-vehicle",1024,"diavolo",0.755405461788178,0.1,0.25,0.786729872226715,2
"statlog-vehicle",256,"rect",0.754054087400436,0.1,0.5,0.744075834751129,2
"statlog-vehicle",512,"diavolo",0.754054081439972,0.1,0.25,0.744075834751129,2
"statlog-vehicle",256,"rect",0.754054063558578,0.01,0.5,0.691943168640137,2
"statlog-vehicle",1024,"rect",0.752702736854553,0.1,0.25,0.791469216346741,2
"statlog-vehicle",256,"rect",0.747297334671021,0.1,0.5,0.758293867111206,4
"statlog-vehicle",512,"rect",0.747297328710556,0.1,0.25,0.75355452299118,2
"statlog-vehicle",256,"diavolo",0.744594621658325,0.1,0.5,0.720379173755646,2
"statlog-vehicle",512,"rect",0.74054057598114,0.1,0.5,0.772511839866638,2
"statlog-vehicle",1024,"diavolo",0.739189213514328,0.1,0.5,0.758293867111206,2
"statlog-vehicle",512,"rect",0.739189207553864,0.01,0.25,0.748815178871155,2
"statlog-vehicle",512,"rect",0.739189207553864,0.01,0.5,0.710900485515594,2
"statlog-vehicle",512,"rect",0.735135167837143,0.1,0.5,0.710900485515594,3
"statlog-vehicle",1024,"diavolo",0.733783811330795,0.1,0.25,0.739336490631104,3
"statlog-vehicle",256,"diavolo",0.731081122159958,0.1,0.25,0.748815178871155,8
"statlog-vehicle",1024,"rect",0.728378397226334,0.1,0.25,0.725118517875671,4
"statlog-vehicle",1024,"diavolo",0.720270299911499,0.1,0.5,0.781990528106689,3
"statlog-vehicle",1024,"rect",0.720270293951035,0.1,0.5,0.725118517875671,2
"statlog-vehicle",512,"diavolo",0.718918925523758,0.01,0.25,0.710900485515594,2
"statlog-vehicle",512,"diavolo",0.710810816287994,0.1,0.25,0.706161141395569,8
"statlog-vehicle",512,"rect",0.709459465742111,0.1,0.5,0.767772555351257,8
"statlog-vehicle",256,"diavolo",0.709459453821182,0.01,0.25,0.644549787044525,2
"statlog-vehicle",512,"diavolo",0.704054069519043,0.1,0.5,0.720379173755646,4
