"dataset","nhidden","bottleneck","nblocks","blockForm","valAccuracy","learningrate","testAccuracy"
"mushroom",256,0.25,16,"rect",1,0.01,1
"mushroom",1024,0.25,16,"diavolo",1,0.1,1.00000011920929
"mushroom",1024,0.5,16,"diavolo",1,0.1,1.00000011920929
"mushroom",512,0.5,16,"rect",1,0.1,1.00000011920929
"mushroom",512,0.5,16,"diavolo",1,0.1,1.00000011920929
"mushroom",256,0.25,16,"rect",1,0.1,0.998522996902466
"mushroom",256,0.25,16,"diavolo",1,0.1,0.998522937297821
"mushroom",256,0.5,16,"rect",1,0.1,1.00000011920929
"mushroom",256,0.5,16,"diavolo",1,0.1,1.00000011920929
"mushroom",256,0.25,8,"diavolo",1,0.01,1.00000011920929
"mushroom",1024,0.5,8,"rect",1,0.1,1.00000011920929
"mushroom",1024,0.5,8,"diavolo",1,0.1,0.9995077252388
"mushroom",256,0.5,8,"rect",1,0.1,1.00000011920929
"mushroom",256,0.25,4,"rect",1,0.01,0.999507665634155
"mushroom",256,0.25,4,"diavolo",1,0.01,1.00000011920929
"mushroom",256,0.5,4,"rect",1,0.01,1.00000011920929
"mushroom",256,0.5,4,"diavolo",1,0.01,0.9995077252388
"mushroom",256,0.25,3,"rect",1,0.01,0.9995077252388
"mushroom",256,0.5,3,"rect",1,0.1,1.00000011920929
"mushroom",256,0.5,3,"diavolo",1,0.1,1.00000011920929
"mushroom",256,0.25,2,"diavolo",1,0.01,0.999507665634155
"mushroom",256,0.5,2,"diavolo",1,0.01,0.999015331268311
"mushroom",256,0.25,2,"rect",1,0.1,0.997538208961487
"mushroom",256,0.5,2,"diavolo",1,0.1,0.998522996902466
"mushroom",512,0.5,8,"rect",0.99988751411438,0.1,0.998522996902466
"mushroom",512,0.25,16,"diavolo",0.997862768173218,0.1,0.997538208961487
"mushroom",256,0.25,4,"rect",0.997862768173218,0.1,0.996553480625153
"mushroom",256,0.25,8,"diavolo",0.997525310516358,0.1,1
"mushroom",256,0.5,8,"diavolo",0.997187852859497,0.1,0.994583964347839
"mushroom",256,0.5,2,"rect",0.995950508117676,0.1,0.995076358318329
"mushroom",256,0.25,8,"rect",0.995500564575196,0.1,0.994583964347839
"mushroom",1024,0.25,4,"rect",0.995500564575196,0.1,0.995568752288818
"mushroom",512,0.5,4,"rect",0.995500564575196,0.1,0.99409157037735
"mushroom",256,0.5,4,"rect",0.995388078689575,0.1,0.99409157037735
"mushroom",512,0.25,4,"rect",0.994263219833374,0.1,0.994583964347839
"mushroom",512,0.25,8,"rect",0.994263219833374,0.1,0.994583964347839
"mushroom",512,0.5,8,"diavolo",0.994263219833374,0.1,0.99359917640686
"mushroom",512,0.5,2,"rect",0.994150733947754,0.1,0.99409157037735
"mushroom",256,0.25,3,"diavolo",0.993700790405273,0.1,0.992614448070526
"mushroom",512,0.5,3,"rect",0.993138360977173,0.1,0.994091629981995
"mushroom",256,0.25,3,"rect",0.992125988006592,0.1,0.99409157037735
"mushroom",256,0.25,4,"diavolo",0.992013502120972,0.1,0.991137385368347
"mushroom",512,0.25,3,"rect",0.991901016235352,0.1,0.99409157037735
"mushroom",256,0.5,2,"rect",0.991451072692871,0.01,0.987198352813721
"mushroom",1024,0.5,3,"rect",0.99032621383667,0.1,0.994583964347839
"mushroom",256,0.5,3,"rect",0.99010124206543,0.01,0.992122113704681
"mushroom",512,0.25,4,"diavolo",0.989426326751709,0.1,0.991137385368347
"mushroom",1024,0.5,2,"rect",0.987851524353027,0.1,0.99359917640686
"mushroom",512,0.25,3,"diavolo",0.987851524353027,0.1,0.993106842041016
"mushroom",512,0.25,8,"diavolo",0.987401580810547,0.1,0.989660263061523
"mushroom",512,0.25,2,"rect",0.987401580810547,0.1,0.989167869091034
"mushroom",1024,0.25,3,"rect",0.986951637268067,0.1,0.993599236011505
"mushroom",1024,0.5,2,"diavolo",0.986726665496826,0.1,0.994091629981995
"mushroom",256,0.25,2,"diavolo",0.986389207839966,0.1,0.986706018447876
"mushroom",1024,0.25,2,"rect",0.985264348983765,0.01,0.990152597427368
"mushroom",1024,0.25,2,"rect",0.984364461898804,0.1,0.992122173309326
"mushroom",256,0.25,2,"rect",0.982902145385742,0.01,0.987198412418365
"mushroom",256,0.5,4,"diavolo",0.982114744186401,0.1,0.985721230506897
"mushroom",256,0.5,3,"diavolo",0.981552314758301,0.01,0.985228896141052
"mushroom",1024,0.5,4,"diavolo",0.981327342987061,0.1,0.9881831407547
"mushroom",1024,0.25,8,"diavolo",0.9809898853302,0.1,0.986706137657166
"mushroom",1024,0.5,4,"rect",0.98087739944458,0.1,0.988675534725189
"mushroom",512,0.5,3,"rect",0.98031497001648,0.01,0.979812920093536
"mushroom",512,0.5,3,"diavolo",0.979977512359619,0.1,0.985721349716187
"mushroom",1024,0.5,3,"diavolo",0.978515195846558,0.1,0.989167869091034
"mushroom",512,0.25,2,"rect",0.977615308761597,0.01,0.981782376766205
"mushroom",1024,0.25,3,"diavolo",0.977390336990356,0.1,0.989660263061523
"mushroom",512,0.25,2,"diavolo",0.976152992248535,0.1,0.984244167804718
"mushroom",512,0.5,2,"diavolo",0.974803161621094,0.1,0.979812920093536
"mushroom",512,0.5,4,"diavolo",0.974690675735474,0.1,0.980797648429871
"mushroom",256,0.25,8,"rect",0.973003387451172,0.01,0.96898078918457
"mushroom",256,0.5,16,"diavolo",0.972778415679932,0.01,0.977351069450378
"mushroom",256,0.5,8,"diavolo",0.972215986251831,0.01,0.979320645332336
"mushroom",1024,0.5,3,"rect",0.97131609916687,0.01,0.97538161277771
"mushroom",512,0.25,4,"rect",0.97075366973877,0.01,0.971935033798218
"mushroom",256,0.5,8,"rect",0.970303726196289,0.01,0.978335738182068
"mushroom",512,0.25,3,"rect",0.970078754425049,0.01,0.981782376766205
"mushroom",1024,0.5,2,"rect",0.968728923797608,0.01,0.967011392116547
"mushroom",1024,0.25,4,"diavolo",0.968728923797607,0.1,0.979812860488892
"mushroom",256,0.25,3,"diavolo",0.966929149627686,0.01,0.967503786087036
"mushroom",1024,0.25,2,"diavolo",0.965804290771484,0.1,0.976858735084534
"mushroom",512,0.5,3,"diavolo",0.965241861343384,0.01,0.962087631225586
"mushroom",512,0.25,3,"diavolo",0.964341974258423,0.01,0.968488454818726
"mushroom",256,0.25,16,"diavolo",0.963329601287842,0.01,0.969965577125549
"mushroom",512,0.5,4,"rect",0.963217115402222,0.01,0.96947318315506
"mushroom",512,0.5,4,"diavolo",0.960404968261719,0.01,0.953225076198578
"mushroom",1024,0.5,2,"diavolo",0.957367849349976,0.01,0.958641111850739
"mushroom",1024,0.5,16,"rect",0.953768295049667,0.01,0.966026604175568
"mushroom",512,0.5,2,"rect",0.953093385696411,0.01,0.964057207107544
"mushroom",512,0.25,4,"diavolo",0.95196852684021,0.01,0.960610568523407
"mushroom",512,0.25,16,"rect",0.95185604095459,0.01,0.964549541473389
"mushroom",1024,0.25,2,"diavolo",0.950618696212769,0.01,0.959133505821228
"mushroom",256,0.5,16,"rect",0.946681690216064,0.01,0.944854736328125
"mushroom",1024,0.25,3,"diavolo",0.946231746673584,0.01,0.958641111850739
"mushroom",512,0.5,8,"rect",0.944656944274902,0.01,0.958148777484894
"mushroom",512,0.25,2,"diavolo",0.944431972503662,0.01,0.95667165517807
"mushroom",1024,0.25,4,"rect",0.941507339477539,0.01,0.956671714782715
"mushroom",512,0.25,8,"diavolo",0.939595079421997,0.01,0.955194592475891
"mushroom",1024,0.25,8,"rect",0.939595079421997,0.01,0.947316646575928
"mushroom",1024,0.5,3,"diavolo",0.937120389938355,0.01,0.947809040546417
"mushroom",1024,0.25,3,"rect",0.934195756912231,0.01,0.955686926841736
"mushroom",1024,0.25,4,"diavolo",0.933070892095566,0.01,0.953717470169067
"mushroom",512,0.5,16,"rect",0.932058525085449,0.01,0.939931094646454
"mushroom",1024,0.5,4,"rect",0.927671575546265,0.01,0.942393004894257
"mushroom",512,0.5,2,"diavolo",0.925984287261963,0.01,0.938946425914764
"mushroom",512,0.25,16,"diavolo",0.925759315490723,0.01,0.909404277801514
"mushroom",512,0.5,8,"diavolo",0.925646829605103,0.01,0.940423548221588
"mushroom",512,0.5,16,"diavolo",0.922272247076035,0.01,0.932545602321625
"mushroom",1024,0.5,8,"rect",0.920584958791733,0.01,0.924667716026306
"mushroom",512,0.25,8,"rect",0.918897676467896,0.01,0.913835644721985
"mushroom",1024,0.25,8,"diavolo",0.915860545635223,0.01,0.945839583873749
"mushroom",1024,0.25,16,"rect",0.912598448991775,0.01,0.938946425914764
"mushroom",1024,0.5,8,"diavolo",0.896737933158875,0.01,0.927129507064819
"mushroom",1024,0.25,16,"diavolo",0.886501735448837,0.01,0.906450033187866
