"dataset","nhidden","nblocks","blockForm","testAccuracy","learningrate","bottleneck","valAccuracy"
"congressional-voting",1024,3,"rect",0.614678859710693,0.1,0.5,0.569047671556473
"congressional-voting",512,16,"diavolo",0.614678859710693,0.01,0.5,0.569047665596008
"congressional-voting",1024,4,"rect",0.614678859710693,0.01,0.5,0.569047659635544
"congressional-voting",256,2,"diavolo",0.559633016586304,0.01,0.25,0.569047647714615
"congressional-voting",512,3,"rect",0.57798159122467,0.1,0.25,0.566666722297669
"congressional-voting",256,8,"diavolo",0.550458669662476,0.1,0.25,0.56666671037674
"congressional-voting",256,4,"rect",0.587155938148499,0.1,0.5,0.564285761117935
"congressional-voting",1024,4,"diavolo",0.642201840877533,0.1,0.25,0.564285755157471
"congressional-voting",256,3,"diavolo",0.60550457239151,0.1,0.25,0.564285743236542
"congressional-voting",512,8,"diavolo",0.568807303905487,0.1,0.5,0.559523856639862
"congressional-voting",1024,2,"rect",0.57798159122467,0.1,0.25,0.559523850679398
"congressional-voting",512,2,"rect",0.60550457239151,0.01,0.25,0.559523850679398
"congressional-voting",512,16,"diavolo",0.614678859710693,0.1,0.25,0.557142901420593
"congressional-voting",1024,8,"rect",0.614678859710693,0.1,0.5,0.557142901420593
"congressional-voting",1024,2,"rect",0.60550457239151,0.1,0.5,0.557142901420593
"congressional-voting",1024,2,"rect",0.550458669662476,0.01,0.25,0.554761946201324
"congressional-voting",256,8,"diavolo",0.467889845371246,0.01,0.25,0.55238099694252
"congressional-voting",512,4,"rect",0.587155938148499,0.01,0.25,0.552380979061127
"congressional-voting",256,16,"rect",0.596330225467682,0.01,0.5,0.550000029802322
"congressional-voting",256,4,"rect",0.596330285072327,0.01,0.25,0.542857176065445
"congressional-voting",256,2,"rect",0.532110035419464,0.01,0.5,0.54047623872757
"congressional-voting",1024,8,"diavolo",0.422018349170685,0.1,0.5,0.540476235747337
"congressional-voting",512,16,"rect",0.458715558052063,0.01,0.5,0.540476220846176
"congressional-voting",1024,2,"diavolo",0.623853206634521,0.01,0.25,0.538095283508301
"congressional-voting",1024,4,"diavolo",0.550458669662476,0.01,0.25,0.535714334249497
"congressional-voting",256,2,"rect",0.550458669662476,0.01,0.25,0.535714334249497
"congressional-voting",1024,8,"diavolo",0.587155878543854,0.01,0.25,0.533333361148834
"congressional-voting",256,16,"diavolo",0.422018349170685,0.1,0.5,0.530952429771423
"congressional-voting",512,8,"rect",0.587155878543854,0.01,0.25,0.526190516352654
"congressional-voting",1024,3,"diavolo",0.48623850941658,0.01,0.5,0.526190504431725
"congressional-voting",512,8,"diavolo",0.532110095024109,0.01,0.5,0.526190483570099
"congressional-voting",256,4,"rect",0.587155938148499,0.01,0.5,0.519047653675079
"congressional-voting",512,16,"diavolo",0.614678859710693,0.01,0.25,0.519047650694847
"congressional-voting",256,16,"diavolo",0.57798159122467,0.01,0.5,0.519047650694847
"congressional-voting",1024,3,"diavolo",0.60550457239151,0.01,0.25,0.519047647714615
"congressional-voting",1024,2,"rect",0.587155938148499,0.01,0.5,0.514285743236542
"congressional-voting",512,16,"rect",0.385321080684662,0.01,0.25,0.511904793977737
"congressional-voting",512,8,"diavolo",0.532110035419464,0.01,0.25,0.502380979061127
"congressional-voting",256,16,"rect",0.385321080684662,0.1,0.25,0.500000029802322
"congressional-voting",256,2,"diavolo",0.596330225467682,0.01,0.5,0.495238149166107
"congressional-voting",512,8,"rect",0.394495397806168,0.1,0.5,0.488095259666443
