"dataset","nhidden","nblocks","blockForm","bottleneck","testAccuracy","learningrate","valAccuracy"
"heart-switzerland",256,2,"rect",0.25,0.322580635547638,0.01,0.56363637149334
"heart-switzerland",512,4,"rect",0.25,0.387096762657166,0.01,0.545454561710358
"heart-switzerland",512,4,"diavolo",0.25,0.354838699102402,0.01,0.545454561710358
"heart-switzerland",1024,2,"diavolo",0.5,0.483870953321457,0.01,0.545454561710358
"heart-switzerland",256,8,"diavolo",0.25,0.451612889766693,0.01,0.536363646388054
"heart-switzerland",512,2,"diavolo",0.25,0.483870953321457,0.01,0.509090924263001
"heart-switzerland",256,2,"diavolo",0.25,0.580645143985748,0.1,0.500000014901161
"heart-switzerland",512,4,"diavolo",0.5,0.322580635547638,0.01,0.463636377453804
"heart-switzerland",1024,16,"diavolo",0.25,0.290322571992874,0.01,0.454545465111732
"heart-switzerland",256,16,"diavolo",0.5,0.290322571992874,0.01,0.445454558730125
"heart-switzerland",1024,2,"diavolo",0.25,0.483870953321457,0.01,0.445454558730125
"heart-switzerland",512,16,"rect",0.25,0.387096762657166,0.01,0.436363649368286
"heart-switzerland",1024,16,"rect",0.25,0.387096762657166,0.01,0.427272740006447
"heart-switzerland",256,2,"diavolo",0.25,0.25806450843811,0.01,0.427272740006447
"heart-switzerland",256,16,"rect",0.5,0.612903237342834,0.01,0.427272740006447
"heart-switzerland",512,3,"diavolo",0.5,0.483870953321457,0.01,0.418181830644608
"heart-switzerland",512,4,"rect",0.5,0.354838699102402,0.1,0.418181827664375
"heart-switzerland",512,16,"diavolo",0.5,0.322580635547638,0.01,0.409090921282768
"heart-switzerland",512,8,"diavolo",0.5,0.322580635547638,0.01,0.409090921282768
"heart-switzerland",1024,3,"rect",0.25,0.451612889766693,0.01,0.409090921282768
"heart-switzerland",1024,8,"rect",0.25,0.451612889766693,0.01,0.409090921282768
"heart-switzerland",256,4,"diavolo",0.25,0.354838699102402,0.1,0.400000011920929
"heart-switzerland",1024,3,"diavolo",0.25,0.419354826211929,0.01,0.400000011920929
"heart-switzerland",1024,4,"rect",0.5,0.419354826211929,0.01,0.400000011920929
"heart-switzerland",256,2,"rect",0.25,0.516129016876221,0.1,0.400000011920929
"heart-switzerland",512,8,"rect",0.5,0.419354826211929,0.01,0.39090910255909
"heart-switzerland",1024,16,"diavolo",0.5,0.25806450843811,0.01,0.39090910255909
"heart-switzerland",256,4,"rect",0.5,0.451612889766693,0.01,0.39090910255909
"heart-switzerland",256,4,"rect",0.25,0.419354826211929,0.1,0.39090910255909
"heart-switzerland",512,2,"rect",0.25,0.290322571992874,0.01,0.39090910255909
"heart-switzerland",1024,3,"diavolo",0.5,0.25806450843811,0.01,0.38181819319725
"heart-switzerland",512,3,"rect",0.25,0.387096762657166,0.1,0.38181819319725
"heart-switzerland",256,4,"diavolo",0.25,0.25806450843811,0.01,0.38181819319725
"heart-switzerland",1024,4,"diavolo",0.5,0.290322571992874,0.1,0.38181819319725
"heart-switzerland",512,8,"diavolo",0.25,0.322580635547638,0.01,0.372727283835411
"heart-switzerland",256,3,"rect",0.25,0.516129016876221,0.01,0.372727283835411
"heart-switzerland",256,3,"diavolo",0.25,0.322580635547638,0.01,0.372727283835411
"heart-switzerland",512,3,"rect",0.25,0.451612889766693,0.01,0.372727283835411
"heart-switzerland",512,3,"diavolo",0.25,0.387096762657166,0.01,0.372727283835411
"heart-switzerland",1024,2,"diavolo",0.25,0.451612889766693,0.1,0.372727280855179
"heart-switzerland",1024,3,"rect",0.5,0.419354826211929,0.01,0.363636374473572
