"dataset","learningrate","nhidden","blockForm","valAccuracy","bottleneck","nblocks","testAccuracy"
"connect-4",0.01,512,"diavolo",0.860652011632919,0.5,16,0.857540845870972
"connect-4",0.01,1024,"diavolo",0.860535168647766,0.5,8,0.856415927410126
"connect-4",0.01,512,"rect",0.860184687376022,0.5,8,0.847771167755127
"connect-4",0.01,1024,"rect",0.860171675682068,0.5,16,0.855172455310822
"connect-4",0.01,256,"rect",0.859950959682465,0.25,2,0.85529088973999
"connect-4",0.01,1024,"rect",0.859925013780594,0.25,16,0.852744817733765
"connect-4",0.01,1024,"diavolo",0.859418702125549,0.25,8,0.852508068084717
"connect-4",0.01,512,"diavolo",0.859236979484558,0.25,16,0.851323783397675
"connect-4",0.01,1024,"diavolo",0.858977341651917,0.5,2,0.855113208293915
"connect-4",0.01,1024,"diavolo",0.858938372135162,0.5,16,0.850554049015045
"connect-4",0.01,1024,"diavolo",0.858730667829514,0.5,3,0.85576456785202
"connect-4",0.01,512,"rect",0.858289289474487,0.5,4,0.854639530181885
"connect-4",0.01,512,"diavolo",0.858172458410263,0.25,4,0.851205408573151
"connect-4",0.01,512,"rect",0.858159470558167,0.25,4,0.847119867801666
"connect-4",0.01,512,"rect",0.85777000784874,0.25,8,0.843626439571381
"connect-4",0.01,512,"diavolo",0.857731091976166,0.25,3,0.856001377105713
"connect-4",0.01,1024,"rect",0.857484388351441,0.25,8,0.84895533323288
"connect-4",0.01,512,"diavolo",0.857341605424881,0.25,2,0.854106664657593
"connect-4",0.01,256,"rect",0.857159864902496,0.5,2,0.854106664657593
"connect-4",0.01,256,"diavolo",0.857107901573181,0.25,16,0.851442217826843
"connect-4",0.01,512,"diavolo",0.856004446744919,0.5,2,0.852567195892334
"connect-4",0.01,256,"diavolo",0.855809730291367,0.25,4,0.852804005146027
"connect-4",0.01,256,"diavolo",0.855563080310822,0.5,2,0.851383030414581
"connect-4",0.01,512,"diavolo",0.85451152920723,0.5,8,0.855586886405945
"connect-4",0.01,256,"rect",0.854264849424362,0.5,8,0.845639586448669
"connect-4",0.01,256,"rect",0.85407013297081,0.25,3,0.855172395706177
"connect-4",0.01,512,"diavolo",0.854018187522888,0.25,8,0.85339617729187
"connect-4",0.01,256,"diavolo",0.8538494348526,0.25,3,0.845994889736176
"connect-4",0.1,1024,"diavolo",0.85361578464508,0.5,16,0.862928986549377
"connect-4",0.01,512,"diavolo",0.853524899482727,0.5,4,0.853396117687225
"connect-4",0.01,512,"rect",0.853472924232483,0.25,16,0.850198745727539
"connect-4",0.01,256,"diavolo",0.853343117237091,0.5,8,0.84771203994751
"connect-4",0.01,256,"rect",0.853291207551956,0.5,3,0.851205348968506
"connect-4",0.01,256,"rect",0.852888816595078,0.25,4,0.848244905471802
"connect-4",0.01,512,"rect",0.852836805582046,0.5,16,0.848008036613464
"connect-4",0.01,256,"rect",0.852083885669708,0.25,16,0.847889542579651
"connect-4",0.01,256,"rect",0.851876205205917,0.5,16,0.85102778673172
"connect-4",0.01,256,"diavolo",0.85161651968956,0.5,3,0.847711980342865
"connect-4",0.01,256,"diavolo",0.851162135601044,0.25,2,0.851323843002319
"connect-4",0.01,256,"rect",0.850850600004196,0.5,4,0.850968480110168
"connect-4",0.01,256,"diavolo",0.850214451551437,0.5,16,0.850850164890289
"connect-4",0.01,512,"diavolo",0.850045680999756,0.5,3,0.848008036613464
"connect-4",0.01,256,"diavolo",0.849773073196411,0.25,8,0.84800797700882
"connect-4",0.01,256,"rect",0.849643272161484,0.25,8,0.843804001808167
"connect-4",0.01,256,"diavolo",0.846384817361832,0.5,4,0.840962052345276
"connect-4",0.1,512,"rect",0.790757125616074,0.5,16,0.8229621052742
"connect-4",0.1,512,"rect",0.78661590218544,0.25,16,0.810587108135223
"connect-4",0.1,1024,"rect",0.752304553985596,0.25,16,0.753804564476013
"connect-4",0.1,1024,"rect",0.752304553985596,0.5,16,0.753804564476013
"connect-4",1,1024,"rect",0.752304553985596,0.25,16,0.753804564476013
"connect-4",1,1024,"rect",0.752304553985596,0.5,16,0.753804564476013
"connect-4",1,1024,"diavolo",0.752304553985596,0.25,16,0.753804564476013
"connect-4",1,1024,"diavolo",0.752304553985596,0.5,16,0.753804564476013
"connect-4",1,512,"rect",0.752304553985596,0.25,16,0.753804564476013
"connect-4",1,512,"rect",0.752304553985596,0.5,16,0.753804504871368
"connect-4",1,512,"diavolo",0.752304553985596,0.25,16,0.753804564476013
"connect-4",1,512,"diavolo",0.752304553985596,0.5,16,0.753804564476013
"connect-4",1,256,"rect",0.752304553985596,0.25,16,0.753804504871368
"connect-4",1,256,"diavolo",0.752304553985596,0.25,16,0.753804564476013
"connect-4",1,256,"diavolo",0.752304553985596,0.5,16,0.753804564476013
"connect-4",0.1,1024,"rect",0.752304553985596,0.25,8,0.753804564476013
"connect-4",1,1024,"rect",0.752304553985596,0.25,8,0.753804564476013
"connect-4",1,1024,"rect",0.752304553985596,0.5,8,0.753804564476013
"connect-4",1,1024,"diavolo",0.752304553985596,0.25,8,0.753804564476013
"connect-4",1,1024,"diavolo",0.752304553985596,0.5,8,0.753804564476013
"connect-4",1,512,"rect",0.752304553985596,0.25,8,0.753804564476013
"connect-4",1,512,"diavolo",0.752304553985596,0.25,8,0.753804564476013
"connect-4",1,512,"diavolo",0.752304553985596,0.5,8,0.753804564476013
"connect-4",1,256,"diavolo",0.752304553985596,0.5,8,0.753804564476013
"connect-4",1,1024,"rect",0.752304553985596,0.25,4,0.753804504871368
"connect-4",1,1024,"rect",0.752304553985596,0.5,4,0.753804564476013
"connect-4",1,1024,"diavolo",0.752304553985596,0.25,4,0.753804564476013
"connect-4",1,1024,"diavolo",0.752304553985596,0.5,4,0.753804564476013
"connect-4",1,512,"rect",0.752304553985596,0.25,4,0.753804564476013
"connect-4",1,512,"diavolo",0.752304553985596,0.25,4,0.753804564476013
"connect-4",1,512,"diavolo",0.752304553985596,0.5,4,0.753804564476013
"connect-4",1,256,"rect",0.752304553985596,0.5,4,0.753804564476013
"connect-4",1,256,"diavolo",0.752304553985596,0.25,4,0.753804564476013
