"dataset","testAccuracy","nblocks","nhidden","learningrate","blockForm","bottleneck","valAccuracy"
"bank",0.887610495090485,8,1024,0.01,"diavolo",0.5,0.869646185636521
"bank",0.879646003246307,16,256,0.01,"diavolo",0.25,0.869273763895035
"bank",0.888495564460754,2,1024,0.01,"diavolo",0.5,0.868901336193085
"bank",0.887610554695129,2,1024,0.1,"diavolo",0.25,0.868715101480484
"bank",0.890265464782715,2,512,0.01,"diavolo",0.5,0.868342673778534
"bank",0.886725664138794,3,256,0.01,"diavolo",0.25,0.868342673778534
"bank",0.890265464782715,2,1024,0.1,"rect",0.5,0.868342661857605
"bank",0.887610614299774,8,1024,0.01,"diavolo",0.25,0.868156450986862
"bank",0.890265464782715,4,1024,0.01,"diavolo",0.5,0.867970222234726
"bank",0.883185863494873,4,512,0.01,"rect",0.5,0.867970222234726
"bank",0.879646062850952,16,512,0.01,"rect",0.5,0.867597764730453
"bank",0.879646003246307,8,512,0.01,"diavolo",0.5,0.867411583662033
"bank",0.889380574226379,2,512,0.01,"diavolo",0.25,0.867225354909897
"bank",0.887610554695129,3,1024,0.1,"rect",0.25,0.867225348949432
"bank",0.887610614299774,4,1024,0.01,"diavolo",0.25,0.867039102315903
"bank",0.886725664138794,4,512,0.01,"rect",0.25,0.866852897405624
"bank",0.889380514621735,16,1024,0.01,"rect",0.25,0.866852885484695
"bank",0.892035365104675,2,1024,0.01,"rect",0.5,0.866666680574417
"bank",0.884955704212189,8,1024,0.1,"rect",0.25,0.866480445861816
"bank",0.887610673904419,4,512,0.01,"diavolo",0.5,0.866480433940887
"bank",0.885840713977814,2,1024,0.01,"rect",0.25,0.866294223070145
"bank",0.876106202602386,3,1024,0.01,"rect",0.5,0.866108018159866
"bank",0.884955644607544,2,512,1,"diavolo",0.25,0.865921807289124
"bank",0.884955644607544,8,256,1,"diavolo",0.25,0.865921801328659
"bank",0.884955704212189,16,1024,0.1,"rect",0.25,0.865921795368195
"bank",0.884955704212189,16,1024,0.1,"rect",0.5,0.865921795368195
"bank",0.884955763816833,16,1024,0.1,"diavolo",0.5,0.865921795368195
"bank",0.884955644607544,16,1024,1,"rect",0.25,0.865921795368195
"bank",0.884955704212189,16,1024,1,"rect",0.5,0.865921795368195
"bank",0.884955704212189,16,1024,1,"diavolo",0.25,0.865921795368195
"bank",0.884955644607544,16,512,1,"rect",0.25,0.865921795368195
"bank",0.884955644607544,16,512,1,"rect",0.5,0.865921795368195
"bank",0.884955704212189,16,512,1,"diavolo",0.5,0.865921795368195
"bank",0.884955704212189,16,256,1,"rect",0.25,0.865921795368195
"bank",0.884955644607544,16,256,1,"rect",0.5,0.865921795368195
"bank",0.884955644607544,16,256,1,"diavolo",0.25,0.865921795368195
"bank",0.884955704212189,16,256,1,"diavolo",0.5,0.865921795368195
"bank",0.884955704212189,8,1024,1,"rect",0.25,0.865921795368195
"bank",0.884955704212189,8,1024,1,"rect",0.5,0.865921795368195
"bank",0.884955704212189,8,1024,1,"diavolo",0.25,0.865921795368195
"bank",0.884955704212189,8,1024,1,"diavolo",0.5,0.865921795368195
"bank",0.884955644607544,8,512,1,"rect",0.5,0.865921795368195
"bank",0.884955644607544,8,512,1,"diavolo",0.25,0.865921795368195
"bank",0.884955644607544,8,512,1,"diavolo",0.5,0.865921795368195
"bank",0.884955704212189,8,256,1,"rect",0.25,0.865921795368195
"bank",0.884955763816833,8,256,1,"rect",0.5,0.865921795368195
"bank",0.884955644607544,8,256,1,"diavolo",0.5,0.865921795368195
"bank",0.884955704212189,4,1024,1,"rect",0.25,0.865921795368195
"bank",0.884955763816833,4,1024,1,"rect",0.5,0.865921795368195
"bank",0.884955763816833,4,512,1,"rect",0.25,0.865921795368195
"bank",0.884955704212189,4,512,1,"rect",0.5,0.865921795368195
"bank",0.884955704212189,4,512,1,"diavolo",0.25,0.865921795368195
"bank",0.884955644607544,4,512,1,"diavolo",0.5,0.865921795368195
"bank",0.884955704212189,4,256,1,"rect",0.25,0.865921795368195
"bank",0.884955704212189,4,256,1,"rect",0.5,0.865921795368195
"bank",0.884955704212189,4,256,1,"diavolo",0.5,0.865921795368195
"bank",0.884955763816833,3,1024,1,"rect",0.25,0.865921795368195
"bank",0.884955704212189,3,1024,1,"rect",0.5,0.865921795368195
"bank",0.884955763816833,3,1024,1,"diavolo",0.25,0.865921795368195
"bank",0.884955763816833,3,512,1,"rect",0.5,0.865921795368195
"bank",0.884955704212189,3,512,1,"diavolo",0.25,0.865921795368195
"bank",0.884955763816833,3,512,1,"diavolo",0.5,0.865921795368195
"bank",0.884955644607544,3,256,1,"rect",0.25,0.865921795368195
"bank",0.884955644607544,3,256,1,"rect",0.5,0.865921795368195
"bank",0.884955644607544,3,256,1,"diavolo",0.25,0.865921795368195
"bank",0.884955704212189,3,256,1,"diavolo",0.5,0.865921795368195
"bank",0.884070754051208,2,1024,0.01,"diavolo",0.25,0.865921795368195
"bank",0.884955644607544,2,1024,1,"rect",0.25,0.865921795368195
"bank",0.884955704212189,2,1024,1,"diavolo",0.25,0.865921795368195
"bank",0.884955644607544,2,1024,1,"diavolo",0.5,0.865921795368195
"bank",0.884955704212189,2,512,1,"rect",0.25,0.865921795368195
"bank",0.884955763816833,2,512,1,"rect",0.5,0.865921795368195
"bank",0.884955704212189,2,256,1,"rect",0.25,0.865921795368195
"bank",0.884955763816833,2,256,1,"rect",0.5,0.865921795368195
"bank",0.884955704212189,2,256,1,"diavolo",0.25,0.865921795368195
"bank",0.884955704212189,2,256,1,"diavolo",0.5,0.865921795368195
"bank",0.884955644607544,16,512,1,"diavolo",0.25,0.86592178940773
"bank",0.884955704212189,8,512,1,"rect",0.25,0.86592178940773
"bank",0.884955763816833,4,1024,1,"diavolo",0.25,0.86592178940773
"bank",0.884955704212189,4,1024,1,"diavolo",0.5,0.86592178940773
"bank",0.884955763816833,3,1024,1,"diavolo",0.5,0.86592178940773
"bank",0.884955704212189,2,1024,1,"rect",0.5,0.86592178940773
"bank",0.884955644607544,4,256,1,"diavolo",0.25,0.86592178940773
"bank",0.884955704212189,3,512,1,"rect",0.25,0.86592178940773
"bank",0.884955763816833,2,512,1,"diavolo",0.5,0.86592178940773
"bank",0.884955704212189,16,1024,1,"diavolo",0.5,0.865921783447266
"bank",0.88938045501709,16,512,0.01,"diavolo",0.5,0.865735590457916
"bank",0.893805325031281,3,256,0.1,"diavolo",0.5,0.865735578536987
"bank",0.884955763816833,3,512,0.01,"diavolo",0.25,0.865735572576523
"bank",0.882300853729248,3,256,0.1,"rect",0.25,0.865735572576523
