"dataset","valAccuracy","nblocks","learningrate","bottleneck","testAccuracy","nhidden","blockForm"
"post-operative",0.8,8,0.01,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.7875,4,0.01,0.25,0.727272748947144,256,"diavolo"
"post-operative",0.75,16,0.01,0.5,0.727272748947144,512,"rect"
"post-operative",0.75,16,0.01,0.25,0.727272748947144,256,"rect"
"post-operative",0.75,16,0.1,0.25,0.727272748947144,1024,"rect"
"post-operative",0.75,16,0.1,0.5,0.727272748947144,1024,"rect"
"post-operative",0.75,16,0.1,0.5,0.727272748947144,1024,"diavolo"
"post-operative",0.75,16,0.1,0.25,0.727272748947144,512,"rect"
"post-operative",0.75,16,0.1,0.5,0.727272748947144,512,"rect"
"post-operative",0.75,16,0.1,0.5,0.727272748947144,512,"diavolo"
"post-operative",0.75,16,0.1,0.5,0.727272748947144,256,"rect"
"post-operative",0.75,16,1,0.25,0.727272748947144,1024,"rect"
"post-operative",0.75,16,1,0.25,0.727272748947144,1024,"diavolo"
"post-operative",0.75,16,1,0.5,0.727272748947144,1024,"rect"
"post-operative",0.75,16,1,0.5,0.727272748947144,1024,"diavolo"
"post-operative",0.75,16,1,0.25,0.727272748947144,512,"rect"
"post-operative",0.75,16,1,0.25,0.727272748947144,512,"diavolo"
"post-operative",0.75,16,1,0.5,0.727272748947144,512,"rect"
"post-operative",0.75,16,1,0.5,0.727272748947144,512,"diavolo"
"post-operative",0.75,16,1,0.25,0.727272748947144,256,"rect"
"post-operative",0.75,16,1,0.25,0.727272748947144,256,"diavolo"
"post-operative",0.75,16,1,0.5,0.727272748947144,256,"rect"
"post-operative",0.75,16,1,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.75,8,0.01,0.5,0.727272748947144,512,"rect"
"post-operative",0.75,8,0.1,0.25,0.727272748947144,1024,"rect"
"post-operative",0.75,8,0.1,0.5,0.727272748947144,1024,"rect"
"post-operative",0.75,8,0.1,0.5,0.727272748947144,1024,"diavolo"
"post-operative",0.75,8,0.1,0.25,0.727272748947144,512,"rect"
"post-operative",0.75,8,0.1,0.25,0.727272748947144,512,"diavolo"
"post-operative",0.75,8,0.1,0.25,0.727272748947144,256,"diavolo"
"post-operative",0.75,8,1,0.25,0.727272748947144,1024,"rect"
"post-operative",0.75,8,1,0.25,0.727272748947144,1024,"diavolo"
"post-operative",0.75,8,1,0.5,0.727272748947144,1024,"rect"
"post-operative",0.75,8,1,0.5,0.727272748947144,1024,"diavolo"
"post-operative",0.75,8,1,0.25,0.727272748947144,512,"rect"
"post-operative",0.75,8,1,0.25,0.727272748947144,512,"diavolo"
"post-operative",0.75,8,1,0.5,0.727272748947144,512,"rect"
"post-operative",0.75,8,1,0.5,0.727272748947144,512,"diavolo"
"post-operative",0.75,8,1,0.25,0.727272748947144,256,"rect"
"post-operative",0.75,8,1,0.25,0.727272748947144,256,"diavolo"
"post-operative",0.75,8,1,0.5,0.727272748947144,256,"rect"
"post-operative",0.75,8,1,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.75,4,0.1,0.25,0.727272748947144,1024,"rect"
"post-operative",0.75,4,1,0.25,0.727272748947144,1024,"rect"
"post-operative",0.75,4,1,0.25,0.727272748947144,1024,"diavolo"
"post-operative",0.75,4,1,0.5,0.727272748947144,1024,"rect"
"post-operative",0.75,4,1,0.5,0.727272748947144,1024,"diavolo"
"post-operative",0.75,4,1,0.25,0.727272748947144,512,"rect"
"post-operative",0.75,4,1,0.25,0.727272748947144,512,"diavolo"
"post-operative",0.75,4,1,0.5,0.727272748947144,512,"rect"
"post-operative",0.75,4,1,0.5,0.727272748947144,512,"diavolo"
"post-operative",0.75,4,1,0.25,0.727272748947144,256,"rect"
"post-operative",0.75,4,1,0.25,0.727272748947144,256,"diavolo"
"post-operative",0.75,4,1,0.5,0.727272748947144,256,"rect"
"post-operative",0.75,4,1,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.75,3,0.01,0.25,0.727272748947144,1024,"diavolo"
"post-operative",0.75,3,0.01,0.5,0.727272748947144,1024,"rect"
"post-operative",0.75,3,0.01,0.5,0.727272748947144,512,"rect"
"post-operative",0.75,3,1,0.25,0.727272748947144,1024,"rect"
"post-operative",0.75,3,1,0.25,0.727272748947144,1024,"diavolo"
"post-operative",0.75,3,1,0.5,0.727272748947144,1024,"rect"
"post-operative",0.75,3,1,0.5,0.727272748947144,1024,"diavolo"
"post-operative",0.75,3,1,0.25,0.727272748947144,512,"rect"
"post-operative",0.75,3,1,0.25,0.727272748947144,512,"diavolo"
"post-operative",0.75,3,1,0.5,0.727272748947144,512,"rect"
"post-operative",0.75,3,1,0.5,0.727272748947144,512,"diavolo"
"post-operative",0.75,3,1,0.25,0.727272748947144,256,"rect"
"post-operative",0.75,3,1,0.25,0.727272748947144,256,"diavolo"
"post-operative",0.75,3,1,0.5,0.727272748947144,256,"rect"
"post-operative",0.75,3,1,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.75,2,0.01,0.25,0.636363625526428,512,"rect"
"post-operative",0.75,2,0.01,0.5,0.727272748947144,512,"rect"
"post-operative",0.75,2,0.01,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.75,2,1,0.25,0.727272748947144,1024,"rect"
"post-operative",0.75,2,1,0.25,0.727272748947144,1024,"diavolo"
"post-operative",0.75,2,1,0.5,0.727272748947144,1024,"rect"
"post-operative",0.75,2,1,0.5,0.727272748947144,1024,"diavolo"
"post-operative",0.75,2,1,0.25,0.727272748947144,512,"rect"
"post-operative",0.75,2,1,0.25,0.727272748947144,512,"diavolo"
"post-operative",0.75,2,1,0.5,0.727272748947144,512,"rect"
"post-operative",0.75,2,1,0.5,0.727272748947144,512,"diavolo"
"post-operative",0.75,2,1,0.25,0.727272748947144,256,"rect"
"post-operative",0.75,2,1,0.25,0.727272748947144,256,"diavolo"
"post-operative",0.75,2,1,0.5,0.727272748947144,256,"rect"
"post-operative",0.75,2,1,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.7375,16,0.1,0.25,0.727272748947144,1024,"diavolo"
"post-operative",0.7375,3,0.1,0.25,0.727272748947144,1024,"diavolo"
"post-operative",0.725,16,0.01,0.25,0.727272748947144,1024,"rect"
"post-operative",0.725,16,0.01,0.5,0.727272748947144,1024,"rect"
"post-operative",0.7125,16,0.1,0.25,0.727272748947144,256,"rect"
"post-operative",0.7125,3,0.01,0.25,0.681818187236786,512,"rect"
"post-operative",0.7125,8,0.01,0.5,0.727272748947144,1024,"rect"
"post-operative",0.6875,8,0.01,0.5,0.818181872367859,256,"rect"
"post-operative",0.6875,4,0.01,0.25,0.727272748947144,1024,"rect"
"post-operative",0.6875,4,0.1,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.6875,3,0.01,0.5,0.681818246841431,512,"diavolo"
"post-operative",0.6875,3,0.1,0.25,0.590909123420715,512,"diavolo"
"post-operative",0.6875,2,0.1,0.5,0.681818187236786,512,"rect"
"post-operative",0.675,16,0.01,0.5,0.636363625526428,512,"diavolo"
"post-operative",0.675,16,0.01,0.5,0.727272748947144,256,"rect"
"post-operative",0.675,16,0.01,0.5,0.5,256,"diavolo"
"post-operative",0.675,4,0.1,0.25,0.727272748947144,512,"rect"
"post-operative",0.675,3,0.1,0.5,0.727272748947144,512,"diavolo"
"post-operative",0.6625,8,0.01,0.5,0.727272748947144,1024,"diavolo"
"post-operative",0.6625,4,0.1,0.25,0.727272748947144,512,"diavolo"
"post-operative",0.6625,2,0.01,0.5,0.681818187236786,1024,"rect"
"post-operative",0.65,16,0.01,0.25,0.272727280855179,1024,"diavolo"
"post-operative",0.65,16,0.1,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.65,8,0.1,0.5,0.272727280855179,512,"diavolo"
"post-operative",0.65,4,0.01,0.5,0.727272748947144,512,"diavolo"
"post-operative",0.65,2,0.1,0.25,0.727272748947144,1024,"rect"
"post-operative",0.65,2,0.1,0.5,0.681818187236786,1024,"diavolo"
"post-operative",0.65,3,0.1,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.65,2,0.01,0.25,0.818181872367859,1024,"diavolo"
"post-operative",0.6375,8,0.01,0.25,0.681818187236786,1024,"rect"
"post-operative",0.6375,3,0.1,0.25,0.318181812763214,512,"rect"
"post-operative",0.6375,3,0.1,0.5,0.727272748947144,256,"rect"
"post-operative",0.6375,2,0.1,0.5,0.772727310657501,512,"diavolo"
"post-operative",0.6375,8,0.01,0.5,0.5,512,"diavolo"
"post-operative",0.6375,4,0.1,0.5,0.727272748947144,256,"rect"
"post-operative",0.625,8,0.1,0.5,0.727272748947144,512,"rect"
"post-operative",0.6125,8,0.01,0.25,0.772727310657501,512,"diavolo"
"post-operative",0.6125,16,0.01,0.5,0.772727310657501,1024,"diavolo"
"post-operative",0.6125,8,0.1,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.6125,3,0.1,0.5,0.681818187236786,512,"rect"
"post-operative",0.6125,3,0.1,0.25,0.590909123420715,256,"diavolo"
"post-operative",0.6125,2,0.1,0.25,0.727272748947144,256,"rect"
"post-operative",0.6,8,0.1,0.25,0.727272748947144,1024,"diavolo"
"post-operative",0.6,4,0.1,0.25,0.727272748947144,256,"rect"
"post-operative",0.6,3,0.01,0.25,0.727272748947144,1024,"rect"
"post-operative",0.5875,8,0.01,0.25,0.772727310657501,256,"rect"
"post-operative",0.5875,4,0.01,0.5,0.590909123420715,1024,"rect"
"post-operative",0.5875,2,0.1,0.25,0.590909123420715,512,"diavolo"
"post-operative",0.5875,2,0.1,0.5,0.636363625526428,256,"rect"
"post-operative",0.5875,8,0.01,0.25,0.681818187236786,512,"rect"
"post-operative",0.575,16,0.1,0.25,0.727272748947144,512,"diavolo"
"post-operative",0.575,4,0.1,0.5,0.727272748947144,512,"diavolo"
"post-operative",0.575,4,0.1,0.25,0.545454561710358,1024,"diavolo"
"post-operative",0.575,2,0.01,0.25,0.545454561710358,512,"diavolo"
