"dataset","learningrate","testAccuracy","bottleneck","blockForm","valAccuracy","nblocks","nhidden"
"breast-cancer",0.01,0.676056325435638,0.25,"diavolo",0.833333373069763,2,1024
"breast-cancer",1,0.704225301742554,0.25,"rect",0.833333373069763,2,1024
"breast-cancer",1,0.704225301742554,0.25,"diavolo",0.833333373069763,2,1024
"breast-cancer",1,0.704225301742554,0.5,"rect",0.833333373069763,2,1024
"breast-cancer",1,0.704225301742554,0.5,"diavolo",0.833333373069763,2,1024
"breast-cancer",1,0.704225301742554,0.25,"rect",0.833333373069763,2,512
"breast-cancer",1,0.704225301742554,0.25,"diavolo",0.833333373069763,2,512
"breast-cancer",1,0.704225301742554,0.5,"rect",0.833333373069763,2,512
"breast-cancer",1,0.704225301742554,0.5,"diavolo",0.833333373069763,2,512
"breast-cancer",1,0.704225301742554,0.25,"rect",0.833333373069763,2,256
"breast-cancer",1,0.704225301742554,0.25,"diavolo",0.833333373069763,2,256
"breast-cancer",1,0.704225301742554,0.5,"rect",0.833333373069763,2,256
"breast-cancer",1,0.704225301742554,0.5,"diavolo",0.833333373069763,2,256
"breast-cancer",0.1,0.718309819698334,0.25,"rect",0.833333361148834,3,256
"breast-cancer",0.1,0.760563373565674,0.5,"rect",0.829166704416275,4,512
"breast-cancer",0.01,0.633802771568298,0.25,"rect",0.829166686534882,8,256
"breast-cancer",0.01,0.690140843391418,0.25,"diavolo",0.825000035762787,4,1024
"breast-cancer",0.01,0.718309819698334,0.25,"diavolo",0.825000035762787,4,512
"breast-cancer",0.1,0.676056265830994,0.5,"diavolo",0.825000029802323,2,512
"breast-cancer",0.1,0.732394337654114,0.25,"diavolo",0.820833373069763,3,256
"breast-cancer",0.01,0.704225361347198,0.5,"rect",0.820833367109299,16,256
"breast-cancer",0.01,0.704225361347198,0.5,"diavolo",0.820833367109299,16,256
"breast-cancer",0.01,0.746478796005249,0.5,"diavolo",0.820833367109299,4,512
"breast-cancer",0.1,0.676056265830994,0.5,"diavolo",0.820833367109299,3,256
"breast-cancer",0.01,0.676056325435638,0.5,"rect",0.820833367109299,2,256
"breast-cancer",0.1,0.704225301742554,0.5,"diavolo",0.820833361148834,4,1024
"breast-cancer",0.1,0.746478855609894,0.25,"rect",0.812500029802322,3,512
"breast-cancer",0.1,0.732394337654114,0.25,"rect",0.812500029802322,2,1024
"breast-cancer",0.1,0.690140843391418,0.25,"diavolo",0.808333367109299,4,256
"breast-cancer",0.01,0.732394337654114,0.25,"diavolo",0.808333361148834,8,1024
"breast-cancer",0.01,0.690140843391418,0.5,"diavolo",0.804166692495346,4,256
"breast-cancer",0.01,0.732394337654114,0.5,"diavolo",0.804166692495346,3,1024
"breast-cancer",0.01,0.704225301742554,0.5,"rect",0.795833367109299,8,1024
"breast-cancer",0.1,0.676056325435638,0.25,"diavolo",0.795833361148834,4,1024
"breast-cancer",0.1,0.732394337654114,0.5,"rect",0.795833361148834,4,256
"breast-cancer",0.1,0.746478855609894,0.5,"diavolo",0.795833361148834,2,256
"breast-cancer",0.01,0.732394337654114,0.25,"rect",0.795833361148834,4,1024
"breast-cancer",0.1,0.746478855609894,0.5,"rect",0.791666692495346,8,256
"breast-cancer",0.01,0.690140843391418,0.25,"rect",0.791666686534882,2,256
"breast-cancer",0.01,0.718309819698334,0.5,"rect",0.787500017881394,3,1024
"breast-cancer",0.01,0.774647831916809,0.5,"diavolo",0.787500017881394,3,512
"breast-cancer",0.01,0.690140843391418,0.5,"rect",0.787500017881394,2,512
"breast-cancer",0.01,0.732394337654114,0.25,"diavolo",0.787500017881394,2,256
"breast-cancer",0.1,0.746478855609894,0.5,"diavolo",0.787500017881394,2,1024
"breast-cancer",0.1,0.676056325435638,0.25,"diavolo",0.783333361148834,2,1024
"breast-cancer",0.01,0.704225361347198,0.25,"diavolo",0.783333361148834,16,1024
"breast-cancer",0.01,0.746478855609894,0.5,"diavolo",0.779166692495346,8,1024
"breast-cancer",0.01,0.676056265830994,0.5,"rect",0.779166692495346,8,256
"breast-cancer",0.1,0.746478855609894,0.25,"diavolo",0.779166686534882,8,512
"breast-cancer",0.1,0.718309819698334,0.5,"diavolo",0.779166680574417,3,512
"breast-cancer",0.01,0.732394337654114,0.5,"diavolo",0.779166680574417,2,1024
"breast-cancer",0.01,0.732394337654114,0.25,"rect",0.775000029802323,16,256
"breast-cancer",0.01,0.704225301742554,0.5,"rect",0.775000023841858,2,1024
"breast-cancer",0.01,0.774647891521454,0.25,"rect",0.775000011920929,4,256
"breast-cancer",0.1,0.647887349128723,0.5,"rect",0.770833349227905,2,1024
"breast-cancer",0.01,0.746478915214539,0.5,"rect",0.770833343267441,3,512
"breast-cancer",0.01,0.746478796005249,0.5,"rect",0.766666686534882,8,512
"breast-cancer",0.1,0.633802831172943,0.25,"rect",0.766666680574417,4,512
"breast-cancer",0.01,0.577464759349823,0.25,"diavolo",0.766666680574417,3,256
"breast-cancer",0.1,0.661971867084503,0.25,"rect",0.766666674613953,2,512
"breast-cancer",0.1,0.676056325435638,0.25,"rect",0.766666674613953,2,256
"breast-cancer",0.01,0.661971867084503,0.5,"rect",0.762500017881393,4,1024
"breast-cancer",0.01,0.718309879302979,0.25,"diavolo",0.762500005960465,3,512
"breast-cancer",0.1,0.704225361347198,0.5,"diavolo",0.758333349227905,4,512
"breast-cancer",0.01,0.704225301742554,0.25,"rect",0.758333343267441,3,512
"breast-cancer",0.1,0.718309879302979,0.25,"diavolo",0.754166686534882,3,512
"breast-cancer",0.01,0.746478855609894,0.25,"diavolo",0.750000011920929,16,256
"breast-cancer",0.01,0.633802771568298,0.25,"diavolo",0.745833361148834,8,256
"breast-cancer",0.1,0.718309819698334,0.25,"diavolo",0.745833343267441,3,1024
"breast-cancer",0.1,0.647887289524078,0.5,"rect",0.741666686534882,2,512
"breast-cancer",0.1,0.718309819698334,0.25,"diavolo",0.737500035762787,4,512
"breast-cancer",0.1,0.690140843391418,0.25,"diavolo",0.737500023841858,16,256
"breast-cancer",0.01,0.718309819698334,0.25,"rect",0.737500017881394,3,1024
"breast-cancer",0.1,0.690140902996063,0.5,"rect",0.737500011920929,3,256
"breast-cancer",0.01,0.690140843391418,0.25,"rect",0.729166686534882,8,512
"breast-cancer",0.1,0.690140902996063,0.5,"diavolo",0.725000023841858,3,1024
"breast-cancer",0.1,0.676056385040283,0.5,"diavolo",0.720833367109299,4,256
"breast-cancer",0.01,0.690140843391418,0.5,"diavolo",0.720833343267441,8,256
"breast-cancer",0.01,0.704225361347198,0.5,"diavolo",0.716666692495346,8,512
"breast-cancer",0.1,0.690140843391418,0.25,"diavolo",0.712500029802322,8,256
"breast-cancer",0.01,0.647887349128723,0.25,"diavolo",0.712500023841858,2,512
"breast-cancer",0.1,0.295774638652802,0.25,"diavolo",0.708333365619183,8,1024
"breast-cancer",0.01,0.690140843391418,0.5,"diavolo",0.708333361148834,16,512
"breast-cancer",0.1,0.732394397258759,0.5,"rect",0.704166692495346,3,512
"breast-cancer",0.1,0.704225301742554,0.5,"rect",0.700000032782555,16,256
"breast-cancer",0.1,0.704225361347198,0.5,"diavolo",0.695833361148834,8,512
"breast-cancer",0.1,0.633802831172943,0.5,"diavolo",0.69583335518837,8,256
"breast-cancer",0.1,0.690140843391418,0.25,"diavolo",0.695833349227905,2,512
"breast-cancer",0.01,0.704225301742554,0.25,"diavolo",0.691666686534882,3,1024
"breast-cancer",0.01,0.563380241394043,0.5,"rect",0.687500029802322,3,256
"breast-cancer",0.01,0.633802771568298,0.25,"rect",0.679166686534882,4,512
"breast-cancer",0.1,0.746478855609894,0.25,"rect",0.675000023841858,4,256
"breast-cancer",0.01,0.676056265830994,0.5,"rect",0.675000023841858,16,512
"breast-cancer",0.01,0.591549277305603,0.5,"diavolo",0.666666686534882,2,512
"breast-cancer",0.01,0.704225301742554,0.5,"rect",0.662500022351742,16,1024
"breast-cancer",0.1,0.704225301742554,0.5,"diavolo",0.645833364129067,8,1024
"breast-cancer",0.01,0.633802831172943,0.25,"rect",0.645833349227905,16,1024
"breast-cancer",0.01,0.760563373565674,0.5,"diavolo",0.641666674613953,2,256
"breast-cancer",0.01,0.633802771568298,0.25,"rect",0.637500011920929,2,512
"breast-cancer",0.1,0.295774638652802,0.5,"rect",0.63333336263895,8,512
"breast-cancer",0.1,0.704225301742554,0.5,"rect",0.600000025331974,4,1024
"breast-cancer",0.01,0.49295774102211,0.5,"rect",0.587500023841858,4,256
"breast-cancer",0.1,0.295774638652802,0.25,"rect",0.566666692495346,16,256
"breast-cancer",0.1,0.295774638652802,0.25,"rect",0.566666692495346,8,512
"breast-cancer",0.1,0.704225301742554,0.25,"rect",0.566666692495346,3,1024
"breast-cancer",0.01,0.605633795261383,0.25,"diavolo",0.566666683554649,8,512
"breast-cancer",0.01,0.661971807479858,0.25,"diavolo",0.566666673123837,16,512
"breast-cancer",0.01,0.464788734912872,0.5,"diavolo",0.562500020861626,16,1024
"breast-cancer",0.1,0.295774638652802,0.5,"rect",0.462500010430813,3,1024
"breast-cancer",0.1,0.295774638652802,0.5,"diavolo",0.433333352208138,16,256
"breast-cancer",0.1,0.295774638652802,0.25,"rect",0.433333352208138,4,1024
