"dataset","blockForm","nblocks","learningrate","testAccuracy","bottleneck","nhidden","valAccuracy"
"spectf","rect",2,0.1,0.919786214828491,0.25,512,0.495238125324249
"spectf","diavolo",4,0.01,0.812834203243256,0.5,1024,0.495238125324249
"spectf","diavolo",3,0.01,0.727272748947144,0.5,1024,0.495238125324249
"spectf","diavolo",3,0.1,0.513368964195251,0.25,1024,0.495238125324249
"spectf","diavolo",16,0.1,0.0802139043807983,0.25,512,0.490476220846176
"spectf","rect",8,0.01,0.909090995788574,0.5,256,0.490476220846176
"spectf","rect",4,0.1,0.59358286857605,0.25,1024,0.490476220846176
"spectf","rect",4,0.1,0.919786095619202,0.25,512,0.490476220846176
"spectf","diavolo",4,0.1,0.155080229043961,0.5,512,0.490476220846176
"spectf","rect",4,0.1,0.44385027885437,0.25,256,0.490476220846176
"spectf","rect",2,0.01,0.695187151432037,0.25,1024,0.490476220846176
"spectf","rect",4,0.1,0.0802139043807983,0.5,1024,0.490476220846176
"spectf","diavolo",4,0.1,0.625668466091156,0.25,256,0.490476220846176
"spectf","diavolo",3,0.1,0.513368964195251,0.25,256,0.490476220846176
"spectf","rect",3,1,0.0802139043807983,0.25,256,0.490476220846176
"spectf","rect",2,0.1,0.631016075611115,0.5,256,0.490476220846176
"spectf","rect",16,0.1,0.919786214828491,0.5,256,0.485714316368103
"spectf","rect",4,0.01,0.352941155433655,0.5,512,0.485714316368103
"spectf","rect",4,0.01,0.652406454086304,0.25,256,0.485714316368103
"spectf","rect",3,0.01,0.459893047809601,0.25,256,0.485714316368103
"spectf","diavolo",3,0.1,0.604278087615967,0.25,512,0.485714316368103
"spectf","rect",3,1,0.0802139043807983,0.5,256,0.485714316368103
"spectf","rect",2,0.01,0.903743386268616,0.25,256,0.485714316368103
"spectf","rect",2,0.1,0.449197888374329,0.25,256,0.485714316368103
"spectf","diavolo",2,0.1,0.566844940185547,0.25,256,0.485714316368103
"spectf","rect",2,1,0.0802139043807983,0.5,256,0.485714316368103
"spectf","rect",8,0.01,0.8128342628479,0.5,512,0.485714313387871
"spectf","diavolo",16,0.1,0.0802139043807983,0.5,1024,0.48095241189003
"spectf","rect",16,0.1,0.0802139043807983,0.25,256,0.48095241189003
"spectf","diavolo",16,1,0.0802139043807983,0.25,512,0.48095241189003
"spectf","diavolo",16,1,0.0802139043807983,0.5,512,0.48095241189003
"spectf","diavolo",8,0.01,0.486631035804749,0.5,512,0.48095241189003
"spectf","rect",8,0.1,0.0802139043807983,0.5,1024,0.48095241189003
"spectf","diavolo",8,0.1,0.0802139043807983,0.5,1024,0.48095241189003
"spectf","diavolo",8,1,0.0802139043807983,0.25,512,0.48095241189003
"spectf","rect",4,0.01,0.796791434288025,0.5,1024,0.48095241189003
"spectf","diavolo",4,1,0.0802139043807983,0.25,1024,0.48095241189003
"spectf","rect",4,1,0.0802139043807983,0.25,512,0.48095241189003
"spectf","diavolo",4,1,0.0802139043807983,0.25,512,0.48095241189003
"spectf","rect",4,1,0.0802139043807983,0.5,256,0.48095241189003
"spectf","rect",3,0.1,0.0802139043807983,0.25,1024,0.48095241189003
"spectf","rect",3,1,0.0802139043807983,0.25,512,0.48095241189003
"spectf","diavolo",2,0.01,0.684491991996765,0.5,1024,0.48095241189003
"spectf","diavolo",2,0.01,0.705882370471954,0.25,256,0.48095241189003
"spectf","rect",2,0.1,0.320855617523193,0.5,512,0.48095241189003
"spectf","rect",2,1,0.0802139043807983,0.25,1024,0.48095241189003
"spectf","rect",2,1,0.0802139043807983,0.5,1024,0.48095241189003
"spectf","diavolo",2,1,0.0802139043807983,0.25,1024,0.48095241189003
"spectf","diavolo",2,1,0.0802139043807983,0.5,1024,0.48095241189003
"spectf","rect",2,1,0.0802139043807983,0.5,512,0.48095241189003
"spectf","diavolo",2,1,0.0802139043807983,0.25,512,0.48095241189003
"spectf","diavolo",2,1,0.0802139043807983,0.5,512,0.48095241189003
"spectf","diavolo",2,1,0.0802139043807983,0.5,256,0.48095241189003
"spectf","diavolo",16,0.01,0.401069521903992,0.5,512,0.476190507411957
"spectf","diavolo",16,0.01,0.0962566882371902,0.25,256,0.476190507411957
"spectf","rect",16,0.1,0.0802139043807983,0.25,1024,0.476190507411957
"spectf","rect",16,0.1,0.0802139043807983,0.5,1024,0.476190507411957
"spectf","diavolo",16,0.1,0.0802139043807983,0.25,1024,0.476190507411957
"spectf","rect",16,0.1,0.0802139043807983,0.25,512,0.476190507411957
"spectf","rect",16,0.1,0.0802139043807983,0.5,512,0.476190507411957
"spectf","diavolo",16,0.1,0.101604282855988,0.5,512,0.476190507411957
"spectf","rect",16,1,0.0802139043807983,0.25,1024,0.476190507411957
"spectf","rect",16,1,0.0802139043807983,0.5,1024,0.476190507411957
"spectf","diavolo",16,1,0.0802139043807983,0.25,1024,0.476190507411957
"spectf","diavolo",16,1,0.0802139043807983,0.5,1024,0.476190507411957
"spectf","rect",16,1,0.0802139043807983,0.25,512,0.476190507411957
"spectf","rect",16,1,0.0802139043807983,0.5,512,0.476190507411957
"spectf","rect",16,1,0.0802139043807983,0.25,256,0.476190507411957
"spectf","rect",16,1,0.0802139043807983,0.5,256,0.476190507411957
"spectf","diavolo",16,1,0.0802139043807983,0.25,256,0.476190507411957
"spectf","diavolo",16,1,0.0802139043807983,0.5,256,0.476190507411957
"spectf","rect",8,0.1,0.0802139043807983,0.25,1024,0.476190507411957
