"dataset","nhidden","nblocks","learningrate","bottleneck","blockForm","testAccuracy","valAccuracy"
"ecoli",256,4,0.1,0.5,"diavolo",0.797619104385376,0.748717963695526
"ecoli",256,2,0.1,0.5,"rect",0.785714268684387,0.748717963695526
"ecoli",512,3,0.1,0.25,"diavolo",0.809523820877075,0.746153861284256
"ecoli",256,16,0.01,0.25,"rect",0.738095283508301,0.743589758872986
"ecoli",1024,2,0.01,0.25,"diavolo",0.797619104385376,0.743589758872986
"ecoli",256,2,0.01,0.25,"rect",0.809523820877075,0.743589758872986
"ecoli",512,2,0.1,0.5,"diavolo",0.785714328289032,0.743589758872986
"ecoli",256,4,0.01,0.5,"diavolo",0.857142925262451,0.741025656461716
"ecoli",256,4,0.1,0.25,"diavolo",0.797619104385376,0.741025656461716
"ecoli",1024,16,0.01,0.5,"rect",0.809523820877075,0.738461554050445
"ecoli",512,4,0.1,0.5,"rect",0.809523820877075,0.738461554050445
"ecoli",256,4,0.1,0.5,"rect",0.785714268684387,0.738461554050445
"ecoli",256,3,0.1,0.5,"rect",0.821428596973419,0.738461554050445
"ecoli",1024,2,0.1,0.5,"rect",0.797619104385376,0.738461554050445
"ecoli",256,3,0.1,0.5,"diavolo",0.809523820877075,0.735897451639175
"ecoli",256,16,0.01,0.5,"diavolo",0.797619044780731,0.733333349227905
"ecoli",256,8,0.1,0.25,"rect",0.809523820877075,0.733333349227905
"ecoli",1024,2,0.01,0.25,"rect",0.797619044780731,0.733333349227905
"ecoli",1024,3,0.01,0.25,"rect",0.785714268684387,0.730769246816635
"ecoli",512,2,0.01,0.5,"rect",0.761904835700989,0.730769246816635
"ecoli",1024,8,0.01,0.5,"rect",0.833333373069763,0.728205144405365
"ecoli",256,8,0.1,0.25,"diavolo",0.845238149166107,0.728205144405365
"ecoli",1024,4,0.1,0.25,"diavolo",0.833333373069763,0.728205144405365
"ecoli",256,2,0.1,0.25,"rect",0.833333373069763,0.728205144405365
"ecoli",256,2,0.1,0.25,"diavolo",0.833333373069763,0.725641041994095
