"dataset","blockForm","valAccuracy","nhidden","testAccuracy","bottleneck","nblocks","learningrate"
"audiology-std","diavolo",0.580645143985748,1024,0.639999985694885,0.5,2,0.01
"audiology-std","rect",0.57741933465004,512,0.560000002384186,0.25,4,0.01
"audiology-std","rect",0.567741912603378,256,0.560000002384186,0.25,4,0.1
"audiology-std","diavolo",0.567741906642914,1024,0.519999980926514,0.25,4,0.01
"audiology-std","diavolo",0.567741906642914,512,0.719999969005585,0.25,2,0.1
"audiology-std","rect",0.561290287971497,512,0.639999985694885,0.5,16,0.01
"audiology-std","diavolo",0.554838669300079,512,0.599999964237213,0.5,8,0.01
"audiology-std","diavolo",0.548387050628662,512,0.599999964237213,0.25,2,0.01
"audiology-std","diavolo",0.548387050628662,512,0.679999947547913,0.5,2,0.01
"audiology-std","rect",0.545161265134811,1024,0.679999947547913,0.5,3,0.1
"audiology-std","rect",0.545161256194115,256,0.600000023841858,0.25,8,0.1
"audiology-std","diavolo",0.541935443878174,256,0.479999989271164,0.5,3,0.1
"audiology-std","diavolo",0.53870964050293,1024,0.359999984502792,0.25,8,0.01
"audiology-std","diavolo",0.535483837127686,1024,0.639999985694885,0.25,3,0.01
"audiology-std","rect",0.532258033752441,512,0.519999980926514,0.5,2,0.01
"audiology-std","rect",0.522580623626709,1024,0.720000028610229,0.5,2,0.01
"audiology-std","rect",0.516129016876221,256,0.560000002384186,0.25,4,0.01
"audiology-std","rect",0.516129016876221,256,0.679999947547913,0.5,4,0.1
"audiology-std","diavolo",0.496774169802666,512,0.359999984502792,0.25,8,0.1
"audiology-std","diavolo",0.483870953321457,256,0.399999976158142,0.25,16,0.01
"audiology-std","diavolo",0.45483869612217,512,0.199999988079071,0.25,8,0.01
"audiology-std","diavolo",0.451612889766693,256,0.560000002384186,0.5,8,0.01
"audiology-std","rect",0.419354826211929,256,0.359999984502792,0.25,8,0.01
"audiology-std","diavolo",0.412903213500977,256,0.599999964237213,0.25,4,0.01
"audiology-std","rect",0.396774181723595,512,0.439999997615814,0.25,8,0.01
"audiology-std","diavolo",0.396774181723595,256,0.159999996423721,0.25,8,0.01
"audiology-std","diavolo",0.358064505457878,256,0.559999942779541,0.5,4,0.01
"audiology-std","diavolo",0.316129022836685,256,0.439999997615814,0.5,16,0.01
"audiology-std","diavolo",0.306451603770256,1024,0.559999942779541,0.25,8,0.1
"audiology-std","diavolo",0.293548378348351,256,0.560000002384186,0.25,16,0.1
"audiology-std","rect",0.248387089371681,256,0.600000023841858,0.25,16,0.1
"audiology-std","rect",0.232258057594299,512,0,0.25,8,0.1
"audiology-std","diavolo",0.225806444883347,256,0.439999997615814,0.5,16,0.1
"audiology-std","rect",0.225806444883347,1024,0,0.5,8,0.1
"audiology-std","rect",0.219354832172394,256,0.439999997615814,0.25,2,1
"audiology-std","rect",0.219354832172394,256,0.439999997615814,0.5,2,1
"audiology-std","rect",0.199999994039536,1024,0.439999997615814,0.5,3,1
"audiology-std","rect",0.199999994039536,256,0.439999997615814,0.25,3,1
"audiology-std","rect",0.199999994039536,512,0.439999997615814,0.25,2,1
"audiology-std","diavolo",0.199999994039536,512,0.439999997615814,0.5,2,1
"audiology-std","rect",0.199999994039536,256,0,0.5,16,0.1
"audiology-std","rect",0.196774187684059,1024,0.159999996423721,0.25,4,0.1
"audiology-std","rect",0.190322574973106,1024,0.439999997615814,0.25,8,0.1
"audiology-std","diavolo",0.18709676861763,256,0.439999997615814,0.25,3,1
"audiology-std","rect",0.180645155906677,1024,0.439999997615814,0.25,16,0.1
"audiology-std","diavolo",0.180645155906677,1024,0.439999997615814,0.5,4,1
"audiology-std","rect",0.180645155906677,256,0.439999997615814,0.25,4,1
"audiology-std","rect",0.180645155906677,256,0.439999997615814,0.5,4,1
"audiology-std","rect",0.180645155906677,512,0.439999997615814,0.5,3,1
"audiology-std","rect",0.180645155906677,512,0.439999997615814,0.5,2,1
"audiology-std","diavolo",0.177419349551201,1024,0.439999997615814,0.5,16,0.1
"audiology-std","rect",0.177419349551201,512,0.439999997615814,0.5,8,0.1
"audiology-std","diavolo",0.174193543195724,512,0.439999997615814,0.25,3,1
"audiology-std","rect",0.170967736840248,512,0.439999997615814,0.25,16,0.1
"audiology-std","diavolo",0.170967736840248,512,0.439999997615814,0.25,2,1
"audiology-std","diavolo",0.167741930484772,512,0.439999997615814,0.25,4,1
"audiology-std","diavolo",0.167741930484772,256,0.439999997615814,0.25,4,1
"audiology-std","rect",0.167741930484772,512,0.439999997615814,0.25,3,1
"audiology-std","diavolo",0.167741930484772,1024,0.439999997615814,0.25,2,1
"audiology-std","diavolo",0.164516124129295,256,0.159999996423721,0.25,2,1
"audiology-std","rect",0.164516124129295,1024,0.479999989271164,0.5,16,0.1
"audiology-std","diavolo",0.164516124129295,512,0.439999997615814,0.25,16,1
"audiology-std","rect",0.164516124129295,512,0.439999997615814,0.5,4,1
"audiology-std","diavolo",0.164516124129295,256,0.439999997615814,0.5,2,1
"audiology-std","rect",0.161290317773819,512,0.439999997615814,0.5,16,0.1
"audiology-std","rect",0.161290317773819,1024,0.439999997615814,0.25,16,1
"audiology-std","rect",0.161290317773819,1024,0.439999997615814,0.5,16,1
"audiology-std","diavolo",0.161290317773819,1024,0.439999997615814,0.25,16,1
"audiology-std","diavolo",0.161290317773819,1024,0.439999997615814,0.5,16,1
"audiology-std","rect",0.161290317773819,512,0.439999997615814,0.25,16,1
"audiology-std","rect",0.161290317773819,512,0.439999997615814,0.5,16,1
"audiology-std","diavolo",0.161290317773819,512,0.439999997615814,0.5,16,1
"audiology-std","rect",0.161290317773819,256,0.439999997615814,0.25,16,1
"audiology-std","rect",0.161290317773819,256,0.439999997615814,0.5,16,1
"audiology-std","diavolo",0.161290317773819,256,0.439999997615814,0.25,16,1
"audiology-std","diavolo",0.161290317773819,256,0.439999997615814,0.5,16,1
"audiology-std","rect",0.161290317773819,1024,0.439999997615814,0.25,8,1
"audiology-std","rect",0.161290317773819,1024,0.439999997615814,0.5,8,1
"audiology-std","diavolo",0.161290317773819,1024,0.439999997615814,0.25,8,1
"audiology-std","diavolo",0.161290317773819,1024,0.439999997615814,0.5,8,1
"audiology-std","rect",0.161290317773819,512,0.439999997615814,0.25,8,1
"audiology-std","rect",0.161290317773819,512,0.439999997615814,0.5,8,1
"audiology-std","diavolo",0.161290317773819,512,0.439999997615814,0.25,8,1
"audiology-std","diavolo",0.161290317773819,512,0.439999997615814,0.5,8,1
"audiology-std","rect",0.161290317773819,256,0.439999997615814,0.25,8,1
"audiology-std","rect",0.161290317773819,256,0.439999997615814,0.5,8,1
"audiology-std","diavolo",0.161290317773819,256,0.439999997615814,0.25,8,1
"audiology-std","diavolo",0.161290317773819,256,0.439999997615814,0.5,8,1
"audiology-std","rect",0.161290317773819,1024,0.439999997615814,0.25,4,1
"audiology-std","rect",0.161290317773819,1024,0.439999997615814,0.5,4,1
"audiology-std","diavolo",0.161290317773819,1024,0.439999997615814,0.25,4,1
"audiology-std","rect",0.161290317773819,512,0.439999997615814,0.25,4,1
"audiology-std","diavolo",0.161290317773819,512,0.439999997615814,0.5,4,1
"audiology-std","diavolo",0.161290317773819,256,0.439999997615814,0.5,4,1
"audiology-std","rect",0.161290317773819,1024,0.439999997615814,0.25,3,1
"audiology-std","diavolo",0.161290317773819,1024,0.439999997615814,0.25,3,1
"audiology-std","diavolo",0.161290317773819,1024,0.439999997615814,0.5,3,1
