"dataset","bottleneck","testAccuracy","nblocks","learningrate","nhidden","blockForm","valAccuracy"
"haberman-survival",0.5,0.736842095851898,4,1,1024,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,1024,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,4,1,512,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,4,1,512,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,512,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,512,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,4,1,256,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,4,1,256,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,256,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,256,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,3,1,1024,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,3,1,1024,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,3,1,1024,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,3,1,1024,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,3,1,512,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,3,1,512,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,3,1,512,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,3,1,512,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,3,1,256,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,3,1,256,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,3,1,256,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,3,1,256,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,2,1,1024,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,2,1,1024,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,2,1,1024,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,2,1,1024,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,2,1,512,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,2,1,512,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,2,1,512,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,2,1,512,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,2,1,256,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,2,1,256,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,2,1,256,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,2,1,256,"diavolo",0.71875
"haberman-survival",0.5,0.723684191703796,8,0.01,256,"diavolo",0.71875
"haberman-survival",0.25,0.723684191703796,4,0.1,256,"diavolo",0.715625
"haberman-survival",0.25,0.736842095851898,3,0.01,1024,"diavolo",0.715625
"haberman-survival",0.5,0.736842095851898,3,0.1,1024,"diavolo",0.715625
"haberman-survival",0.25,0.684210479259491,3,0.01,256,"rect",0.715625
"haberman-survival",0.25,0.64473682641983,8,0.01,1024,"rect",0.7125
"haberman-survival",0.5,0.736842095851898,4,0.01,512,"diavolo",0.7125
"haberman-survival",0.5,0.710526287555695,4,0.1,256,"rect",0.7125
"haberman-survival",0.25,0.723684191703796,3,0.01,512,"rect",0.709375
