"dataset","valAccuracy","nblocks","learningrate","testAccuracy","blockForm","bottleneck","nhidden"
"mammographic",0.885964941978455,8,0.01,0.783333420753479,"diavolo",0.25,512
"mammographic",0.884210509061814,3,0.01,0.791666746139526,"diavolo",0.5,1024
"mammographic",0.883333337306976,3,0.01,0.816666722297668,"rect",0.25,512
"mammographic",0.88157896399498,3,0.01,0.783333420753479,"diavolo",0.25,1024
"mammographic",0.880701738595963,16,0.01,0.82916671037674,"rect",0.25,1024
"mammographic",0.879824560880661,3,0.1,0.820833444595337,"diavolo",0.5,1024
"mammographic",0.877193015813827,2,0.01,0.829166769981384,"diavolo",0.25,256
"mammographic",0.877192980051041,8,0.01,0.791666746139526,"rect",0.5,256
"mammographic",0.877192968130112,8,0.1,0.820833384990692,"diavolo",0.25,512
"mammographic",0.876315784454346,3,0.01,0.779166758060455,"diavolo",0.25,512
"mammographic",0.875438612699509,4,0.1,0.82916671037674,"diavolo",0.25,1024
"mammographic",0.875438588857651,2,0.1,0.804166793823242,"diavolo",0.25,512
"mammographic",0.874561417102814,2,0.1,0.816666722297668,"diavolo",0.5,256
"mammographic",0.874561381340027,2,0.01,0.787500083446503,"rect",0.25,256
"mammographic",0.873684227466583,2,0.1,0.837500035762787,"rect",0.25,1024
"mammographic",0.873684215545654,2,0.1,0.837500095367432,"rect",0.5,1024
"mammographic",0.873684191703797,3,0.01,0.812500059604645,"diavolo",0.5,512
"mammographic",0.87280700802803,4,0.1,0.816666781902313,"diavolo",0.5,512
"mammographic",0.871929836273193,2,0.01,0.816666722297668,"diavolo",0.5,1024
"mammographic",0.871929824352265,2,0.1,0.837500095367432,"diavolo",0.25,256
"mammographic",0.871929824352264,8,0.01,0.812500059604645,"rect",0.25,512
"mammographic",0.871929812431335,8,0.1,0.800000071525574,"diavolo",0.5,1024
"mammographic",0.871929806470871,3,0.1,0.833333373069763,"rect",0.25,512
"mammographic",0.871929800510406,3,0.1,0.816666781902313,"diavolo",0.25,256
"mammographic",0.871052622795105,16,0.01,0.79583340883255,"diavolo",0.5,512
"mammographic",0.87105261683464,2,0.1,0.812500059604645,"diavolo",0.25,1024
"mammographic",0.870175457000732,4,0.01,0.720833420753479,"rect",0.5,1024
"mammographic",0.870175451040268,4,0.1,0.816666722297668,"diavolo",0.5,1024
"mammographic",0.870175445079804,4,0.1,0.833333432674408,"rect",0.5,512
"mammographic",0.870175445079803,16,0.01,0.800000131130219,"rect",0.5,1024
"mammographic",0.870175439119339,3,0.1,0.833333432674408,"rect",0.5,1024
"mammographic",0.869298249483109,4,0.1,0.808333396911621,"rect",0.25,512
"mammographic",0.869298249483109,3,0.1,0.82916671037674,"rect",0.25,1024
"mammographic",0.869298225641251,8,0.1,0.829166769981384,"diavolo",0.25,256
"mammographic",0.868421077728271,2,0.01,0.770833373069763,"rect",0.25,512
"mammographic",0.868421059846878,2,0.1,0.825000107288361,"rect",0.5,512
"mammographic",0.867543870210648,2,0.1,0.825000047683716,"rect",0.25,512
"mammographic",0.86754384636879,2,0.01,0.79583340883255,"rect",0.5,1024
"mammographic",0.865789479017258,8,0.01,0.79583340883255,"rect",0.25,1024
"mammographic",0.865789479017258,3,0.1,0.812500059604645,"diavolo",0.25,1024
"mammographic",0.865789461135864,3,0.1,0.804166793823242,"diavolo",0.5,512
"mammographic",0.8657894551754,3,0.1,0.841666758060455,"rect",0.5,256
"mammographic",0.864912271499634,8,0.1,0.833333432674408,"rect",0.5,256
"mammographic",0.864035105705261,8,0.1,0.841666758060455,"diavolo",0.25,1024
"mammographic",0.862280696630478,2,0.1,0.833333432674408,"diavolo",0.5,1024
"mammographic",0.861403518915176,16,0.1,0.833333432674408,"diavolo",0.25,512
