"dataset","valAccuracy","bottleneck","blockForm","nblocks","nhidden","testAccuracy","learningrate"
"pittsburg-bridges-TYPE",0.438461565971375,0.25,"rect",3,1024,0.538461565971375,0.01
"pittsburg-bridges-TYPE",0.438461565971375,0.5,"diavolo",3,1024,0.576923131942749,0.1
"pittsburg-bridges-TYPE",0.430769261717796,0.25,"rect",4,256,0.538461565971375,0.1
"pittsburg-bridges-TYPE",0.430769258737564,0.25,"diavolo",4,1024,0.384615391492844,0.1
"pittsburg-bridges-TYPE",0.430769255757332,0.25,"diavolo",3,256,0.384615421295166,0.1
"pittsburg-bridges-TYPE",0.430769252777099,0.25,"rect",16,256,0.576923131942749,0.01
"pittsburg-bridges-TYPE",0.423076957464218,0.25,"diavolo",4,256,0.576923131942749,0.01
"pittsburg-bridges-TYPE",0.423076939582825,0.5,"diavolo",4,256,0.46153849363327,0.01
"pittsburg-bridges-TYPE",0.415384650230408,0.25,"diavolo",2,256,0.538461565971375,0.01
"pittsburg-bridges-TYPE",0.415384645760059,0.25,"diavolo",2,1024,0.538461565971375,0.1
"pittsburg-bridges-TYPE",0.407692342996597,0.5,"rect",3,512,0.576923131942749,0.01
"pittsburg-bridges-TYPE",0.407692337036133,0.25,"diavolo",16,512,0.46153849363327,0.01
"pittsburg-bridges-TYPE",0.407692337036133,0.5,"rect",4,512,0.576923131942749,0.01
"pittsburg-bridges-TYPE",0.400000035762787,0.25,"diavolo",8,512,0.230769246816635,0.1
"pittsburg-bridges-TYPE",0.40000002682209,0.25,"diavolo",8,1024,0.307692319154739,0.1
"pittsburg-bridges-TYPE",0.392307728528976,0.5,"diavolo",2,256,0.615384638309479,0.01
"pittsburg-bridges-TYPE",0.392307716608047,0.25,"rect",3,256,0.269230782985687,0.1
"pittsburg-bridges-TYPE",0.384615421295166,0.25,"diavolo",2,1024,0.653846204280853,0.01
"pittsburg-bridges-TYPE",0.384615409374237,0.25,"rect",8,256,0.576923131942749,0.01
"pittsburg-bridges-TYPE",0.376923105120659,0.5,"diavolo",2,512,0.384615421295166,0.1
"pittsburg-bridges-TYPE",0.376923105120659,0.25,"rect",3,512,0.576923131942749,0.1
"pittsburg-bridges-TYPE",0.376923102140427,0.5,"rect",16,512,0.230769246816635,0.01
"pittsburg-bridges-TYPE",0.376923099160194,0.5,"diavolo",8,256,0.192307710647583,0.1
"pittsburg-bridges-TYPE",0.37692309319973,0.25,"rect",4,512,0.576923131942749,0.1
"pittsburg-bridges-TYPE",0.369230800867081,0.25,"diavolo",3,1024,0.46153849363327,0.01
"pittsburg-bridges-TYPE",0.369230794906616,0.5,"diavolo",3,1024,0.538461565971375,0.01
"pittsburg-bridges-TYPE",0.361538481712341,0.5,"rect",8,256,0.384615421295166,0.1
"pittsburg-bridges-TYPE",0.353846177458763,0.25,"rect",8,256,0.5,0.1
"pittsburg-bridges-TYPE",0.346153870224953,0.25,"diavolo",4,1024,0.692307710647583,0.01
"pittsburg-bridges-TYPE",0.338461555540562,0.25,"diavolo",4,512,0.346153855323792,0.1
"pittsburg-bridges-TYPE",0.3307692527771,0.5,"rect",2,1024,0.538461565971375,0.01
"pittsburg-bridges-TYPE",0.330769251286983,0.5,"diavolo",16,1024,0.115384623408318,0.01
"pittsburg-bridges-TYPE",0.307692319154739,0.5,"rect",3,256,0.5,0.01
"pittsburg-bridges-TYPE",0.307692319154739,0.5,"rect",2,256,0.307692319154739,0.01
"pittsburg-bridges-TYPE",0.292307706177235,0.25,"diavolo",8,256,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.284615397453308,0.5,"diavolo",16,256,0.115384623408318,0.1
"pittsburg-bridges-TYPE",0.276923090219498,0.5,"diavolo",3,256,0.5,0.01
"pittsburg-bridges-TYPE",0.253846162557602,0.25,"diavolo",16,256,0.5,0.1
"pittsburg-bridges-TYPE",0.246153858304024,0.5,"diavolo",4,1024,0.46153849363327,0.1
"pittsburg-bridges-TYPE",0.230769243091345,0.5,"diavolo",16,256,0.115384623408318,0.01
"pittsburg-bridges-TYPE",0.230769241601229,0.25,"diavolo",16,256,0.230769246816635,0.01
"pittsburg-bridges-TYPE",0.230769240856171,0.25,"rect",3,1024,0.5,0.1
"pittsburg-bridges-TYPE",0.223076932132244,0.25,"rect",4,1024,0.115384623408318,0.1
"pittsburg-bridges-TYPE",0.21538462638855,0.5,"rect",3,1024,0.115384623408318,0.1
"pittsburg-bridges-TYPE",0.215384624898434,0.5,"diavolo",8,512,0.0769230797886848,0.1
"pittsburg-bridges-TYPE",0.215384624898434,0.5,"rect",4,512,0.0769230797886848,0.1
"pittsburg-bridges-TYPE",0.207692316174507,0.5,"rect",4,1024,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.200000009685755,0.5,"diavolo",16,512,0.192307710647583,0.01
