"dataset","valAccuracy","nblocks","bottleneck","learningrate","blockForm","nhidden","testAccuracy"
"musk-1",0.936842131614685,2,0.25,0.1,"diavolo",1024,0.873949646949768
"musk-1",0.928070199489594,2,0.5,0.1,"rect",1024,0.882353067398071
"musk-1",0.924561417102814,3,0.25,0.1,"diavolo",1024,0.840336203575134
"musk-1",0.917543852329254,8,0.25,0.1,"diavolo",1024,0.815126180648804
"musk-1",0.912280678749084,8,0.25,0.01,"diavolo",1024,0.823529481887817
"musk-1",0.912280678749084,4,0.25,0.1,"diavolo",1024,0.840336203575134
"musk-1",0.912280678749084,2,0.25,0.01,"diavolo",512,0.882353067398071
"musk-1",0.905263143777847,2,0.5,0.01,"rect",1024,0.78151273727417
"musk-1",0.901754367351532,4,0.25,0.1,"diavolo",512,0.865546345710754
"musk-1",0.894736826419831,4,0.25,0.01,"diavolo",512,0.78151261806488
"musk-1",0.894736826419831,3,0.25,0.01,"diavolo",512,0.823529481887817
"musk-1",0.887719285488129,2,0.5,0.01,"rect",512,0.798319458961487
"musk-1",0.877192974090576,4,0.25,0.01,"diavolo",256,0.773109316825867
"musk-1",0.868421047925949,3,0.5,0.1,"diavolo",512,0.823529481887817
"musk-1",0.866666662693024,2,0.5,0.01,"diavolo",512,0.75630259513855
"musk-1",0.859649121761322,3,0.25,0.1,"diavolo",512,0.840336203575134
"musk-1",0.859649121761322,2,0.25,0.01,"diavolo",1024,0.831932902336121
"musk-1",0.854385966062546,3,0.5,0.01,"diavolo",1024,0.798319458961487
"musk-1",0.842105269432068,2,0.25,0.1,"diavolo",512,0.823529481887817
"musk-1",0.840350884199143,4,0.5,0.1,"diavolo",1024,0.773109316825867
"musk-1",0.828070187568664,8,0.5,0.1,"diavolo",512,0.831932902336121
"musk-1",0.819298261404037,2,0.5,0.1,"diavolo",512,0.848739624023438
"musk-1",0.815789490938187,4,0.5,0.1,"diavolo",256,0.789916038513184
"musk-1",0.81052633523941,4,0.5,0.01,"diavolo",1024,0.75630259513855
"musk-1",0.80701756477356,2,0.25,0.01,"diavolo",256,0.747899293899536
"musk-1",0.789473712444305,3,0.25,0.01,"diavolo",256,0.773109316825867
"musk-1",0.775438570976257,2,0.25,0.1,"diavolo",256,0.764706015586853
"musk-1",0.766666662693024,16,0.25,0.1,"diavolo",512,0.747899174690247
"musk-1",0.749122792482376,2,0.25,0.01,"rect",256,0.78151273727417
"musk-1",0.747368407249451,3,0.25,0.01,"rect",256,0.680672287940979
"musk-1",0.731578940153122,2,0.5,0.01,"rect",256,0.722689151763916
"musk-1",0.729824554920197,4,0.25,0.1,"rect",256,0.731092572212219
"musk-1",0.729824554920197,2,0.5,0.01,"diavolo",1024,0.831932902336121
"musk-1",0.719298243522644,3,0.5,0.01,"rect",1024,0.705882430076599
"musk-1",0.712280702590942,3,0.25,0.1,"rect",256,0.705882430076599
"musk-1",0.710526317358017,2,0.5,0.1,"rect",256,0.731092572212219
"musk-1",0.70175439119339,3,0.5,0.01,"diavolo",512,0.697479128837585
"musk-1",0.70175439119339,3,0.5,0.1,"diavolo",256,0.714285850524902
"musk-1",0.698245620727539,2,0.5,0.01,"diavolo",256,0.747899293899536
"musk-1",0.692982447147369,4,0.25,0.01,"diavolo",1024,0.697479009628296
"musk-1",0.69122805595398,2,0.25,0.1,"rect",1024,0.73109245300293
"musk-1",0.678947377204895,2,0.5,0.1,"rect",512,0.697479009628296
"musk-1",0.67894737124443,2,0.25,0.1,"rect",256,0.697479009628296
"musk-1",0.678947365283966,3,0.25,0.01,"diavolo",1024,0.714285731315613
"musk-1",0.675438606739044,2,0.25,0.01,"rect",1024,0.714285850524902
"musk-1",0.666666626930237,16,0.5,0.01,"diavolo",256,0.705882430076599
"musk-1",0.664912283420563,8,0.25,0.1,"diavolo",512,0.680672347545624
"musk-1",0.664912247657776,8,0.25,0.1,"diavolo",256,0.680672287940979
"musk-1",0.65964914560318,16,0.25,0.01,"rect",256,0.638655543327332
"musk-1",0.656140327453613,2,0.25,0.01,"rect",512,0.647058844566345
"musk-1",0.65438597202301,3,0.5,0.01,"rect",256,0.722689151763916
"musk-1",0.65438597202301,4,0.25,0.01,"rect",512,0.680672287940979
"musk-1",0.652631592750549,4,0.25,0.1,"diavolo",256,0.689075708389282
"musk-1",0.647368443012238,8,0.5,0.01,"rect",256,0.697479009628296
"musk-1",0.647368407249451,4,0.25,0.01,"rect",256,0.605042099952698
"musk-1",0.631578922271728,8,0.5,0.01,"diavolo",256,0.638655543327332
"musk-1",0.629824537038803,2,0.5,0.1,"diavolo",256,0.672268986701965
"musk-1",0.628070151805878,3,0.5,0.01,"rect",512,0.663865566253662
"musk-1",0.628070151805878,3,0.5,0.1,"diavolo",1024,0.663865566253662
"musk-1",0.626315766572952,4,0.25,0.1,"rect",512,0.655462265014648
"musk-1",0.622806996107101,3,0.5,0.1,"rect",1024,0.663865566253662
"musk-1",0.617543840408325,3,0.25,0.01,"rect",512,0.605042099952698
"musk-1",0.614035075902939,3,0.5,0.1,"rect",256,0.613445401191711
"musk-1",0.614035075902939,4,0.25,0.01,"rect",1024,0.647058844566345
"musk-1",0.614035069942474,4,0.5,0.01,"diavolo",256,0.630252122879028
"musk-1",0.614035069942474,4,0.5,0.1,"diavolo",512,0.588235378265381
"musk-1",0.612280696630478,3,0.25,0.1,"diavolo",256,0.605042099952698
"musk-1",0.610526305437088,4,0.5,0.01,"rect",256,0.605042099952698
"musk-1",0.607017529010773,3,0.5,0.1,"rect",512,0.630252122879028
"musk-1",0.607017529010773,2,0.25,0.1,"rect",512,0.638655543327332
"musk-1",0.605263149738312,3,0.25,0.1,"rect",512,0.605042099952698
"musk-1",0.605263143777847,8,0.25,0.01,"diavolo",512,0.621848821640015
