"dataset","bottleneck","valAccuracy","learningrate","nhidden","testAccuracy","nblocks","blockForm"
"fertility",0.25,0.909090936183929,0.01,1024,0.839999973773956,16,"diavolo"
"fertility",0.5,0.909090936183929,0.01,1024,0.879999995231628,16,"diavolo"
"fertility",0.25,0.909090936183929,0.01,512,0.879999995231628,16,"rect"
"fertility",0.5,0.909090936183929,0.01,512,0.879999995231628,16,"diavolo"
"fertility",0.25,0.909090936183929,0.01,256,0.879999995231628,16,"rect"
"fertility",0.5,0.909090936183929,0.01,256,0.919999957084656,16,"rect"
"fertility",0.5,0.909090936183929,0.01,256,0.879999995231628,16,"diavolo"
"fertility",0.25,0.909090936183929,0.1,1024,0.879999995231628,16,"rect"
"fertility",0.25,0.909090936183929,0.1,1024,0.879999995231628,16,"diavolo"
"fertility",0.5,0.909090936183929,0.1,1024,0.879999995231628,16,"rect"
"fertility",0.5,0.909090936183929,0.1,1024,0.879999995231628,16,"diavolo"
"fertility",0.25,0.909090936183929,0.1,512,0.879999995231628,16,"rect"
"fertility",0.25,0.909090936183929,0.1,512,0.879999995231628,16,"diavolo"
"fertility",0.5,0.909090936183929,0.1,512,0.879999995231628,16,"rect"
"fertility",0.25,0.909090936183929,0.1,256,0.879999995231628,16,"rect"
"fertility",0.25,0.909090936183929,0.1,256,0.879999995231628,16,"diavolo"
"fertility",0.5,0.909090936183929,0.1,256,0.879999995231628,16,"diavolo"
"fertility",0.25,0.909090936183929,1,1024,0.879999995231628,16,"rect"
"fertility",0.25,0.909090936183929,1,1024,0.879999995231628,16,"diavolo"
"fertility",0.5,0.909090936183929,1,1024,0.879999995231628,16,"rect"
"fertility",0.5,0.909090936183929,1,1024,0.879999995231628,16,"diavolo"
"fertility",0.25,0.909090936183929,1,512,0.879999995231628,16,"rect"
"fertility",0.25,0.909090936183929,1,512,0.879999995231628,16,"diavolo"
"fertility",0.5,0.909090936183929,1,512,0.879999995231628,16,"rect"
"fertility",0.5,0.909090936183929,1,512,0.879999995231628,16,"diavolo"
"fertility",0.25,0.909090936183929,1,256,0.879999995231628,16,"rect"
"fertility",0.25,0.909090936183929,1,256,0.879999995231628,16,"diavolo"
"fertility",0.5,0.909090936183929,1,256,0.879999995231628,16,"rect"
"fertility",0.5,0.909090936183929,1,256,0.879999995231628,16,"diavolo"
"fertility",0.5,0.909090936183929,0.01,1024,0.879999995231628,8,"rect"
"fertility",0.5,0.909090936183929,0.01,1024,0.879999995231628,8,"diavolo"
"fertility",0.5,0.909090936183929,0.01,512,0.879999995231628,8,"diavolo"
"fertility",0.25,0.909090936183929,0.01,256,0.839999973773956,8,"diavolo"
"fertility",0.25,0.909090936183929,0.1,1024,0.879999995231628,8,"rect"
"fertility",0.25,0.909090936183929,0.1,1024,0.879999995231628,8,"diavolo"
"fertility",0.5,0.909090936183929,0.1,1024,0.879999995231628,8,"rect"
"fertility",0.25,0.909090936183929,0.1,512,0.879999995231628,8,"diavolo"
"fertility",0.5,0.909090936183929,0.1,512,0.879999995231628,8,"diavolo"
"fertility",0.25,0.909090936183929,0.1,256,0.959999978542328,8,"diavolo"
"fertility",0.5,0.909090936183929,0.1,256,0.879999995231628,8,"diavolo"
"fertility",0.25,0.909090936183929,1,1024,0.879999995231628,8,"rect"
"fertility",0.25,0.909090936183929,1,1024,0.879999995231628,8,"diavolo"
"fertility",0.5,0.909090936183929,1,1024,0.879999995231628,8,"rect"
"fertility",0.5,0.909090936183929,1,1024,0.879999995231628,8,"diavolo"
"fertility",0.25,0.909090936183929,1,512,0.879999995231628,8,"rect"
"fertility",0.25,0.909090936183929,1,512,0.879999995231628,8,"diavolo"
"fertility",0.5,0.909090936183929,1,512,0.879999995231628,8,"rect"
"fertility",0.5,0.909090936183929,1,512,0.879999995231628,8,"diavolo"
"fertility",0.25,0.909090936183929,1,256,0.879999995231628,8,"rect"
"fertility",0.25,0.909090936183929,1,256,0.879999995231628,8,"diavolo"
"fertility",0.5,0.909090936183929,1,256,0.879999995231628,8,"rect"
"fertility",0.5,0.909090936183929,1,256,0.879999995231628,8,"diavolo"
"fertility",0.5,0.909090936183929,0.01,1024,0.839999973773956,4,"rect"
"fertility",0.5,0.909090936183929,0.01,1024,0.879999995231628,4,"diavolo"
"fertility",0.25,0.909090936183929,0.01,512,0.879999995231628,4,"rect"
"fertility",0.25,0.909090936183929,0.01,512,0.839999973773956,4,"diavolo"
"fertility",0.25,0.909090936183929,0.01,256,0.879999995231628,4,"rect"
"fertility",0.25,0.909090936183929,0.01,256,0.879999995231628,4,"diavolo"
"fertility",0.5,0.909090936183929,0.01,256,0.879999995231628,4,"rect"
"fertility",0.5,0.909090936183929,0.01,256,0.879999995231628,4,"diavolo"
"fertility",0.25,0.909090936183929,0.1,1024,0.879999995231628,4,"rect"
"fertility",0.25,0.909090936183929,0.1,1024,0.799999952316284,4,"diavolo"
"fertility",0.5,0.909090936183929,0.1,1024,0.879999995231628,4,"rect"
"fertility",0.5,0.909090936183929,0.1,1024,0.879999995231628,4,"diavolo"
"fertility",0.25,0.909090936183929,0.1,512,0.879999995231628,4,"rect"
"fertility",0.5,0.909090936183929,0.1,512,0.879999995231628,4,"rect"
"fertility",0.5,0.909090936183929,0.1,256,0.879999995231628,4,"rect"
"fertility",0.5,0.909090936183929,0.1,256,0.879999995231628,4,"diavolo"
"fertility",0.25,0.909090936183929,1,1024,0.879999995231628,4,"rect"
"fertility",0.25,0.909090936183929,1,1024,0.879999995231628,4,"diavolo"
"fertility",0.5,0.909090936183929,1,1024,0.879999995231628,4,"rect"
"fertility",0.5,0.909090936183929,1,1024,0.879999995231628,4,"diavolo"
"fertility",0.25,0.909090936183929,1,512,0.879999995231628,4,"rect"
"fertility",0.25,0.909090936183929,1,512,0.879999995231628,4,"diavolo"
"fertility",0.5,0.909090936183929,1,512,0.879999995231628,4,"rect"
"fertility",0.5,0.909090936183929,1,512,0.879999995231628,4,"diavolo"
"fertility",0.25,0.909090936183929,1,256,0.879999995231628,4,"rect"
"fertility",0.25,0.909090936183929,1,256,0.879999995231628,4,"diavolo"
"fertility",0.5,0.909090936183929,1,256,0.879999995231628,4,"rect"
"fertility",0.5,0.909090936183929,1,256,0.879999995231628,4,"diavolo"
"fertility",0.25,0.909090936183929,0.01,1024,0.879999995231628,3,"rect"
"fertility",0.5,0.909090936183929,0.01,1024,0.879999995231628,3,"rect"
"fertility",0.5,0.909090936183929,0.01,1024,0.839999973773956,3,"diavolo"
"fertility",0.5,0.909090936183929,0.01,512,0.879999995231628,3,"rect"
"fertility",0.25,0.909090936183929,0.01,256,0.879999995231628,3,"rect"
"fertility",0.25,0.909090936183929,0.01,256,0.839999973773956,3,"diavolo"
"fertility",0.25,0.909090936183929,0.1,1024,0.959999978542328,3,"diavolo"
"fertility",0.5,0.909090936183929,0.1,1024,0.799999952316284,3,"diavolo"
"fertility",0.25,0.909090936183929,0.1,512,0.759999990463257,3,"rect"
"fertility",0.25,0.909090936183929,0.1,512,0.879999995231628,3,"diavolo"
"fertility",0.5,0.909090936183929,0.1,512,0.879999995231628,3,"rect"
"fertility",0.5,0.909090936183929,0.1,256,0.879999995231628,3,"rect"
"fertility",0.25,0.909090936183929,1,1024,0.879999995231628,3,"rect"
"fertility",0.25,0.909090936183929,1,1024,0.879999995231628,3,"diavolo"
"fertility",0.5,0.909090936183929,1,1024,0.879999995231628,3,"rect"
"fertility",0.5,0.909090936183929,1,1024,0.879999995231628,3,"diavolo"
"fertility",0.25,0.909090936183929,1,512,0.879999995231628,3,"rect"
"fertility",0.25,0.909090936183929,1,512,0.879999995231628,3,"diavolo"
"fertility",0.5,0.909090936183929,1,512,0.879999995231628,3,"rect"
"fertility",0.5,0.909090936183929,1,512,0.879999995231628,3,"diavolo"
