"dataset","testAccuracy","learningrate","bottleneck","nblocks","valAccuracy","blockForm","nhidden"
"waveform-noise",0.858399927616119,0.1,0.5,2,0.856845718622208,"diavolo",1024
"waveform-noise",0.845599949359894,0.1,0.25,8,0.856499099731445,"diavolo",1024
"waveform-noise",0.853600025177002,0.1,0.5,4,0.853206217288971,"diavolo",1024
"waveform-noise",0.843200027942657,0.1,0.25,3,0.852686309814453,"diavolo",512
"waveform-noise",0.857599973678589,0.1,0.25,2,0.851299834251404,"diavolo",1024
"waveform-noise",0.849599897861481,0.1,0.25,2,0.850779914855957,"rect",1024
"waveform-noise",0.840799987316132,0.1,0.25,2,0.85008659362793,"diavolo",512
"waveform-noise",0.84879994392395,0.01,0.5,2,0.848180198669434,"diavolo",1024
"waveform-noise",0.853600025177002,0.1,0.25,4,0.846447122097015,"diavolo",1024
"waveform-noise",0.847200036048889,0.1,0.5,4,0.846100503206253,"rect",512
"waveform-noise",0.844799935817719,0.01,0.25,3,0.846100479364395,"rect",512
"waveform-noise",0.855999946594238,0.1,0.5,3,0.845407223701477,"diavolo",1024
"waveform-noise",0.854399919509888,0.1,0.5,3,0.844020789861679,"rect",512
"waveform-noise",0.840799987316132,0.1,0.5,8,0.843847477436066,"rect",256
"waveform-noise",0.860799968242645,0.1,0.5,3,0.843500828742981,"diavolo",256
"waveform-noise",0.826399981975555,0.01,0.25,16,0.843327534198761,"diavolo",1024
"waveform-noise",0.841599941253662,0.1,0.5,8,0.842980909347534,"diavolo",256
"waveform-noise",0.831199944019318,0.1,0.25,8,0.842807620763779,"diavolo",256
"waveform-noise",0.847999930381775,0.1,0.25,2,0.841594445705414,"rect",512
"waveform-noise",0.859999895095825,0.1,0.25,3,0.841594439744949,"rect",1024
"waveform-noise",0.852800011634827,0.1,0.5,3,0.840727883577347,"diavolo",512
"waveform-noise",0.852799952030182,0.1,0.5,3,0.840207958221436,"rect",1024
"waveform-noise",0.843999981880188,0.1,0.5,2,0.838648158311844,"rect",512
"waveform-noise",0.841599881649017,0.01,0.25,2,0.838648146390915,"diavolo",256
"waveform-noise",0.830399990081787,0.01,0.5,4,0.83795490860939,"diavolo",1024
"waveform-noise",0.854399919509888,0.1,0.25,3,0.837434983253479,"diavolo",1024
"waveform-noise",0.830399930477142,0.01,0.25,4,0.837088358402252,"rect",512
"waveform-noise",0.845599949359894,0.1,0.5,8,0.836048513650894,"diavolo",512
"waveform-noise",0.841599941253662,0.1,0.5,4,0.835528558492661,"rect",256
"waveform-noise",0.8367999792099,0.01,0.5,4,0.835181957483292,"rect",512
"waveform-noise",0.845599949359894,0.1,0.25,3,0.834835332632065,"rect",512
"waveform-noise",0.847999930381775,0.1,0.25,8,0.834488743543625,"rect",256
"waveform-noise",0.830399870872498,0.01,0.5,4,0.83448873758316,"rect",256
"waveform-noise",0.829599916934967,0.01,0.5,2,0.834315401315689,"rect",256
"waveform-noise",0.837599992752075,0.1,0.5,8,0.833622169494629,"diavolo",1024
"waveform-noise",0.840799987316132,0.01,0.25,4,0.833448857069016,"rect",256
"waveform-noise",0.834399938583374,0.01,0.25,4,0.832582324743271,"diavolo",512
"waveform-noise",0.84879994392395,0.1,0.5,16,0.832582306861878,"diavolo",256
"waveform-noise",0.844799995422363,0.1,0.25,3,0.832062381505966,"diavolo",256
"waveform-noise",0.850399971008301,0.1,0.5,16,0.832062375545502,"diavolo",512
"waveform-noise",0.845599949359894,0.01,0.25,2,0.831889015436172,"diavolo",512
"waveform-noise",0.831200003623962,0.01,0.25,2,0.831715726852417,"rect",512
"waveform-noise",0.842399895191193,0.1,0.5,2,0.83154245018959,"diavolo",256
"waveform-noise",0.819999933242798,0.01,0.5,8,0.829636001586914,"rect",1024
"waveform-noise",0.835999965667725,0.01,0.25,3,0.829116117954254,"diavolo",256
"waveform-noise",0.860000014305115,0.1,0.25,2,0.828596168756485,"rect",256
"waveform-noise",0.811999976634979,0.1,0.5,16,0.828422862291336,"rect",256
"waveform-noise",0.84879994392395,0.1,0.25,16,0.828422856330872,"diavolo",1024
"waveform-noise",0.840799927711487,0.01,0.5,2,0.828422838449478,"rect",1024
