"dataset","nblocks","learningrate","blockForm","nhidden","testAccuracy","bottleneck","valAccuracy"
"breast-cancer-wisc",3,0.01,"rect",256,0.971428573131561,0.25,0.986956518888473
"breast-cancer-wisc",3,0.1,"rect",512,0.971428573131561,0.5,0.982608699798584
"breast-cancer-wisc",2,0.1,"rect",256,0.971428573131561,0.5,0.981521743535996
"breast-cancer-wisc",2,0.01,"rect",1024,0.982857167720795,0.5,0.97934781908989
"breast-cancer-wisc",16,0.01,"rect",1024,0.971428573131561,0.25,0.97826087474823
"breast-cancer-wisc",16,0.01,"diavolo",256,0.982857167720795,0.25,0.97826087474823
"breast-cancer-wisc",16,0.1,"rect",256,0.971428573131561,0.5,0.97826087474823
"breast-cancer-wisc",8,0.01,"rect",256,0.965714275836945,0.25,0.97826087474823
"breast-cancer-wisc",8,0.1,"rect",256,0.965714275836945,0.5,0.97826087474823
"breast-cancer-wisc",4,0.01,"rect",512,0.965714275836945,0.25,0.97826087474823
"breast-cancer-wisc",3,0.01,"rect",512,0.977142870426178,0.25,0.97826087474823
"breast-cancer-wisc",3,0.01,"rect",256,0.977142870426178,0.5,0.97826087474823
"breast-cancer-wisc",3,0.01,"diavolo",256,0.971428573131561,0.25,0.97826087474823
"breast-cancer-wisc",3,0.01,"diavolo",256,0.965714275836945,0.5,0.97826087474823
"breast-cancer-wisc",3,0.1,"diavolo",1024,0.977142870426178,0.5,0.97826087474823
"breast-cancer-wisc",2,0.01,"rect",512,0.971428573131561,0.25,0.97826087474823
"breast-cancer-wisc",2,0.01,"rect",256,0.977142870426178,0.25,0.97826087474823
"breast-cancer-wisc",2,0.01,"diavolo",256,0.971428573131561,0.25,0.97826087474823
"breast-cancer-wisc",4,0.1,"rect",256,0.965714275836945,0.5,0.978260868787766
"breast-cancer-wisc",16,0.01,"diavolo",512,0.971428573131561,0.25,0.977173912525177
"breast-cancer-wisc",4,0.01,"diavolo",512,0.971428573131561,0.25,0.976086962223053
"breast-cancer-wisc",3,0.01,"diavolo",1024,0.965714335441589,0.5,0.976086962223053
"breast-cancer-wisc",4,0.1,"rect",512,0.971428573131561,0.25,0.976086962223053
"breast-cancer-wisc",4,0.1,"diavolo",512,0.982857167720795,0.25,0.976086956262589
"breast-cancer-wisc",3,0.1,"rect",256,0.965714275836945,0.25,0.976086956262589
"breast-cancer-wisc",4,0.1,"rect",512,0.960000038146973,0.5,0.975000005960465
"breast-cancer-wisc",8,0.01,"diavolo",512,0.971428573131561,0.5,0.974999988079071
"breast-cancer-wisc",2,0.1,"rect",512,0.971428573131561,0.25,0.973913043737412
"breast-cancer-wisc",8,0.01,"diavolo",256,0.971428573131561,0.5,0.973913025856018
"breast-cancer-wisc",8,0.01,"rect",512,0.977142870426178,0.5,0.972826063632965
"breast-cancer-wisc",3,0.1,"rect",256,0.960000038146973,0.5,0.972826063632965
"breast-cancer-wisc",4,0.1,"rect",1024,0.960000038146973,0.5,0.971739137172699
"breast-cancer-wisc",3,0.1,"rect",1024,0.965714275836945,0.5,0.971739137172699
"breast-cancer-wisc",8,0.01,"diavolo",1024,0.971428573131561,0.5,0.971739131212235
"breast-cancer-wisc",2,0.1,"rect",1024,0.965714275836945,0.5,0.97173912525177
"breast-cancer-wisc",8,0.1,"diavolo",512,0.954285740852356,0.5,0.971739107370376
"breast-cancer-wisc",8,0.01,"diavolo",512,0.977142870426178,0.25,0.970652180910111
"breast-cancer-wisc",2,0.1,"rect",512,0.965714275836945,0.5,0.970652174949646
"breast-cancer-wisc",3,0.1,"diavolo",512,0.971428573131561,0.25,0.969565224647522
"breast-cancer-wisc",4,0.1,"diavolo",1024,0.982857167720795,0.25,0.969565224647522
"breast-cancer-wisc",2,0.01,"rect",256,0.965714275836945,0.5,0.969565218687058
"breast-cancer-wisc",2,0.01,"rect",512,0.971428573131561,0.5,0.969565206766129
"breast-cancer-wisc",2,0.1,"diavolo",256,0.960000038146973,0.5,0.969565206766129
"breast-cancer-wisc",3,0.1,"rect",512,0.971428573131561,0.25,0.969565182924271
"breast-cancer-wisc",16,0.1,"rect",256,0.965714275836945,0.25,0.968478268384934
"breast-cancer-wisc",4,0.01,"rect",1024,0.971428573131561,0.25,0.968478268384934
"breast-cancer-wisc",4,0.1,"rect",256,0.965714275836945,0.25,0.968478268384934
"breast-cancer-wisc",3,0.1,"diavolo",256,0.971428573131561,0.5,0.968478268384934
"breast-cancer-wisc",2,0.01,"diavolo",1024,0.965714275836945,0.5,0.968478256464005
"breast-cancer-wisc",16,0.01,"rect",1024,0.977142870426178,0.5,0.967391312122345
"breast-cancer-wisc",16,0.01,"diavolo",1024,0.971428573131561,0.5,0.967391312122345
"breast-cancer-wisc",16,0.01,"rect",512,0.960000038146973,0.25,0.967391312122345
"breast-cancer-wisc",16,0.01,"diavolo",256,0.954285740852356,0.5,0.967391312122345
"breast-cancer-wisc",16,0.1,"diavolo",512,0.965714335441589,0.25,0.967391312122345
"breast-cancer-wisc",8,0.01,"rect",1024,0.977142870426178,0.25,0.967391312122345
"breast-cancer-wisc",8,0.01,"rect",1024,0.971428632736206,0.5,0.967391312122345
"breast-cancer-wisc",8,0.01,"rect",256,0.960000038146973,0.5,0.967391312122345
"breast-cancer-wisc",8,0.1,"diavolo",1024,0.971428573131561,0.25,0.967391312122345
"breast-cancer-wisc",8,0.1,"diavolo",1024,0.971428573131561,0.5,0.967391312122345
"breast-cancer-wisc",8,0.1,"diavolo",512,0.965714335441589,0.25,0.967391312122345
"breast-cancer-wisc",8,0.1,"diavolo",256,0.965714275836945,0.25,0.967391312122345
"breast-cancer-wisc",8,0.1,"diavolo",256,0.965714275836945,0.5,0.967391312122345
"breast-cancer-wisc",4,0.01,"rect",1024,0.965714275836945,0.5,0.967391312122345
"breast-cancer-wisc",4,0.01,"diavolo",1024,0.959999978542328,0.25,0.967391312122345
"breast-cancer-wisc",4,0.1,"rect",1024,0.971428573131561,0.25,0.967391312122345
"breast-cancer-wisc",4,0.1,"diavolo",1024,0.977142870426178,0.5,0.967391312122345
"breast-cancer-wisc",4,0.1,"diavolo",512,0.971428573131561,0.5,0.967391312122345
"breast-cancer-wisc",4,0.1,"diavolo",256,0.971428573131561,0.25,0.967391312122345
"breast-cancer-wisc",3,0.01,"rect",1024,0.971428573131561,0.25,0.967391312122345
"breast-cancer-wisc",3,0.01,"rect",1024,0.971428573131561,0.5,0.967391312122345
"breast-cancer-wisc",3,0.01,"diavolo",512,0.965714335441589,0.25,0.967391312122345
"breast-cancer-wisc",3,0.1,"rect",1024,0.965714335441589,0.25,0.967391312122345
"breast-cancer-wisc",3,0.1,"diavolo",1024,0.965714335441589,0.25,0.967391312122345
"breast-cancer-wisc",3,0.1,"diavolo",512,0.971428573131561,0.5,0.967391312122345
"breast-cancer-wisc",2,0.01,"diavolo",1024,0.977142870426178,0.25,0.967391312122345
"breast-cancer-wisc",2,0.01,"diavolo",256,0.965714275836945,0.5,0.967391312122345
"breast-cancer-wisc",2,0.1,"rect",1024,0.965714335441589,0.25,0.967391312122345
"breast-cancer-wisc",2,0.1,"diavolo",1024,0.971428573131561,0.25,0.967391312122345
"breast-cancer-wisc",2,0.1,"diavolo",1024,0.965714335441589,0.5,0.967391312122345
"breast-cancer-wisc",2,0.1,"diavolo",512,0.965714275836945,0.25,0.967391312122345
"breast-cancer-wisc",2,0.1,"diavolo",512,0.965714275836945,0.5,0.967391312122345
"breast-cancer-wisc",2,0.1,"diavolo",256,0.965714275836945,0.25,0.967391312122345
"breast-cancer-wisc",8,0.01,"diavolo",256,0.959999978542328,0.25,0.967391264438629
"breast-cancer-wisc",4,0.01,"diavolo",256,0.977142870426178,0.5,0.9673912525177
"breast-cancer-wisc",4,0.01,"diavolo",512,0.954285740852356,0.5,0.966304326057434
"breast-cancer-wisc",4,0.1,"diavolo",256,0.971428573131561,0.5,0.965217387676239
"breast-cancer-wisc",3,0.1,"diavolo",256,0.977142870426178,0.25,0.965217387676239
"breast-cancer-wisc",8,0.1,"rect",256,0.960000038146973,0.25,0.965217381715775
"breast-cancer-wisc",2,0.1,"rect",256,0.965714275836945,0.25,0.965217363834381
"breast-cancer-wisc",2,0.01,"rect",1024,0.971428573131561,0.25,0.965217339992523
"breast-cancer-wisc",8,0.01,"rect",512,0.977142930030823,0.25,0.964130425453186
"breast-cancer-wisc",16,0.01,"diavolo",512,0.971428632736206,0.5,0.963043463230133
"breast-cancer-wisc",3,0.01,"rect",512,0.965714275836945,0.5,0.96195650100708
"breast-cancer-wisc",16,0.01,"diavolo",1024,0.971428573131561,0.25,0.96195650100708
"breast-cancer-wisc",2,0.01,"diavolo",512,0.977142870426178,0.5,0.96195650100708
"breast-cancer-wisc",3,0.01,"diavolo",512,0.971428573131561,0.5,0.960869514942169
"breast-cancer-wisc",16,0.01,"rect",512,0.965714275836945,0.5,0.956521689891815
"breast-cancer-wisc",16,0.01,"rect",256,0.965714275836945,0.5,0.956521689891815
"breast-cancer-wisc",8,0.01,"diavolo",1024,0.971428632736206,0.25,0.956521689891815
"breast-cancer-wisc",8,0.1,"rect",512,0.965714275836945,0.25,0.956521689891815
"breast-cancer-wisc",8,0.1,"rect",512,0.960000038146973,0.5,0.956521689891815
"breast-cancer-wisc",4,0.01,"rect",256,0.931428551673889,0.25,0.956521689891815
"breast-cancer-wisc",4,0.01,"rect",256,0.954285740852356,0.5,0.956521689891815
"breast-cancer-wisc",4,0.01,"diavolo",256,0.954285740852356,0.25,0.956521689891815
"breast-cancer-wisc",4,0.01,"diavolo",1024,0.965714275836945,0.5,0.954347777366638
"breast-cancer-wisc",4,0.01,"rect",512,0.965714335441589,0.5,0.954347777366638
"breast-cancer-wisc",2,0.01,"diavolo",512,0.965714275836945,0.25,0.952173864841461
