"dataset","valAccuracy","bottleneck","testAccuracy","nblocks","learningrate","blockForm","nhidden"
"acute-inflammation",1,0.25,1,16,0.01,"rect",1024
"acute-inflammation",1,0.25,1,16,0.01,"diavolo",1024
"acute-inflammation",1,0.5,1,16,0.01,"rect",1024
"acute-inflammation",1,0.25,1,16,0.01,"rect",512
"acute-inflammation",1,0.5,0.933333396911621,16,0.01,"rect",512
"acute-inflammation",1,0.25,0.933333396911621,16,0.01,"rect",256
"acute-inflammation",1,0.25,1,8,0.01,"rect",1024
"acute-inflammation",1,0.25,1,8,0.01,"diavolo",1024
"acute-inflammation",1,0.5,1,8,0.01,"rect",1024
"acute-inflammation",1,0.5,1,8,0.01,"diavolo",1024
"acute-inflammation",1,0.25,1,8,0.01,"rect",512
"acute-inflammation",1,0.25,1,8,0.01,"diavolo",512
"acute-inflammation",1,0.5,1,8,0.01,"rect",512
"acute-inflammation",1,0.25,0.966666698455811,8,0.01,"rect",256
"acute-inflammation",1,0.25,1,8,0.01,"diavolo",256
"acute-inflammation",1,0.5,0.966666698455811,8,0.01,"diavolo",256
"acute-inflammation",1,0.25,1,8,0.1,"diavolo",1024
"acute-inflammation",1,0.25,1,8,0.1,"diavolo",512
"acute-inflammation",1,0.5,1,8,0.1,"diavolo",512
"acute-inflammation",1,0.25,1,8,0.1,"rect",256
"acute-inflammation",1,0.5,1,8,0.1,"rect",256
"acute-inflammation",1,0.25,1,4,0.01,"rect",1024
"acute-inflammation",1,0.5,1,4,0.01,"rect",1024
"acute-inflammation",1,0.5,1,4,0.01,"diavolo",1024
"acute-inflammation",1,0.25,1,4,0.01,"rect",512
"acute-inflammation",1,0.25,1,4,0.01,"diavolo",512
"acute-inflammation",1,0.5,1,4,0.01,"rect",512
"acute-inflammation",1,0.5,1,4,0.01,"diavolo",512
"acute-inflammation",1,0.25,1,4,0.01,"rect",256
"acute-inflammation",1,0.25,1,4,0.01,"diavolo",256
"acute-inflammation",1,0.5,0.933333396911621,4,0.01,"diavolo",256
"acute-inflammation",1,0.25,1,4,0.1,"diavolo",1024
"acute-inflammation",1,0.25,1,4,0.1,"rect",512
"acute-inflammation",1,0.25,1,4,0.1,"diavolo",512
"acute-inflammation",1,0.5,0.933333396911621,4,0.1,"rect",512
"acute-inflammation",1,0.5,1,4,0.1,"diavolo",512
"acute-inflammation",1,0.25,1,4,0.1,"rect",256
"acute-inflammation",1,0.25,1,4,0.1,"diavolo",256
"acute-inflammation",1,0.5,1,4,0.1,"rect",256
"acute-inflammation",1,0.5,1,4,0.1,"diavolo",256
"acute-inflammation",1,0.25,1,3,0.01,"rect",1024
"acute-inflammation",1,0.5,1,3,0.01,"rect",1024
"acute-inflammation",1,0.25,1,3,0.01,"diavolo",512
"acute-inflammation",1,0.5,1,3,0.01,"rect",512
"acute-inflammation",1,0.5,0.933333396911621,3,0.01,"diavolo",512
"acute-inflammation",1,0.25,1,3,0.01,"rect",256
"acute-inflammation",1,0.25,1,3,0.01,"diavolo",256
"acute-inflammation",1,0.25,0.933333396911621,3,0.1,"rect",1024
"acute-inflammation",1,0.25,1,3,0.1,"diavolo",1024
"acute-inflammation",1,0.5,1,3,0.1,"rect",1024
"acute-inflammation",1,0.25,1,3,0.1,"diavolo",512
"acute-inflammation",1,0.5,1,3,0.1,"rect",512
"acute-inflammation",1,0.5,1,3,0.1,"diavolo",512
"acute-inflammation",1,0.25,1,3,0.1,"rect",256
"acute-inflammation",1,0.25,1,3,0.1,"diavolo",256
"acute-inflammation",1,0.5,1,3,0.1,"rect",256
"acute-inflammation",1,0.5,1,3,0.1,"diavolo",256
"acute-inflammation",1,0.25,1,2,0.01,"rect",1024
"acute-inflammation",1,0.25,1,2,0.01,"diavolo",1024
"acute-inflammation",1,0.5,1,2,0.01,"rect",1024
"acute-inflammation",1,0.5,1,2,0.01,"diavolo",1024
"acute-inflammation",1,0.25,1,2,0.01,"diavolo",512
"acute-inflammation",1,0.5,1,2,0.01,"diavolo",512
"acute-inflammation",1,0.25,0.966666698455811,2,0.01,"rect",256
"acute-inflammation",1,0.25,1,2,0.01,"diavolo",256
"acute-inflammation",1,0.5,1,2,0.01,"diavolo",256
"acute-inflammation",1,0.25,1,2,0.1,"rect",1024
"acute-inflammation",1,0.25,1,2,0.1,"diavolo",1024
"acute-inflammation",1,0.5,1,2,0.1,"rect",1024
"acute-inflammation",1,0.5,1,2,0.1,"diavolo",1024
"acute-inflammation",1,0.25,1,2,0.1,"rect",512
"acute-inflammation",1,0.25,1,2,0.1,"diavolo",512
"acute-inflammation",1,0.5,1,2,0.1,"rect",512
"acute-inflammation",1,0.5,1,2,0.1,"diavolo",512
"acute-inflammation",1,0.25,0.933333396911621,2,0.1,"rect",256
"acute-inflammation",1,0.25,1,2,0.1,"diavolo",256
"acute-inflammation",1,0.5,1,2,0.1,"rect",256
"acute-inflammation",1,0.5,1,2,0.1,"diavolo",256
"acute-inflammation",0.992307698726654,0.5,1,8,0.01,"diavolo",512
"acute-inflammation",0.992307698726654,0.5,1,4,0.01,"rect",256
"acute-inflammation",0.976923084259033,0.5,0.933333396911621,16,0.01,"diavolo",256
"acute-inflammation",0.976923084259033,0.25,1,3,0.1,"rect",512
"acute-inflammation",0.96153849363327,0.5,0.766666769981384,8,0.1,"diavolo",256
