"dataset","testAccuracy","valAccuracy","nblocks","blockForm","learningrate","nhidden","bottleneck"
"balance-scale",0.916666686534882,0.993220353126526,3,"diavolo",0.1,1024,0.5
"balance-scale",0.92948716878891,0.984745788574219,2,"rect",0.1,1024,0.25
"balance-scale",0.897435903549194,0.983050882816315,8,"diavolo",0.1,1024,0.25
"balance-scale",0.903846204280853,0.981355965137482,8,"diavolo",0.1,512,0.5
"balance-scale",0.903846144676208,0.979661047458649,16,"diavolo",0.1,512,0.25
"balance-scale",0.903846144676208,0.979661047458649,8,"diavolo",0.1,512,0.25
"balance-scale",0.923076927661896,0.977966129779816,8,"rect",0.1,256,0.5
"balance-scale",0.916666686534882,0.977966129779816,3,"rect",0.1,1024,0.5
"balance-scale",0.935897409915924,0.977966123819351,4,"rect",0.1,256,0.5
"balance-scale",0.929487228393555,0.97457629442215,4,"diavolo",0.1,1024,0.25
"balance-scale",0.923076927661896,0.972881376743317,8,"rect",0.1,256,0.25
"balance-scale",0.910256445407867,0.972881376743317,4,"rect",0.1,256,0.25
"balance-scale",0.92948716878891,0.972881376743317,3,"rect",0.1,512,0.5
"balance-scale",0.92948716878891,0.969491535425186,4,"rect",0.1,512,0.25
"balance-scale",0.916666686534882,0.967796623706818,4,"rect",0.1,1024,0.5
"balance-scale",0.92948716878891,0.966101711988449,2,"diavolo",0.1,1024,0.5
"balance-scale",0.910256445407867,0.964406794309616,2,"rect",0.1,1024,0.5
"balance-scale",0.903846144676208,0.964406794309616,4,"diavolo",0.1,512,0.5
"balance-scale",0.910256385803223,0.962711870670319,3,"rect",0.1,256,0.25
"balance-scale",0.910256385803223,0.962711870670319,2,"rect",0.1,256,0.25
"balance-scale",0.89102566242218,0.961016952991486,3,"diavolo",0.1,512,0.25
"balance-scale",0.89102566242218,0.959322035312653,4,"diavolo",0.01,1024,0.5
"balance-scale",0.910256385803223,0.959322035312653,3,"rect",0.1,512,0.25
"balance-scale",0.903846204280853,0.959322035312653,2,"diavolo",0.1,512,0.5
"balance-scale",0.935897469520569,0.957627123594284,4,"rect",0.1,512,0.5
"balance-scale",0.910256445407867,0.955932205915451,2,"rect",0.1,512,0.25
"balance-scale",0.910256385803223,0.955932199954987,8,"diavolo",0.1,256,0.5
"balance-scale",0.910256445407867,0.955932199954987,2,"rect",0.1,512,0.5
"balance-scale",0.910256445407867,0.954237294197082,16,"rect",0.01,512,0.5
"balance-scale",0.903846144676208,0.954237288236618,2,"rect",0.1,256,0.5
"balance-scale",0.916666626930237,0.950847470760345,16,"rect",0.01,1024,0.5
"balance-scale",0.916666686534882,0.950847446918488,4,"diavolo",0.1,256,0.5
"balance-scale",0.910256385803223,0.949152529239655,4,"diavolo",0.1,1024,0.5
"balance-scale",0.923076987266541,0.945762723684311,3,"diavolo",0.1,1024,0.25
"balance-scale",0.916666686534882,0.944067788124084,3,"rect",0.1,256,0.5
"balance-scale",0.884615421295166,0.942372864484787,4,"diavolo",0.1,512,0.25
"balance-scale",0.826923072338104,0.940677982568741,16,"rect",0.01,1024,0.25
"balance-scale",0.897435963153839,0.938983029127121,3,"diavolo",0.1,256,0.5
"balance-scale",0.903846144676208,0.938983023166656,4,"diavolo",0.1,256,0.25
"balance-scale",0.897435903549194,0.938983023166656,2,"diavolo",0.1,512,0.25
"balance-scale",0.884615421295166,0.937288147211075,3,"rect",0.01,512,0.25
"balance-scale",0.884615421295166,0.935593223571777,2,"rect",0.01,1024,0.25
"balance-scale",0.833333373069763,0.935593211650849,8,"diavolo",0.01,512,0.25
"balance-scale",0.871794879436493,0.935593211650848,2,"rect",0.01,512,0.5
"balance-scale",0.865384638309479,0.935593199729919,16,"diavolo",0.01,512,0.5
"balance-scale",0.884615421295166,0.933898288011551,16,"diavolo",0.01,1024,0.5
"balance-scale",0.846153855323792,0.932203412055969,4,"diavolo",0.01,1024,0.25
"balance-scale",0.903846144676208,0.932203376293182,16,"diavolo",0.01,1024,0.25
"balance-scale",0.846153855323792,0.930508494377136,4,"rect",0.01,256,0.25
"balance-scale",0.878205120563507,0.930508476495743,2,"diavolo",0.1,256,0.5
"balance-scale",0.903846144676208,0.930508452653885,2,"diavolo",0.1,256,0.25
"balance-scale",0.865384578704834,0.928813564777374,2,"rect",0.01,512,0.25
"balance-scale",0.858974397182465,0.927118641138077,8,"rect",0.01,1024,0.25
"balance-scale",0.910256505012512,0.927118635177612,2,"diavolo",0.1,1024,0.25
"balance-scale",0.858974397182465,0.923728811740876,4,"rect",0.01,1024,0.25
"balance-scale",0.89102566242218,0.923728799819946,16,"diavolo",0.01,256,0.5
"balance-scale",0.897435903549194,0.922033905982971,2,"rect",0.01,256,0.25
"balance-scale",0.897435903549194,0.920338988304138,4,"rect",0.01,1024,0.5
"balance-scale",0.89102566242218,0.918644052743912,2,"diavolo",0.01,256,0.25
"balance-scale",0.846153855323792,0.915254235267639,3,"rect",0.01,1024,0.5
"balance-scale",0.910256445407867,0.91525422334671,3,"diavolo",0.1,512,0.5
"balance-scale",0.839743614196777,0.913559317588806,8,"diavolo",0.01,256,0.25
"balance-scale",0.871794879436493,0.911864405870438,8,"diavolo",0.1,256,0.25
"balance-scale",0.884615421295166,0.911864393949509,3,"diavolo",0.1,256,0.25
"balance-scale",0.846153855323792,0.91016948223114,16,"rect",0.01,256,0.5
"balance-scale",0.878205120563507,0.91016948223114,16,"diavolo",0.1,256,0.25
"balance-scale",0.865384638309479,0.906779646873474,16,"rect",0.01,512,0.25
"balance-scale",0.89102566242218,0.906779646873474,2,"diavolo",0.01,512,0.5
"balance-scale",0.801282107830048,0.905084729194641,4,"diavolo",0.01,512,0.25
"balance-scale",0.897435963153839,0.903389835357666,8,"rect",0.01,1024,0.5
"balance-scale",0.820512890815735,0.898305058479309,4,"diavolo",0.01,256,0.25
"balance-scale",0.897435903549194,0.898305058479309,2,"rect",0.01,256,0.5
"balance-scale",0.897435903549194,0.896610140800476,16,"diavolo",0.01,512,0.25
"balance-scale",0.884615361690521,0.896610140800476,3,"diavolo",0.01,1024,0.25
"balance-scale",0.85897433757782,0.893220311403275,8,"diavolo",0.01,1024,0.5
"balance-scale",0.878205180168152,0.891525393724442,3,"rect",0.01,1024,0.25
"balance-scale",0.878205120563507,0.891525387763977,3,"diavolo",0.01,512,0.5
"balance-scale",0.878205180168152,0.891525387763977,2,"diavolo",0.01,1024,0.5
"balance-scale",0.826923072338104,0.886440646648407,3,"diavolo",0.01,1024,0.5
"balance-scale",0.839743614196777,0.881355899572373,8,"rect",0.01,256,0.5
"balance-scale",0.858974456787109,0.881355881690979,2,"diavolo",0.01,1024,0.25
"balance-scale",0.871794939041138,0.87966098189354,8,"diavolo",0.01,512,0.5
"balance-scale",0.85256415605545,0.879660964012146,3,"rect",0.01,256,0.5
"balance-scale",0.833333373069763,0.867796593904495,8,"diavolo",0.01,1024,0.25
"balance-scale",0.871794939041138,0.86779654622078,2,"rect",0.01,1024,0.5
"balance-scale",0.846153855323792,0.857627081871033,4,"rect",0.01,512,0.25
"balance-scale",0.846153855323792,0.85423726439476,8,"diavolo",0.01,256,0.5
"balance-scale",0.78205132484436,0.847457587718964,2,"diavolo",0.01,256,0.5
"balance-scale",0.839743614196777,0.845762693881989,4,"rect",0.01,512,0.5
"balance-scale",0.839743554592133,0.842372900247574,3,"rect",0.01,256,0.25
"balance-scale",0.788461565971375,0.84237288236618,8,"rect",0.01,512,0.25
"balance-scale",0.794871807098389,0.838983052968979,8,"rect",0.01,256,0.25
"balance-scale",0.858974397182465,0.830508464574814,4,"rect",0.01,256,0.5
"balance-scale",0.807692289352417,0.830508464574814,3,"rect",0.01,512,0.5
"balance-scale",0.846153855323792,0.828813552856445,16,"diavolo",0.01,256,0.25
"balance-scale",0.833333373069763,0.816949135065079,8,"rect",0.01,512,0.5
"balance-scale",0.814102590084076,0.813559293746948,3,"diavolo",0.01,256,0.5
"balance-scale",0.769230842590332,0.80338984131813,16,"rect",0.01,256,0.25
"balance-scale",0.756410300731659,0.798305040597916,3,"diavolo",0.01,512,0.25
"balance-scale",0.794871807098389,0.786440688371658,4,"diavolo",0.01,256,0.5
"balance-scale",0.743589818477631,0.767796581983566,2,"diavolo",0.01,512,0.25
"balance-scale",0.769230782985687,0.744067788124084,4,"diavolo",0.01,512,0.5
"balance-scale",0.705128192901611,0.586440682411194,3,"diavolo",0.01,256,0.25
"balance-scale",0.461538463830948,0.559322065114975,3,"rect",0.1,1024,0.25
"balance-scale",0.46153849363327,0.525423765182495,16,"rect",0.1,256,0.5
"balance-scale",0.46153849363327,0.525423765182495,16,"diavolo",0.1,256,0.5
"balance-scale",0.46153849363327,0.525423765182495,8,"diavolo",0.1,1024,0.5
"balance-scale",0.46153849363327,0.506779676675797,4,"rect",0.1,1024,0.25
"balance-scale",0.46153849363327,0.491525441408157,16,"diavolo",0.1,1024,0.25
"balance-scale",0.46153849363327,0.464406782388687,16,"rect",0.1,256,0.25
"balance-scale",0.46153849363327,0.45762711763382,16,"diavolo",0.1,512,0.5
"balance-scale",0.46153849363327,0.389830518886447,8,"rect",0.1,512,0.25
"balance-scale",0.46153849363327,0.264406794123351,2,"diavolo",1,256,0.25
"balance-scale",0.46153849363327,0.257627125829458,8,"rect",0.1,1024,0.5
"balance-scale",0.0769230797886848,0.252542379312217,3,"diavolo",1,256,0.25
"balance-scale",0.0769230797886848,0.213559332862496,2,"diavolo",1,512,0.25
"balance-scale",0.0769230797886848,0.213559332862496,2,"diavolo",1,256,0.5
"balance-scale",0.0769230797886848,0.211864410154521,8,"rect",0.1,1024,0.25
"balance-scale",0.0769230797886848,0.161016947962344,3,"rect",1,256,0.25
"balance-scale",0.0769230797886848,0.155932206846774,4,"rect",1,256,0.25
"balance-scale",0.0769230797886848,0.155932206846774,3,"diavolo",1,1024,0.25
"balance-scale",0.0769230797886848,0.155932206846774,3,"diavolo",1,512,0.25
"balance-scale",0.0769230797886848,0.155932206846774,2,"rect",1,1024,0.5
"balance-scale",0.0769230797886848,0.155932206846774,2,"rect",1,512,0.5
"balance-scale",0.0769230797886848,0.149152542091906,2,"rect",1,512,0.25
"balance-scale",0.0769230797886848,0.14576271623373,3,"diavolo",1,256,0.5
"balance-scale",0.0769230797886848,0.128813562728465,2,"rect",1,256,0.25
"balance-scale",0.0769230797886848,0.118644075095654,3,"rect",1,256,0.5
"balance-scale",0.0769230797886848,0.111864410340786,4,"rect",1,512,0.5
"balance-scale",0.0769230797886848,0.111864410340786,4,"rect",1,256,0.5
"balance-scale",0.0769230797886848,0.111864410340786,3,"rect",1,512,0.25
"balance-scale",0.0769230797886848,0.111864410340786,2,"diavolo",1,512,0.5
"balance-scale",0.0769230797886848,0.111864410340786,3,"diavolo",1,512,0.5
"balance-scale",0.0769230797886848,0.111864410340786,4,"diavolo",1,256,0.5
"balance-scale",0.0769230797886848,0.105084745585918,3,"diavolo",1,1024,0.5
"balance-scale",0.0769230797886848,0.105084745585918,2,"rect",1,256,0.5
"balance-scale",0.0769230797886848,0.100000004470348,2,"diavolo",1,1024,0.25
"balance-scale",0.0769230797886848,0.100000001490116,16,"rect",0.1,1024,0.5
"balance-scale",0.102564103901386,0.0949152581393719,16,"diavolo",0.1,1024,0.5
"balance-scale",0.0769230797886848,0.0847457632422448,4,"diavolo",1,1024,0.25
"balance-scale",0.0769230797886848,0.0779661053791642,16,"rect",0.1,512,0.25
"balance-scale",0.0769230797886848,0.0677966138347983,8,"diavolo",1,1024,0.25
"balance-scale",0.0769230797886848,0.0677966138347983,2,"rect",1,1024,0.25
"balance-scale",0.0769230797886848,0.0644067794084549,4,"diavolo",1,512,0.25
"balance-scale",0.0769230797886848,0.0627118643373251,16,"rect",0.1,512,0.5
"balance-scale",0.0769230797886848,0.0610169490799308,8,"rect",0.1,512,0.5
"balance-scale",0.0769230797886848,0.0610169490799308,4,"rect",1,1024,0.25
"balance-scale",0.0769230797886848,0.0610169490799308,4,"rect",1,1024,0.5
"balance-scale",0.0769230797886848,0.0610169490799308,4,"rect",1,512,0.25
"balance-scale",0.0769230797886848,0.0610169490799308,3,"rect",1,1024,0.25
"balance-scale",0.0769230797886848,0.0610169490799308,3,"rect",1,1024,0.5
"balance-scale",0.0769230797886848,0.0610169490799308,2,"diavolo",1,1024,0.5
"balance-scale",0.0769230797886848,0.0389830520376563,8,"diavolo",1,256,0.5
"balance-scale",0.0769230797886848,0.0338983049616218,16,"diavolo",1,256,0.25
"balance-scale",0.0769230797886848,0.0322033897042274,4,"diavolo",1,512,0.5
"balance-scale",0.0769230797886848,0.0305084740743041,4,"diavolo",1,1024,0.5
"balance-scale",0.0769230797886848,0.0237288137897849,4,"diavolo",1,256,0.25
"balance-scale",0.0769230797886848,0.0186440678313375,16,"diavolo",1,1024,0.5
"balance-scale",0.0769230797886848,0.0186440678313375,16,"diavolo",1,512,0.25
"balance-scale",0.0769230797886848,0.0186440678313375,8,"diavolo",1,256,0.25
"balance-scale",0.0769230797886848,0.0169491525739431,16,"rect",0.1,1024,0.25
"balance-scale",0.0769230797886848,0.0169491525739431,16,"rect",1,1024,0.25
"balance-scale",0.0769230797886848,0.0169491525739431,16,"rect",1,1024,0.5
"balance-scale",0.0769230797886848,0.0169491525739431,16,"diavolo",1,1024,0.25
"balance-scale",0.0769230797886848,0.0169491525739431,16,"rect",1,512,0.25
"balance-scale",0.0769230797886848,0.0169491525739431,16,"rect",1,512,0.5
"balance-scale",0.0769230797886848,0.0169491525739431,16,"diavolo",1,512,0.5
"balance-scale",0.0769230797886848,0.0169491525739431,16,"rect",1,256,0.25
"balance-scale",0.0769230797886848,0.0169491525739431,16,"rect",1,256,0.5
"balance-scale",0.0769230797886848,0.0169491525739431,16,"diavolo",1,256,0.5
"balance-scale",0.0769230797886848,0.0169491525739431,8,"rect",1,1024,0.25
"balance-scale",0.0769230797886848,0.0169491525739431,8,"rect",1,1024,0.5
"balance-scale",0.0769230797886848,0.0169491525739431,8,"diavolo",1,1024,0.5
"balance-scale",0.0769230797886848,0.0169491525739431,8,"rect",1,512,0.25
"balance-scale",0.0769230797886848,0.0169491525739431,8,"rect",1,512,0.5
"balance-scale",0.0769230797886848,0.0169491525739431,8,"diavolo",1,512,0.25
"balance-scale",0.0769230797886848,0.0169491525739431,8,"diavolo",1,512,0.5
"balance-scale",0.0769230797886848,0.0169491525739431,8,"rect",1,256,0.25
"balance-scale",0.0769230797886848,0.0169491525739431,8,"rect",1,256,0.5
"balance-scale",0.0769230797886848,0.0169491525739431,3,"rect",1,512,0.5
