"dataset","bottleneck","testAccuracy","learningrate","nblocks","nhidden","valAccuracy","blockForm"
"vertebral-column-2clases",0.5,0.83116888999939,0.1,8,512,0.855319148302078,"rect"
"vertebral-column-2clases",0.25,0.857142865657806,0.01,8,1024,0.853191494941712,"rect"
"vertebral-column-2clases",0.5,0.792207777500153,0.01,4,256,0.851063847541809,"diavolo"
"vertebral-column-2clases",0.5,0.896103918552399,0.01,8,1024,0.85106383562088,"rect"
"vertebral-column-2clases",0.25,0.75324672460556,0.01,8,256,0.848936188220978,"diavolo"
"vertebral-column-2clases",0.5,0.883116900920868,0.1,8,256,0.848936182260513,"rect"
"vertebral-column-2clases",0.5,0.844155848026276,0.1,4,256,0.848936176300049,"diavolo"
"vertebral-column-2clases",0.25,0.766233801841736,0.01,16,1024,0.848936158418656,"diavolo"
"vertebral-column-2clases",0.25,0.857142865657806,0.01,2,512,0.84680849313736,"rect"
"vertebral-column-2clases",0.25,0.857142865657806,0.1,8,256,0.844680869579315,"rect"
"vertebral-column-2clases",0.25,0.831168830394745,0.01,16,1024,0.844680863618851,"rect"
"vertebral-column-2clases",0.5,0.701298654079437,0.01,2,1024,0.844680857658386,"diavolo"
"vertebral-column-2clases",0.5,0.74025970697403,0.01,8,256,0.844680851697922,"diavolo"
"vertebral-column-2clases",0.5,0.805194795131683,0.01,16,1024,0.844680845737457,"rect"
"vertebral-column-2clases",0.5,0.857142865657806,0.1,3,1024,0.840425527095795,"rect"
"vertebral-column-2clases",0.5,0.779220819473267,0.01,3,256,0.838297832012177,"diavolo"
"vertebral-column-2clases",0.25,0.857142865657806,0.1,8,256,0.83617023229599,"diavolo"
"vertebral-column-2clases",0.25,0.805194854736328,0.1,2,256,0.836170208454132,"rect"
"vertebral-column-2clases",0.5,0.844155848026276,0.01,3,512,0.834042519330979,"diavolo"
"vertebral-column-2clases",0.25,0.84415590763092,0.1,2,1024,0.831914895772934,"rect"
"vertebral-column-2clases",0.5,0.753246784210205,0.01,16,512,0.823404240608215,"rect"
"vertebral-column-2clases",0.25,0.740259766578674,0.01,4,1024,0.823404234647751,"rect"
"vertebral-column-2clases",0.25,0.805194854736328,0.01,3,512,0.821276557445526,"rect"
"vertebral-column-2clases",0.25,0.792207777500153,0.01,8,512,0.819148916006088,"rect"
"vertebral-column-2clases",0.5,0.766233801841736,0.01,8,512,0.819148904085159,"diavolo"
"vertebral-column-2clases",0.5,0.818181812763214,0.01,2,512,0.817021280527115,"rect"
"vertebral-column-2clases",0.25,0.831168830394745,0.01,16,256,0.814893609285355,"rect"
"vertebral-column-2clases",0.5,0.805194854736328,0.1,2,256,0.812765944004059,"rect"
"vertebral-column-2clases",0.25,0.792207837104797,0.01,3,1024,0.81063831448555,"diavolo"
"vertebral-column-2clases",0.25,0.753246784210205,0.01,2,1024,0.81063826084137,"rect"
"vertebral-column-2clases",0.5,0.779220819473267,0.01,16,256,0.806382942199707,"rect"
"vertebral-column-2clases",0.25,0.753246784210205,0.1,2,512,0.804255306720734,"rect"
"vertebral-column-2clases",0.5,0.753246784210205,0.1,4,512,0.804255300760269,"rect"
"vertebral-column-2clases",0.5,0.779220759868622,0.01,3,512,0.80425528883934,"rect"
"vertebral-column-2clases",0.5,0.818181812763214,0.01,8,512,0.799999964237213,"rect"
"vertebral-column-2clases",0.25,0.727272689342499,0.01,16,256,0.78723406791687,"diavolo"
"vertebral-column-2clases",0.5,0.805194854736328,0.01,2,512,0.785106348991394,"diavolo"
"vertebral-column-2clases",0.5,0.805194854736328,0.01,3,1024,0.780851048231125,"diavolo"
"vertebral-column-2clases",0.25,0.714285731315613,0.01,3,512,0.770212745666504,"diavolo"
"vertebral-column-2clases",0.25,0.727272689342499,0.01,4,256,0.763829785585403,"diavolo"
"vertebral-column-2clases",0.5,0.740259766578674,0.01,4,512,0.736170184612274,"rect"
"vertebral-column-2clases",0.5,0.714285731315613,0.01,4,256,0.731914865970612,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,0.01,8,256,0.717021250724793,"rect"
"vertebral-column-2clases",0.5,0.714285731315613,0.1,8,512,0.68085104227066,"diavolo"
"vertebral-column-2clases",0.25,0.727272748947144,0.1,4,1024,0.678723382949829,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,4,256,0.66382976770401,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,8,256,0.661702108383179,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,4,256,0.661702108383179,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,0.1,16,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,0.1,16,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,0.1,16,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,0.1,16,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,0.1,16,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,0.1,16,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,0.1,16,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,0.1,16,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,0.1,16,256,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,0.1,16,256,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,0.1,16,256,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,16,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,16,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,16,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,16,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,16,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,16,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,16,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,16,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,16,256,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,16,256,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,16,256,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,16,256,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,0.1,8,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,0.1,8,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,0.1,8,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,0.1,8,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,8,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,8,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,8,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,8,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,8,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,8,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,8,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,8,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,8,256,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,8,256,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,8,256,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,4,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,4,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,4,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,4,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,4,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,4,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,4,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,4,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,4,256,0.659574449062348,"rect"
