"dataset","valAccuracy","testAccuracy","blockForm","bottleneck","learningrate","nblocks","nhidden"
"adult",0.846738761663437,0.848350405693054,"rect",0.25,0.1,3,1024
"adult",0.8453977227211,0.84177827835083,"rect",0.5,0.1,4,512
"adult",0.843248969316483,0.847183406352997,"rect",0.25,0.1,8,512
"adult",0.842593693733215,0.84982442855835,"diavolo",0.25,0.1,16,256
"adult",0.842243182659149,0.843743801116943,"diavolo",0.5,0.1,2,256
"adult",0.842167001962662,0.841409802436829,"diavolo",0.25,0.1,4,256
"adult",0.841831713914871,0.8485347032547,"diavolo",0.5,0.1,4,512
"adult",0.841542184352875,0.845033645629883,"rect",0.25,0.1,4,1024
"adult",0.841496449708939,0.845954954624176,"rect",0.25,0.1,4,256
"adult",0.841420269012451,0.849885821342468,"diavolo",0.25,0.1,16,1024
"adult",0.841252648830414,0.850622951984406,"rect",0.25,0.1,16,256
"adult",0.841222149133682,0.84620064496994,"rect",0.25,0.1,3,256
"adult",0.840841156244278,0.849640190601349,"diavolo",0.25,0.1,3,256
"adult",0.840825927257538,0.845279216766357,"diavolo",0.5,0.1,4,256
"adult",0.840780192613602,0.846507728099823,"rect",0.5,0.1,2,256
"adult",0.840764981508255,0.842638194561005,"diavolo",0.5,0.1,8,1024
"adult",0.840704023838043,0.845340669155121,"rect",0.5,0.1,2,1024
"adult",0.840582120418549,0.847429037094116,"diavolo",0.25,0.1,4,512
"adult",0.840551626682281,0.845524966716766,"diavolo",0.5,0.1,3,256
"adult",0.840536379814148,0.840549945831299,"rect",0.5,0.1,3,256
"adult",0.840277308225632,0.841102719306946,"diavolo",0.5,0.1,8,512
"adult",0.840246832370758,0.843559503555298,"diavolo",0.25,0.1,16,512
"adult",0.84021635055542,0.84220826625824,"diavolo",0.25,0.01,16,256
"adult",0.84001824259758,0.842331111431122,"rect",0.25,0.1,2,256
"adult",0.839942073822021,0.844296514987946,"rect",0.5,0.1,2,512
"adult",0.839743947982788,0.839444220066071,"diavolo",0.25,0.1,3,512
"adult",0.839561104774475,0.848657429218292,"rect",0.5,0.1,3,512
"adult",0.839545834064484,0.847490429878235,"rect",0.5,0.1,4,256
"adult",0.839484882354736,0.850561499595642,"diavolo",0.5,0.1,16,256
"adult",0.839484870433807,0.847183406352997,"rect",0.25,0.1,8,256
"adult",0.839439141750336,0.847797572612762,"diavolo",0.5,0.1,8,256
"adult",0.839271551370621,0.841471135616302,"diavolo",0.25,0.1,8,512
"adult",0.838951498270035,0.847797632217407,"diavolo",0.25,0.1,8,256
"adult",0.838921010494232,0.846876323223114,"diavolo",0.25,0.1,2,512
"adult",0.838905775547027,0.84263813495636,"rect",0.25,0.01,3,256
"adult",0.838783895969391,0.846139132976532,"diavolo",0.5,0.1,4,1024
"adult",0.838722908496857,0.842023968696594,"rect",0.5,0.1,3,1024
"adult",0.838631480932236,0.845647871494293,"diavolo",0.25,0.1,2,256
"adult",0.838585776090622,0.837847352027893,"diavolo",0.25,0.1,2,1024
"adult",0.838570523262024,0.847981810569763,"rect",0.25,0.1,2,512
"adult",0.838265734910965,0.846507728099823,"rect",0.25,0.1,2,1024
"adult",0.838143813610077,0.84306812286377,"diavolo",0.5,0.1,2,512
"adult",0.838128590583801,0.845832109451294,"rect",0.5,0.01,2,256
"adult",0.838067609071732,0.841286897659302,"rect",0.25,0.1,3,512
"adult",0.838006681203842,0.843805253505707,"rect",0.5,0.1,8,512
"adult",0.837884777784348,0.845156490802765,"rect",0.25,0.01,2,256
"adult",0.837229436635971,0.838584363460541,"rect",0.5,0.01,4,256
"adult",0.837153285741806,0.840058505535126,"diavolo",0.25,0.01,8,256
"adult",0.837046617269516,0.840242743492126,"diavolo",0.25,0.1,8,1024
"adult",0.836909472942353,0.843006730079651,"diavolo",0.5,0.1,3,512
"adult",0.836680859327316,0.842576801776886,"diavolo",0.25,0.1,3,1024
"adult",0.836619877815247,0.841225504875183,"rect",0.25,0.1,4,512
"adult",0.836421781778335,0.84239250421524,"diavolo",0.25,0.01,4,256
"adult",0.836299866437912,0.841409742832184,"rect",0.5,0.1,4,1024
"adult",0.836269414424896,0.841041266918182,"diavolo",0.5,0.01,8,256
"adult",0.836086535453796,0.840611279010773,"diavolo",0.5,0.1,3,1024
"adult",0.835979861021042,0.837540209293365,"rect",0.25,0.01,2,512
"adult",0.83544647693634,0.844849348068237,"diavolo",0.25,0.1,4,1024
"adult",0.83532457947731,0.842208325862885,"rect",0.5,0.01,3,256
"adult",0.835263603925705,0.842269659042358,"diavolo",0.25,0.01,3,256
"adult",0.834852141141892,0.843436658382416,"diavolo",0.25,0.01,2,256
"adult",0.834791207313538,0.835329115390778,"diavolo",0.5,0.01,2,256
"adult",0.834791177511215,0.846814811229706,"rect",0.5,0.1,8,256
"adult",0.834516876935959,0.837048828601837,"rect",0.25,0.01,4,256
"adult",0.834181618690491,0.842024028301239,"diavolo",0.5,0.1,2,1024
"adult",0.833693927526474,0.839628577232361,"diavolo",0.5,0.01,4,256
"adult",0.833602523803711,0.836557507514954,"rect",0.5,0.01,16,256
"adult",0.833572047948837,0.841102659702301,"diavolo",0.5,0.01,3,256
"adult",0.833556813001633,0.838031649589539,"diavolo",0.5,0.01,16,256
"adult",0.833252012729645,0.840427041053772,"rect",0.5,0.01,2,512
"adult",0.833099621534347,0.836004674434662,"diavolo",0.25,0.01,8,512
"adult",0.832871049642563,0.828511357307434,"rect",0.5,0.01,8,256
"adult",0.832581520080567,0.835636138916016,"diavolo",0.5,0.1,16,512
"adult",0.832429087162018,0.832380890846252,"diavolo",0.25,0.01,16,512
"adult",0.831987184286118,0.836864650249481,"diavolo",0.25,0.01,2,512
"adult",0.831408101320267,0.832933664321899,"rect",0.25,0.01,8,256
"adult",0.831255704164505,0.834284961223602,"diavolo",0.25,0.01,4,512
"adult",0.830585157871246,0.835329055786133,"diavolo",0.25,0.01,3,512
"adult",0.830417507886887,0.837970197200775,"rect",0.25,0.01,3,512
"adult",0.830249893665314,0.835390508174896,"rect",0.5,0.01,3,512
"adult",0.830219411849976,0.834284842014313,"rect",0.25,0.01,8,512
"adult",0.830051791667938,0.838522911071777,"diavolo",0.5,0.01,2,512
"adult",0.829503148794174,0.833425045013428,"diavolo",0.5,0.01,3,512
"adult",0.829167896509171,0.832565128803253,"rect",0.25,0.01,16,256
"adult",0.828893584012985,0.833179354667664,"rect",0.5,0.1,16,256
"adult",0.828802174329758,0.830722451210022,"rect",0.25,0.01,16,512
"adult",0.828664994239807,0.837785840034485,"diavolo",0.5,0.01,16,512
"adult",0.828436410427094,0.831828117370605,"diavolo",0.5,0.01,16,1024
"adult",0.82820782661438,0.832810759544373,"rect",0.5,0.01,8,512
"adult",0.827979236841202,0.831090986728668,"rect",0.5,0.01,3,1024
"adult",0.827918291091919,0.835267603397369,"rect",0.25,0.01,2,1024
"adult",0.827796351909637,0.837048828601837,"diavolo",0.5,0.01,8,1024
"adult",0.827598243951797,0.835697591304779,"rect",0.5,0.01,2,1024
"adult",0.827491569519043,0.830599725246429,"diavolo",0.5,0.01,8,512
"adult",0.82732395529747,0.830231070518494,"rect",0.5,0.01,4,512
"adult",0.82704963684082,0.833793520927429,"diavolo",0.25,0.01,16,1024
"adult",0.826638215780258,0.835144877433777,"diavolo",0.5,0.01,4,512
"adult",0.826622945070267,0.825317442417145,"diavolo",0.5,0.01,2,1024
"adult",0.826028597354889,0.834899127483368,"rect",0.5,0.01,16,1024
"adult",0.825876200199127,0.829186916351318,"diavolo",0.25,0.01,2,1024
"adult",0.825739067792892,0.835574805736542,"diavolo",0.25,0.01,8,1024
