"dataset","valAccuracy","blockForm","learningrate","nblocks","nhidden","testAccuracy","bottleneck"
"hepatitis",0.875,"diavolo",0.01,4,1024,0.769230782985687,0.5
"hepatitis",0.84375,"diavolo",0.1,4,1024,0.871794879436493,0.5
"hepatitis",0.8375,"rect",0.01,3,512,0.743589758872986,0.5
"hepatitis",0.8125,"diavolo",0.01,16,1024,0.82051283121109,0.5
"hepatitis",0.8125,"diavolo",0.01,8,256,0.769230782985687,0.5
"hepatitis",0.8125,"diavolo",0.1,4,1024,0.82051283121109,0.25
"hepatitis",0.8125,"rect",0.1,3,1024,0.871794879436493,0.5
"hepatitis",0.8125,"diavolo",0.01,2,1024,0.794871807098389,0.25
"hepatitis",0.8125,"diavolo",0.1,2,512,0.846153855323792,0.5
"hepatitis",0.80625,"diavolo",0.1,8,512,0.82051283121109,0.25
"hepatitis",0.80625,"diavolo",0.1,4,256,0.794871807098389,0.5
"hepatitis",0.80625,"diavolo",0.1,3,1024,0.846153855323792,0.5
"hepatitis",0.8,"rect",0.01,4,512,0.82051283121109,0.25
"hepatitis",0.8,"diavolo",0.01,4,256,0.82051283121109,0.25
"hepatitis",0.8,"diavolo",0.1,3,1024,0.82051283121109,0.25
"hepatitis",0.79375,"diavolo",0.1,4,512,0.794871807098389,0.25
"hepatitis",0.79375,"diavolo",0.1,2,256,0.794871807098389,0.25
"hepatitis",0.78125,"diavolo",0.01,16,256,0.82051283121109,0.25
"hepatitis",0.78125,"diavolo",0.01,2,512,0.794871807098389,0.5
"hepatitis",0.78125,"rect",0.01,3,512,0.743589758872986,0.25
"hepatitis",0.775,"diavolo",0.1,3,256,0.82051283121109,0.25
"hepatitis",0.76875,"rect",0.01,16,256,0.82051283121109,0.5
"hepatitis",0.76875,"rect",0.01,8,1024,0.769230782985687,0.25
"hepatitis",0.76875,"diavolo",0.1,3,512,0.794871807098389,0.5
"hepatitis",0.76875,"diavolo",0.1,2,1024,0.871794879436493,0.5
"hepatitis",0.7625,"diavolo",0.1,3,256,0.846153855323792,0.5
"hepatitis",0.7625,"rect",0.01,2,512,0.82051283121109,0.25
"hepatitis",0.7625,"rect",0.1,2,256,0.846153855323792,0.5
