"dataset","layerForm","testAccuracy","valAccuracy","learningrate","nhidden","nlayers"
"thyroid","rect",0.977829694747925,0.980357056856155,1,1024,2
"thyroid","rect",0.968786537647247,0.978571355342865,1,512,4
"thyroid","cone",0.975204229354858,0.977806055545807,1,1024,8
"thyroid","rect",0.978704869747162,0.976530534029007,1,512,2
"thyroid","cone",0.971703708171844,0.976020336151123,1,512,4
"thyroid","rect",0.967036306858063,0.974489730596542,1,512,3
"thyroid","cone",0.967911422252655,0.973469316959381,1,256,8
"thyroid","rect",0.971120297908783,0.971428507566452,1,256,4
"thyroid","cone",0.969369947910309,0.970918303728104,1,256,4
"thyroid","cone",0.914527416229248,0.938520342111588,1,1024,16
"thyroid","rect",0.939906656742096,0.935459125041962,1,256,3
"thyroid","rect",0.936697840690613,0.933928501605988,0.01,256,2
"thyroid","rect",0.936989605426788,0.933673405647278,0.01,1024,2
"thyroid","rect",0.937281310558319,0.933673387765884,0.01,512,2
"thyroid","cone",0.940198421478271,0.932653027772903,1,1024,3
"thyroid","rect",0.936114430427551,0.932397896051407,0.01,1024,3
"thyroid","cone",0.939614951610565,0.931632608175278,1,256,3
"thyroid","rect",0.940781831741333,0.931632596254349,1,256,2
"thyroid","rect",0.933488965034485,0.931632590293884,0.1,1024,16
"thyroid","rect",0.934072375297546,0.93163258433342,0.01,512,3
"thyroid","cone",0.936989545822144,0.931377494335175,1,1024,4
"thyroid","cone",0.936114430427551,0.930357098579407,1,256,2
"thyroid","cone",0.934072434902191,0.930357092618942,0.01,512,2
"thyroid","rect",0.93378072977066,0.930101996660233,0.01,256,4
"thyroid","rect",0.933488965034485,0.930101996660233,0.1,1024,4
"thyroid","cone",0.934947550296783,0.930101996660233,1,512,2
"thyroid","cone",0.93348902463913,0.929846906661987,0.01,1024,2
"thyroid","rect",0.93553102016449,0.929846894741059,1,512,16
"thyroid","cone",0.934072434902191,0.929591804742813,1,512,3
"thyroid","rect",0.934072434902191,0.929336696863175,0.01,1024,4
"thyroid","rect",0.935822725296021,0.929336673021317,0.1,256,32
"thyroid","rect",0.933197259902954,0.929081594944,0.01,512,4
"thyroid","rect",0.933488965034485,0.928826487064362,0.1,256,2
"thyroid","rect",0.9317387342453,0.928571403026581,0.01,256,3
"thyroid","cone",0.9317387342453,0.928571367263794,0.01,256,3
"thyroid","rect",0.929113328456879,0.928316295146942,0.1,1024,3
"thyroid","rect",0.932322144508362,0.928316289186478,0.1,1024,2
"thyroid","cone",0.932030439376831,0.928061199188233,0.01,256,2
"thyroid","rect",0.932030439376831,0.92755098938942,0.1,512,2
"thyroid","cone",0.932613849639893,0.927550977468491,0.1,512,3
"thyroid","rect",0.929988503456116,0.927550965547562,0.01,1024,32
"thyroid","cone",0.928529858589172,0.926275473833084,0.01,1024,4
"thyroid","cone",0.928529858589172,0.926020383834839,0.1,1024,2
"thyroid","cone",0.930280148983002,0.926020377874374,1,1024,2
"thyroid","rect",0.933197319507599,0.925765281915665,0.1,512,4
"thyroid","rect",0.927946448326111,0.925510174036026,0.1,1024,8
"thyroid","rect",0.928529858589172,0.925510174036026,0.1,512,3
"thyroid","cone",0.928529858589172,0.925255072116852,0.1,256,2
"thyroid","cone",0.928529858589172,0.925255066156387,0.01,512,4
"thyroid","rect",0.927071332931519,0.924489766359329,0.1,512,16
"thyroid","cone",0.928529858589172,0.924234670400619,0.1,256,8
"thyroid","rect",0.927071332931519,0.924234670400619,0.1,256,3
"thyroid","cone",0.927071332931519,0.923979568481445,0.1,1024,4
"thyroid","rect",0.927363038063049,0.923979568481445,0.1,256,4
"thyroid","cone",0.928529858589172,0.923979568481445,0.01,512,3
"thyroid","cone",0.927071332931519,0.923724466562271,0.1,256,4
"thyroid","cone",0.927946448326111,0.923724466562271,0.1,512,2
"thyroid","cone",0.927071273326874,0.923469364643097,0.01,1024,32
"thyroid","cone",0.927071332931519,0.923469364643097,0.01,512,32
"thyroid","rect",0.927071273326874,0.923469364643097,0.01,512,32
"thyroid","cone",0.927071332931519,0.923469364643097,0.01,256,32
"thyroid","rect",0.927071273326874,0.923469364643097,0.01,256,32
"thyroid","cone",0.927071332931519,0.923469364643097,0.1,512,32
"thyroid","rect",0.927071332931519,0.923469364643097,0.1,512,32
"thyroid","cone",0.927071273326874,0.923469364643097,0.1,256,32
"thyroid","rect",0.927071273326874,0.923469364643097,1,1024,32
"thyroid","cone",0.927071332931519,0.923469364643097,1,512,32
"thyroid","rect",0.927071332931519,0.923469364643097,1,512,32
"thyroid","rect",0.927071332931519,0.923469364643097,1,256,32
"thyroid","cone",0.927071332931519,0.923469364643097,0.01,1024,16
"thyroid","rect",0.927071332931519,0.923469364643097,0.01,1024,16
"thyroid","cone",0.927071332931519,0.923469364643097,0.01,512,16
"thyroid","rect",0.927071332931519,0.923469364643097,0.01,512,16
"thyroid","cone",0.927071273326874,0.923469364643097,0.01,256,16
"thyroid","rect",0.927071273326874,0.923469364643097,0.01,256,16
"thyroid","cone",0.928529858589172,0.923469364643097,0.1,1024,16
"thyroid","cone",0.927946448326111,0.923469364643097,0.1,512,16
"thyroid","cone",0.927071332931519,0.923469364643097,0.1,256,16
"thyroid","rect",0.927071273326874,0.923469364643097,0.1,256,16
"thyroid","rect",0.927071273326874,0.923469364643097,1,1024,16
"thyroid","rect",0.927071332931519,0.923469364643097,1,256,16
"thyroid","cone",0.927071332931519,0.923469364643097,0.01,1024,8
"thyroid","rect",0.927071273326874,0.923469364643097,0.01,1024,8
"thyroid","cone",0.927071332931519,0.923469364643097,0.01,512,8
"thyroid","rect",0.927946448326111,0.923469364643097,0.01,512,8
"thyroid","cone",0.927071273326874,0.923469364643097,0.01,256,8
"thyroid","rect",0.927071332931519,0.923469364643097,0.01,256,8
"thyroid","cone",0.927071273326874,0.923469364643097,0.1,1024,8
"thyroid","cone",0.927071273326874,0.923469364643097,0.1,512,8
"thyroid","rect",0.928529858589172,0.923469364643097,0.1,512,8
"thyroid","rect",0.927071273326874,0.923469364643097,0.1,256,8
"thyroid","cone",0.927071273326874,0.923469364643097,0.01,256,4
"thyroid","cone",0.927071332931519,0.923469364643097,0.1,512,4
"thyroid","cone",0.927071332931519,0.923469364643097,0.01,1024,3
"thyroid","cone",0.927071332931519,0.923469364643097,0.1,1024,3
"thyroid","cone",0.927071332931519,0.923469364643097,0.1,256,3
"thyroid","cone",0.939323246479034,0.922959136962891,1,512,8
"thyroid","cone",0.927071273326874,0.911479562520981,0.1,1024,32
"thyroid","rect",0.627187848091125,0.744897955656052,1,1024,4
"thyroid","rect",0.593640625476837,0.737244880199432,1,1024,3
"thyroid","rect",0.731621980667114,0.661224457621575,1,256,8
"thyroid","cone",0.051633607596159,0.659948963671923,1,256,32
"thyroid","rect",0.631563663482666,0.598979589343071,1,512,8
"thyroid","cone",0.255542576313019,0.497448967397213,1,256,16
"thyroid","cone",0.465577602386475,0.432653048634529,1,512,16
"thyroid","rect",0.321470230817795,0.420153051614761,1,1024,8
"thyroid","rect",0.0212952177971601,0.112499997019768,0.1,1024,32
"thyroid","cone",0.021295215934515,0.0178571417927742,1,1024,32
