"dataset","nhidden","valAccuracy","testAccuracy","learningrate","nlayers","layerForm"
"monks-3",1024,0.975,0.527777791023254,0.01,16,"cone"
"monks-3",1024,0.975,0.58564817905426,0.01,4,"cone"
"monks-3",1024,0.9625,0.527777791023254,0.01,4,"rect"
"monks-3",512,0.875,0.726851880550385,0.1,8,"cone"
"monks-3",512,0.875,0.638888955116272,0.01,4,"cone"
"monks-3",1024,0.875,0.722222208976746,0.01,3,"cone"
"monks-3",1024,0.875,0.541666686534882,0.01,3,"rect"
"monks-3",1024,0.8625,0.527777791023254,0.01,8,"rect"
"monks-3",256,0.8625,0.770833313465118,0.1,8,"cone"
"monks-3",1024,0.8375,0.553240776062012,0.01,8,"cone"
"monks-3",512,0.8,0.73842591047287,0.01,2,"cone"
"monks-3",256,0.7875,0.800925970077515,0.01,2,"cone"
"monks-3",512,0.775,0.72222226858139,1,4,"rect"
"monks-3",256,0.7625,0.928240716457367,0.1,4,"rect"
"monks-3",256,0.75,0.803240656852722,0.01,3,"rect"
"monks-3",1024,0.75,0.925926029682159,0.1,2,"rect"
"monks-3",512,0.7375,0.518518567085266,0.01,8,"cone"
"monks-3",1024,0.7375,0.775462985038757,0.01,2,"rect"
"monks-3",1024,0.7375,0.703703701496124,0.1,2,"cone"
"monks-3",256,0.6875,0.805555582046509,1,8,"rect"
"monks-3",512,0.675,0.78472226858139,0.01,3,"cone"
"monks-3",512,0.675,0.893518507480621,0.1,2,"rect"
"monks-3",512,0.6625,0.870370388031006,0.1,4,"cone"
"monks-3",1024,0.6625,0.891203761100769,0.1,3,"cone"
"monks-3",512,0.6625,0.905092597007751,0.1,3,"rect"
"monks-3",256,0.6625,0.796296298503876,0.1,3,"cone"
"monks-3",512,0.65,0.807870388031006,0.1,2,"cone"
"monks-3",256,0.6375,0.550925970077515,0.01,3,"cone"
"monks-3",256,0.6375,0.821759283542633,0.1,2,"rect"
"monks-3",256,0.625,0.527777791023254,0.01,32,"cone"
"monks-3",1024,0.625,0.527777791023254,0.1,32,"rect"
"monks-3",1024,0.625,0.527777791023254,1,32,"rect"
"monks-3",512,0.625,0.527777791023254,1,32,"rect"
"monks-3",256,0.625,0.527777791023254,1,32,"cone"
"monks-3",256,0.625,0.527777791023254,1,32,"rect"
"monks-3",256,0.625,0.527777791023254,0.1,16,"cone"
"monks-3",256,0.625,0.527777791023254,1,16,"cone"
"monks-3",256,0.625,0.527777791023254,0.01,8,"cone"
"monks-3",1024,0.625,0.527777791023254,0.1,8,"cone"
"monks-3",1024,0.625,0.921296298503876,0.1,4,"rect"
"monks-3",256,0.625,0.9375,0.1,4,"cone"
"monks-3",256,0.625,0.94907408952713,0.1,3,"rect"
"monks-3",256,0.6,0.527777791023254,0.1,32,"cone"
"monks-3",256,0.6,0.569444417953491,1,16,"rect"
"monks-3",256,0.575,0.527777791023254,0.1,32,"rect"
"monks-3",1024,0.55,0.527777791023254,1,32,"cone"
"monks-3",1024,0.5375,0.546296298503876,1,8,"cone"
"monks-3",256,0.5375,0.833333373069763,1,2,"cone"
"monks-3",1024,0.525,0.474537044763565,1,8,"rect"
"monks-3",512,0.525,0.73842591047287,0.01,4,"rect"
"monks-3",1024,0.5125,0.884259283542633,1,2,"rect"
"monks-3",512,0.5,0.472222238779068,0.1,32,"rect"
"monks-3",1024,0.5,0.472222238779068,0.1,16,"rect"
"monks-3",1024,0.5,0.472222238779068,1,16,"rect"
"monks-3",1024,0.5,0.791666626930237,0.01,2,"cone"
"monks-3",512,0.5,0.805555582046509,1,3,"rect"
"monks-3",1024,0.5,0.472222238779068,0.1,32,"cone"
"monks-3",256,0.4875,0.694444417953491,0.01,4,"cone"
"monks-3",512,0.4875,0.930555582046509,0.1,3,"cone"
"monks-3",1024,0.4875,0.828703701496124,0.1,4,"cone"
"monks-3",512,0.475,0.807870328426361,1,3,"cone"
"monks-3",512,0.475,0.527777791023254,1,16,"rect"
"monks-3",1024,0.475,0.634259283542633,1,4,"rect"
"monks-3",512,0.4625,0.476851850748062,0.1,16,"rect"
"monks-3",1024,0.4625,0.824074029922485,1,3,"rect"
"monks-3",256,0.4625,0.831018567085266,1,3,"cone"
"monks-3",512,0.45,0.819444477558136,0.1,4,"rect"
"monks-3",256,0.45,0.770833373069763,1,4,"cone"
"monks-3",512,0.45,0.745370328426361,1,2,"rect"
"monks-3",512,0.45,0.678240776062012,1,8,"rect"
"monks-3",512,0.45,0.80092591047287,0.01,3,"rect"
"monks-3",256,0.4375,0.817129671573639,1,3,"rect"
"monks-3",256,0.4375,0.696759283542633,1,2,"rect"
"monks-3",1024,0.425,0.60185182094574,1,2,"cone"
"monks-3",1024,0.425,0.472222238779068,0.01,32,"rect"
"monks-3",512,0.425,0.472222238779068,1,32,"cone"
"monks-3",256,0.425,0.472222238779068,0.1,16,"rect"
"monks-3",512,0.425,0.472222238779068,1,16,"cone"
"monks-3",1024,0.425,0.678240716457367,0.1,3,"rect"
"monks-3",1024,0.4125,0.8125,1,3,"cone"
"monks-3",1024,0.4,0.472222238779068,0.01,32,"cone"
"monks-3",512,0.4,0.513888895511627,0.1,8,"rect"
"monks-3",256,0.4,0.5,0.1,8,"rect"
"monks-3",256,0.4,0.513888895511627,1,8,"cone"
"monks-3",256,0.4,0.706018507480621,1,4,"rect"
"monks-3",512,0.375,0.472222238779068,0.01,32,"cone"
"monks-3",512,0.375,0.472222238779068,0.01,32,"rect"
"monks-3",256,0.375,0.472222238779068,0.01,32,"rect"
"monks-3",512,0.375,0.472222238779068,0.1,32,"cone"
"monks-3",1024,0.375,0.472222238779068,0.01,16,"rect"
"monks-3",512,0.375,0.472222238779068,0.01,16,"cone"
"monks-3",512,0.375,0.472222238779068,0.01,16,"rect"
"monks-3",256,0.375,0.472222238779068,0.01,16,"cone"
"monks-3",256,0.375,0.472222238779068,0.01,16,"rect"
"monks-3",1024,0.375,0.472222238779068,0.1,16,"cone"
"monks-3",512,0.375,0.472222238779068,0.1,16,"cone"
"monks-3",1024,0.375,0.472222238779068,1,16,"cone"
"monks-3",512,0.375,0.472222238779068,0.01,8,"rect"
"monks-3",256,0.375,0.472222238779068,0.01,8,"rect"
"monks-3",1024,0.375,0.541666686534882,0.1,8,"rect"
"monks-3",512,0.375,0.472222238779068,1,8,"cone"
"monks-3",256,0.375,0.666666686534882,0.01,4,"rect"
"monks-3",1024,0.375,0.756944417953491,1,4,"cone"
"monks-3",512,0.375,0.548611164093018,1,4,"cone"
"monks-3",512,0.375,0.712962985038757,0.01,2,"rect"
"monks-3",256,0.375,0.53935182094574,0.01,2,"rect"
"monks-3",256,0.375,0.585648059844971,0.1,2,"cone"
"monks-3",512,0.375,0.740740776062012,1,2,"cone"
