"dataset","valAccuracy","testAccuracy","learningrate","nhidden","nlayers","layerForm"
"magic",0.882624077796936,0.871293425559998,1,256,2,"cone"
"magic",0.881985771656036,0.868138790130615,0.1,256,2,"cone"
"magic",0.881631153821945,0.872344970703125,1,512,4,"cone"
"magic",0.880212736129761,0.860357642173767,1,512,2,"cone"
"magic",0.879645353555679,0.869611024856567,0.01,256,2,"cone"
"magic",0.87964534163475,0.868349134922028,0.01,256,3,"cone"
"magic",0.87921981215477,0.87192440032959,1,512,3,"cone"
"magic",0.878156000375748,0.862460613250732,1,512,3,"rect"
"magic",0.877375859022141,0.864774107933044,0.01,256,2,"rect"
"magic",0.877021235227585,0.875920176506042,1,1024,4,"cone"
"magic",0.876808494329453,0.872555315494537,1,256,4,"rect"
"magic",0.876595717668534,0.870662450790405,0.01,512,2,"rect"
"magic",0.876595705747604,0.872975945472717,1,1024,3,"cone"
"magic",0.876524794101715,0.866666793823242,1,256,8,"rect"
"magic",0.876382946968079,0.873817145824432,0.1,512,2,"cone"
"magic",0.876170176267624,0.869821310043335,0.1,256,3,"cone"
"magic",0.876099246740341,0.86351215839386,0.01,512,4,"cone"
"magic",0.875744646787644,0.86603581905365,1,512,8,"cone"
"magic",0.874751734733582,0.865404844284058,0.01,512,3,"cone"
"magic",0.874751716852188,0.867928504943848,0.1,256,4,"cone"
"magic",0.874468040466309,0.86855947971344,0.1,1024,3,"cone"
"magic",0.874468034505844,0.87024188041687,1,256,3,"cone"
"magic",0.874113446474075,0.863722383975983,1,1024,8,"rect"
"magic",0.874042522907257,0.873817086219788,1,1024,16,"cone"
"magic",0.873687881231308,0.862881243228912,1,256,3,"rect"
"magic",0.873404204845429,0.870031595230103,1,256,4,"cone"
"magic",0.873333293199539,0.859937071800232,0.1,256,8,"cone"
"magic",0.873262363672257,0.86603569984436,0.01,1024,2,"cone"
"magic",0.873191446065903,0.864773988723755,1,512,2,"rect"
"magic",0.872836816310883,0.867507994174957,1,1024,2,"rect"
"magic",0.872694975137711,0.86561518907547,1,256,2,"rect"
"magic",0.872624087333679,0.858254551887512,0.1,512,4,"cone"
