"dataset","nlayers","testAccuracy","learningrate","layerForm","nhidden","valAccuracy"
"optical",16,0.971619307994843,1,"cone",512,0.984656029939652
"optical",4,0.965498030185699,0.01,"cone",256,0.984656023979187
"optical",8,0.970506370067596,1,"rect",256,0.984126943349838
"optical",4,0.975514650344849,1,"cone",512,0.984126925468445
"optical",4,0.971062779426575,1,"rect",256,0.984126925468445
"optical",2,0.970506429672241,1,"cone",1024,0.982804179191589
"optical",16,0.964941501617432,0.1,"cone",512,0.982010561227798
"optical",4,0.967167437076569,1,"cone",256,0.981745988130569
"optical",3,0.973845243453979,1,"rect",512,0.981481468677521
"optical",4,0.97217583656311,1,"cone",1024,0.981481438875198
"optical",3,0.972732245922089,1,"rect",256,0.981481432914734
"optical",2,0.970506310462952,1,"cone",256,0.981481432914734
"optical",16,0.961602628231049,1,"cone",1024,0.981216889619827
"optical",2,0.97217583656311,0.1,"cone",1024,0.980952334403992
"optical",4,0.968836903572083,0.1,"rect",256,0.980952334403992
"optical",3,0.971619307994843,1,"cone",1024,0.980687785148621
"optical",2,0.969949841499329,1,"rect",256,0.980687785148621
"optical",3,0.974958181381226,1,"cone",512,0.980687785148621
"optical",16,0.968836903572083,1,"cone",256,0.980423271656036
"optical",8,0.953255414962769,1,"rect",512,0.980423247814178
"optical",3,0.972732245922089,1,"cone",256,0.979629588127136
"optical",16,0.972732305526733,0.1,"cone",256,0.978835940361023
"optical",3,0.961046099662781,0.1,"rect",512,0.978835940361023
"optical",3,0.959933161735535,0.1,"cone",256,0.978835940361023
"optical",2,0.958820223808289,0.01,"rect",256,0.978835940361023
"optical",2,0.968836843967438,0.1,"cone",512,0.978835940361023
"optical",2,0.968836843967438,0.1,"rect",512,0.978835940361023
"optical",4,0.963272094726562,0.1,"cone",512,0.978571391105652
"optical",16,0.971062839031219,0.1,"rect",1024,0.977777773141861
"optical",16,0.962715625762939,0.1,"rect",512,0.977513206005097
"optical",16,0.967167496681213,0.1,"rect",256,0.977513194084168
"optical",3,0.967167437076569,1,"rect",1024,0.977248656749726
"optical",3,0.964941442012787,0.1,"rect",1024,0.977248644828797
"optical",2,0.964941561222076,1,"rect",1024,0.976454997062683
"optical",4,0.964941501617432,1,"rect",1024,0.97619047164917
"optical",4,0.968836963176727,1,"rect",512,0.976190447807312
"optical",2,0.971062898635864,1,"cone",512,0.976190447807312
"optical",2,0.980523109436035,0.1,"rect",1024,0.975925898551941
"optical",8,0.957707226276398,1,"cone",512,0.975661355257035
"optical",8,0.971062839031219,1,"cone",1024,0.97566134929657
"optical",8,0.963272094726562,0.1,"rect",256,0.975396800041199
"optical",2,0.967167496681213,0.1,"cone",256,0.975396800041199
"optical",16,0.969949841499329,1,"rect",512,0.974074059724808
"optical",3,0.961602687835693,0.1,"rect",256,0.973809504508972
"optical",3,0.970506429672241,0.01,"cone",256,0.973545008897781
"optical",4,0.959376692771912,0.1,"cone",256,0.973544955253601
"optical",2,0.962715566158295,0.01,"rect",512,0.973544955253601
"optical",2,0.963272094726562,1,"rect",512,0.973544955253601
"optical",16,0.966054439544678,1,"rect",256,0.972751313447952
"optical",2,0.943238615989685,0.01,"rect",1024,0.972222208976746
"optical",4,0.969949841499329,0.01,"cone",512,0.971164011955261
"optical",8,0.945464611053467,0.1,"cone",512,0.969841265678406
"optical",3,0.957150816917419,0.01,"rect",512,0.969047617912292
"optical",8,0.952698886394501,0.1,"cone",256,0.969047605991364
"optical",3,0.964385032653809,0.1,"cone",512,0.96851851940155
"optical",8,0.963272094726562,1,"cone",256,0.968518507480621
"optical",4,0.954924821853638,0.1,"cone",1024,0.968253970146179
"optical",2,0.965498030185699,0.01,"cone",256,0.968253970146179
"optical",8,0.964385092258453,1,"rect",1024,0.967724871635437
"optical",8,0.954368233680725,0.01,"cone",256,0.967460322380066
"optical",3,0.952698886394501,0.01,"rect",256,0.965608477592468
"optical",2,0.957150757312775,0.1,"rect",256,0.965608477592468
"optical",2,0.950472950935364,0.01,"cone",1024,0.965343928337097
