"dataset","learningrate","nhidden","layerForm","nlayers","valAccuracy","testAccuracy"
"molec-biol-promoter",0.1,1024,"rect",8,1,0.769230782985687
"molec-biol-promoter",0.1,256,"rect",8,1,0.884615421295166
"molec-biol-promoter",0.1,1024,"rect",4,1,0.769230782985687
"molec-biol-promoter",0.1,512,"cone",4,1,0.730769276618958
"molec-biol-promoter",0.1,512,"rect",4,1,0.923076987266541
"molec-biol-promoter",1,512,"rect",4,1,0.769230842590332
"molec-biol-promoter",0.01,1024,"rect",3,1,0.807692348957062
"molec-biol-promoter",0.1,1024,"cone",3,1,0.807692408561707
"molec-biol-promoter",0.1,256,"rect",3,1,0.807692348957062
"molec-biol-promoter",0.01,512,"rect",2,1,0.769230842590332
"molec-biol-promoter",0.1,512,"cone",2,1,0.884615421295166
"molec-biol-promoter",0.1,512,"cone",8,0.988888895511627,0.769230782985687
"molec-biol-promoter",1,256,"rect",3,0.988888889551163,0.846153914928436
"molec-biol-promoter",0.1,1024,"cone",2,0.988888889551163,0.769230782985687
"molec-biol-promoter",1,256,"rect",4,0.977777779102325,0.769230842590332
"molec-biol-promoter",1,512,"cone",3,0.95555557012558,0.846153914928436
"molec-biol-promoter",0.1,512,"rect",8,0.955555558204651,0.730769276618958
"molec-biol-promoter",1,512,"rect",2,0.944444471597671,0.884615421295166
"molec-biol-promoter",1,256,"rect",2,0.944444447755813,0.846153855323792
"molec-biol-promoter",0.01,512,"rect",8,0.92222226858139,0.692307710647583
"molec-biol-promoter",1,1024,"cone",3,0.922222226858139,0.846153855323792
"molec-biol-promoter",1,256,"rect",8,0.900000035762787,0.692307710647583
"molec-biol-promoter",0.1,1024,"rect",3,0.900000005960464,0.884615421295166
"molec-biol-promoter",0.1,512,"rect",2,0.900000005960464,0.769230842590332
"molec-biol-promoter",1,1024,"rect",3,0.888888943195343,0.846153855323792
"molec-biol-promoter",1,1024,"rect",4,0.888888919353485,0.923076987266541
"molec-biol-promoter",0.01,512,"rect",4,0.888888895511627,0.653846204280853
"molec-biol-promoter",0.01,256,"rect",3,0.888888895511627,0.807692348957062
"molec-biol-promoter",0.01,1024,"cone",2,0.888888895511627,0.730769276618958
"molec-biol-promoter",1,1024,"cone",2,0.888888895511627,0.769230842590332
"molec-biol-promoter",0.1,1024,"rect",2,0.877777808904648,0.846153914928436
"molec-biol-promoter",1,256,"cone",2,0.87777778506279,0.923076927661896
"molec-biol-promoter",1,256,"cone",8,0.866666722297669,0.884615421295166
"molec-biol-promoter",1,512,"rect",3,0.866666686534881,0.769230842590332
"molec-biol-promoter",0.1,512,"rect",3,0.855555605888367,0.884615421295166
"molec-biol-promoter",0.01,1024,"cone",4,0.855555564165115,0.730769276618958
"molec-biol-promoter",1,512,"rect",8,0.855555561184883,0.5
"molec-biol-promoter",0.1,256,"cone",8,0.844444453716278,0.769230842590332
"molec-biol-promoter",1,256,"cone",4,0.844444453716278,0.653846204280853
"molec-biol-promoter",1,256,"cone",3,0.844444453716278,0.923076987266541
"molec-biol-promoter",1,1024,"rect",2,0.833333343267441,0.730769276618958
"molec-biol-promoter",1,1024,"rect",8,0.822222232818603,0.653846144676208
"molec-biol-promoter",1,512,"cone",2,0.788888907432556,0.769230782985687
"molec-biol-promoter",0.01,256,"rect",8,0.788888901472092,0.615384638309479
"molec-biol-promoter",0.01,512,"cone",8,0.777777791023254,0.653846204280853
"molec-biol-promoter",0.1,1024,"cone",4,0.777777791023254,0.846153855323792
"molec-biol-promoter",1,1024,"cone",4,0.777777791023254,0.807692408561707
"molec-biol-promoter",0.01,512,"cone",3,0.777777791023254,0.807692348957062
"molec-biol-promoter",0.1,512,"cone",3,0.777777791023254,0.692307710647583
"molec-biol-promoter",0.1,256,"cone",3,0.777777791023254,0.653846204280853
"molec-biol-promoter",0.01,1024,"rect",2,0.777777791023254,0.730769276618958
"molec-biol-promoter",0.01,256,"rect",4,0.75555557012558,0.576923131942749
"molec-biol-promoter",0.1,256,"rect",4,0.75555557012558,0.730769276618958
"molec-biol-promoter",0.01,1024,"cone",3,0.733333349227905,0.769230842590332
"molec-biol-promoter",1,512,"cone",16,0.733333343267441,0.5
"molec-biol-promoter",0.01,1024,"rect",16,0.722222238779068,0.5
"molec-biol-promoter",0.1,256,"rect",2,0.722222238779068,0.884615421295166
"molec-biol-promoter",0.01,256,"rect",16,0.688888907432556,0.615384638309479
"molec-biol-promoter",0.01,1024,"rect",8,0.688888907432556,0.653846204280853
"molec-biol-promoter",1,512,"cone",4,0.688888907432556,0.769230842590332
"molec-biol-promoter",0.1,1024,"rect",16,0.688888904452324,0.730769276618958
"molec-biol-promoter",0.01,512,"rect",16,0.666666686534881,0.615384697914124
"molec-biol-promoter",0.01,512,"cone",4,0.666666686534881,0.384615421295166
"molec-biol-promoter",0.01,256,"cone",2,0.666666686534881,0.615384697914124
"molec-biol-promoter",0.01,256,"rect",2,0.666666686534881,0.5
"molec-biol-promoter",0.1,256,"cone",2,0.666666686534881,0.769230842590332
"molec-biol-promoter",0.1,256,"rect",16,0.655555576086044,0.538461565971375
"molec-biol-promoter",1,512,"cone",8,0.600000023841858,0.538461565971375
"molec-biol-promoter",0.1,1024,"cone",8,0.577777802944183,0.615384638309479
"molec-biol-promoter",0.1,512,"rect",16,0.566666683554649,0.5
"molec-biol-promoter",0.1,256,"rect",32,0.566666680574417,0.5
"molec-biol-promoter",0.01,1024,"rect",32,0.555555582046509,0.5
"molec-biol-promoter",0.01,512,"rect",32,0.555555582046509,0.5
"molec-biol-promoter",1,1024,"cone",32,0.555555582046509,0.5
"molec-biol-promoter",0.1,512,"cone",16,0.555555582046509,0.5
"molec-biol-promoter",1,256,"cone",16,0.555555582046509,0.5
"molec-biol-promoter",1,1024,"cone",8,0.555555582046509,0.5
"molec-biol-promoter",0.01,1024,"rect",4,0.555555582046509,0.576923131942749
"molec-biol-promoter",0.01,256,"cone",4,0.555555582046509,0.5
"molec-biol-promoter",0.01,512,"rect",3,0.555555582046509,0.653846204280853
"molec-biol-promoter",0.01,256,"cone",3,0.555555582046509,0.615384697914124
"molec-biol-promoter",0.01,256,"rect",32,0.555555576086044,0.5
"molec-biol-promoter",0.1,256,"cone",16,0.544444459676743,0.538461565971375
"molec-biol-promoter",1,256,"rect",16,0.5222222417593,0.5
"molec-biol-promoter",1,512,"cone",32,0.5222222417593,0.5
"molec-biol-promoter",0.1,1024,"cone",32,0.511111128330231,0.5
"molec-biol-promoter",0.1,512,"rect",32,0.511111128330231,0.5
"molec-biol-promoter",0.1,1024,"rect",32,0.511111128330231,0.5
