"dataset","nhidden","nlayers","testAccuracy","learningrate","valAccuracy","layerForm"
"audiology-std",1024,16,0,0.1,0.147619050741196,"rect"
"audiology-std",1024,32,0,0.1,0.147619050368667,"rect"
"audiology-std",256,16,0.239999994635582,1,0.133333340659738,"cone"
"audiology-std",1024,32,0,1,0.100000001862645,"rect"
"audiology-std",256,32,0.439999997615814,0.01,0.095238097012043,"rect"
"audiology-std",256,32,0.159999996423721,0.1,0.0857142873108387,"rect"
"audiology-std",512,16,0,0.1,0.0761904776096344,"rect"
"audiology-std",1024,32,0,0.01,0.0666666679084301,"rect"
"audiology-std",512,32,0.159999996423721,0.1,0.0666666679084301,"rect"
"audiology-std",1024,32,0,0.1,0.0571428582072258,"cone"
"audiology-std",256,32,0,0.01,0.0476190485060215,"cone"
"audiology-std",1024,16,0.159999996423721,0.1,0.0285714291036129,"cone"
"audiology-std",512,32,0,0.01,0.0142857145518065,"rect"
"audiology-std",1024,32,0.159999996423721,0.01,0,"cone"
"audiology-std",512,32,0,0.1,0,"cone"
"audiology-std",256,32,0,0.1,0,"cone"
"audiology-std",512,16,0,1,0,"cone"
