"dataset","layerForm","testAccuracy","nlayers","learningrate","valAccuracy","nhidden"
"twonorm","rect",0.975675642490387,3,0.1,0.978584092855454,512
"twonorm","rect",0.976216197013855,8,1,0.977699065208435,512
"twonorm","rect",0.9718918800354,8,0.1,0.977522140741348,512
"twonorm","rect",0.972973048686981,3,1,0.977345138788223,1024
"twonorm","rect",0.972973048686981,2,0.1,0.976991164684296,256
"twonorm","rect",0.9718918800354,4,0.01,0.976460152864456,256
"twonorm","cone",0.9762162566185,3,1,0.975752222537994,1024
"twonorm","rect",0.975675702095032,4,0.1,0.975575208663941,1024
"twonorm","rect",0.975135207176208,2,0.1,0.975575202703476,512
"twonorm","cone",0.97351348400116,4,1,0.975398254394531,512
"twonorm","rect",0.976756811141968,3,1,0.974867230653763,512
"twonorm","cone",0.972973048686981,4,0.1,0.973982292413712,512
"twonorm","cone",0.970810890197754,2,0.1,0.973982286453247,256
"twonorm","rect",0.97459465265274,16,1,0.97398225069046,256
"twonorm","cone",0.969729781150818,2,1,0.973805302381516,256
"twonorm","rect",0.972972989082336,3,0.1,0.973628306388855,1024
"twonorm","rect",0.970810890197754,32,0.01,0.973451316356659,512
"twonorm","cone",0.968108177185059,3,0.01,0.973274350166321,256
"twonorm","rect",0.975135147571564,4,1,0.97327430844307,512
"twonorm","rect",0.97459465265274,16,1,0.973097383975983,1024
"twonorm","rect",0.971351385116577,4,1,0.97309730052948,256
"twonorm","rect",0.975135207176208,8,1,0.972920376062393,1024
"twonorm","rect",0.973513603210449,32,0.01,0.972920352220535,256
"twonorm","cone",0.965405464172363,4,1,0.972566378116608,256
"twonorm","cone",0.969729721546173,4,0.01,0.972566366195679,512
"twonorm","rect",0.974054038524628,32,0.1,0.972212398052216,512
"twonorm","cone",0.97351348400116,2,0.1,0.972212386131287,512
"twonorm","cone",0.967567682266235,8,0.1,0.972212374210358,256
"twonorm","cone",0.971351385116577,16,0.1,0.972035419940949,1024
"twonorm","cone",0.975135207176208,3,1,0.971681386232376,512
"twonorm","rect",0.974054098129272,3,1,0.971681374311447,256
"twonorm","rect",0.969729781150818,16,0.1,0.971504426002503,512
"twonorm","rect",0.975135087966919,16,0.1,0.971504426002503,1024
"twonorm","rect",0.975675642490387,16,0.1,0.971327435970306,256
"twonorm","cone",0.972432494163513,8,1,0.971327424049378,512
"twonorm","cone",0.969729781150818,4,1,0.971150451898575,1024
"twonorm","rect",0.976756811141968,2,0.01,0.970973455905914,512
"twonorm","cone",0.96918922662735,32,0.1,0.970973438024521,512
"twonorm","cone",0.96486496925354,3,0.1,0.970973438024521,256
"twonorm","rect",0.974054098129272,2,0.01,0.970796453952789,1024
"twonorm","cone",0.975135207176208,4,0.1,0.970796424150467,1024
"twonorm","rect",0.975675642490387,4,1,0.970619463920593,1024
"twonorm","cone",0.972972989082336,16,0.1,0.970442432165146,512
"twonorm","rect",0.970810890197754,2,1,0.970265489816666,512
"twonorm","rect",0.964864909648895,8,0.1,0.970265471935272,256
"twonorm","cone",0.972972989082336,2,0.01,0.97008849978447,1024
"twonorm","cone",0.971351444721222,16,1,0.970088475942612,1024
"twonorm","cone",0.967567563056946,2,1,0.969911503791809,1024
"twonorm","rect",0.973513543605804,3,0.01,0.969911473989487,1024
"twonorm","cone",0.972972989082336,3,1,0.969557499885559,256
"twonorm","cone",0.964324355125427,8,0.1,0.969557493925095,1024
"twonorm","cone",0.962162256240845,8,0.01,0.969380486011505,256
"twonorm","cone",0.968648672103882,2,0.01,0.969203495979309,256
"twonorm","cone",0.972973048686981,2,0.01,0.9690265417099,512
"twonorm","cone",0.972972989082336,2,1,0.969026535749435,512
"twonorm","rect",0.973513543605804,2,1,0.968849563598633,256
"twonorm","rect",0.975135207176208,2,0.1,0.96884953379631,1024
"twonorm","rect",0.968648672103882,2,0.01,0.96849559545517,256
"twonorm","cone",0.969729781150818,8,1,0.968495565652847,256
"twonorm","rect",0.978918969631195,8,0.1,0.968318593502045,1024
"twonorm","cone",0.975135207176208,8,0.1,0.968141555786133,512
"twonorm","cone",0.964864909648895,2,0.1,0.967787623405457,1024
"twonorm","cone",0.967027068138123,16,0.01,0.967787623405457,256
"twonorm","rect",0.95945942401886,4,0.1,0.96778758764267,256
"twonorm","rect",0.972432494163513,16,1,0.96725664138794,512
"twonorm","rect",0.968108177185059,32,0.1,0.967079663276672,1024
"twonorm","rect",0.96486496925354,32,0.1,0.966725635528564,256
"twonorm","cone",0.972432494163513,8,1,0.966371661424637,1024
"twonorm","cone",0.963783800601959,3,0.01,0.966194695234299,512
"twonorm","rect",0.960000038146973,3,0.01,0.96566373705864,512
"twonorm","rect",0.963783740997314,8,1,0.965663689374924,256
"twonorm","rect",0.970270335674286,3,0.01,0.964955741167068,256
"twonorm","rect",0.960000038146973,4,0.01,0.964778757095337,512
"twonorm","cone",0.9718918800354,16,1,0.964778751134872,512
"twonorm","cone",0.96486496925354,16,0.1,0.96424777507782,256
"twonorm","cone",0.956216216087341,16,0.01,0.963893800973892,512
"twonorm","cone",0.963243246078491,8,0.01,0.963008844852448,512
"twonorm","cone",0.966486513614655,16,0.01,0.962654858827591,1024
"twonorm","rect",0.96486496925354,2,1,0.962123900651932,1024
"twonorm","rect",0.965405404567719,4,0.1,0.961238950490952,512
"twonorm","rect",0.944864869117737,16,0.01,0.960353988409043,512
"twonorm","rect",0.955675721168518,3,0.1,0.960353982448578,256
"twonorm","rect",0.960540533065796,16,0.01,0.960177004337311,1024
"twonorm","cone",0.962162137031555,4,0.01,0.959469026327133,256
"twonorm","cone",0.965946018695831,3,0.1,0.959292018413544,512
"twonorm","cone",0.967567563056946,3,0.01,0.956991142034531,1024
"twonorm","cone",0.956216275691986,3,0.1,0.9564601957798,1024
"twonorm","cone",0.966486513614655,32,0.01,0.952920335531235,512
"twonorm","cone",0.959459483623505,4,0.01,0.952566355466843,1024
"twonorm","rect",0.918918967247009,4,0.01,0.94672566652298,1024
"twonorm","cone",0.936756730079651,4,0.1,0.940884929895401,256
"twonorm","cone",0.905405402183533,8,0.01,0.923893821239472,1024
"twonorm","rect",0.911351442337036,8,0.01,0.920176982879639,256
"twonorm","cone",0.91729736328125,32,1,0.862831854820251,1024
"twonorm","cone",0.842702746391296,32,0.01,0.845309722423554,1024
"twonorm","rect",0.683783829212189,32,0.01,0.692212384939194,1024
"twonorm","cone",0.723243236541748,32,0.1,0.645309734344482,1024
"twonorm","cone",0.610270261764526,32,0.1,0.600353980064392,256
"twonorm","rect",0.60216224193573,8,0.01,0.588672560453415,512
"twonorm","rect",0.500540554523468,16,0.01,0.545132744312286,256
"twonorm","rect",0.500540614128113,8,0.01,0.501769906282425,1024
"twonorm","cone",0.500540554523468,32,1,0.500884974002838,256
"twonorm","rect",0.500540554523468,32,1,0.500884974002838,256
"twonorm","cone",0.500540614128113,16,1,0.500884956121445,256
