"dataset","nhidden","testAccuracy","learningrate","layerForm","nlayers","valAccuracy"
"breast-cancer-wisc",256,0.982857167720795,0.1,"rect",4,0.951612889766693
"breast-cancer-wisc",256,0.954285681247711,1,"cone",8,0.951612830162048
"breast-cancer-wisc",1024,0.977142870426178,0.01,"cone",2,0.951612830162048
"breast-cancer-wisc",512,0.971428573131561,0.1,"rect",2,0.946774125099182
"breast-cancer-wisc",1024,0.965714275836945,1,"cone",8,0.943548321723938
"breast-cancer-wisc",512,0.971428573131561,1,"cone",2,0.93709671497345
"breast-cancer-wisc",1024,0.971428573131561,0.01,"cone",4,0.935483813285828
"breast-cancer-wisc",1024,0.971428573131561,0.01,"rect",4,0.935483813285828
"breast-cancer-wisc",1024,0.977142870426178,0.1,"rect",4,0.935483813285828
"breast-cancer-wisc",512,0.977142870426178,0.1,"rect",4,0.935483813285828
"breast-cancer-wisc",1024,0.971428573131561,1,"cone",4,0.935483813285828
"breast-cancer-wisc",1024,0.977142870426178,1,"rect",4,0.935483813285828
"breast-cancer-wisc",512,0.977142870426178,1,"cone",4,0.935483813285828
"breast-cancer-wisc",256,0.977142870426178,1,"cone",4,0.935483813285828
"breast-cancer-wisc",256,0.977142870426178,1,"rect",4,0.935483813285828
"breast-cancer-wisc",1024,0.971428573131561,0.01,"cone",3,0.935483813285828
"breast-cancer-wisc",256,0.965714275836945,0.01,"cone",3,0.935483813285828
"breast-cancer-wisc",512,0.977142870426178,0.1,"rect",3,0.935483813285828
"breast-cancer-wisc",256,0.965714335441589,0.1,"rect",3,0.935483813285828
"breast-cancer-wisc",1024,0.971428573131561,1,"cone",3,0.935483813285828
"breast-cancer-wisc",512,0.971428573131561,1,"cone",3,0.935483813285828
"breast-cancer-wisc",512,0.977142870426178,1,"rect",3,0.935483813285828
"breast-cancer-wisc",256,0.977142870426178,1,"rect",3,0.935483813285828
"breast-cancer-wisc",1024,0.977142870426178,0.01,"rect",2,0.935483813285828
"breast-cancer-wisc",512,0.971428573131561,0.01,"rect",2,0.935483813285828
"breast-cancer-wisc",1024,0.977142870426178,0.1,"cone",2,0.935483813285828
"breast-cancer-wisc",1024,0.965714275836945,0.1,"rect",2,0.935483813285828
"breast-cancer-wisc",512,0.977142870426178,0.1,"cone",2,0.935483813285828
"breast-cancer-wisc",256,0.971428573131561,0.1,"cone",2,0.935483813285828
"breast-cancer-wisc",1024,0.971428573131561,1,"cone",2,0.935483813285828
"breast-cancer-wisc",1024,0.977142870426178,1,"rect",2,0.935483813285828
"breast-cancer-wisc",256,0.977142870426178,1,"cone",2,0.935483813285828
"breast-cancer-wisc",256,0.971428573131561,1,"rect",2,0.935483813285828
"breast-cancer-wisc",256,0.977142870426178,1,"cone",3,0.933870911598206
