"dataset","nlayers","layerForm","nhidden","testAccuracy","valAccuracy","learningrate"
"statlog-heart",3,"rect",1024,0.835820913314819,0.780000007152558,0.01
"statlog-heart",4,"rect",512,0.835820913314819,0.780000007152557,0.1
"statlog-heart",8,"cone",512,0.850746273994446,0.775000011920929,1
"statlog-heart",3,"cone",1024,0.850746273994446,0.775000005960464,1
"statlog-heart",2,"cone",256,0.835820913314819,0.775000005960464,1
"statlog-heart",2,"cone",512,0.850746273994446,0.774999988079071,0.1
"statlog-heart",3,"cone",256,0.79104471206665,0.770000016689301,1
"statlog-heart",2,"rect",512,0.880596995353699,0.770000004768372,0.1
"statlog-heart",2,"cone",256,0.805970132350922,0.770000004768372,0.1
"statlog-heart",2,"cone",1024,0.820895552635193,0.770000004768371,1
"statlog-heart",2,"rect",512,0.835820913314819,0.76000000834465,1
"statlog-heart",4,"cone",512,0.68656712770462,0.760000002384186,0.01
"statlog-heart",16,"cone",512,0.776119351387024,0.755000013113022,1
"statlog-heart",4,"rect",1024,0.820895552635193,0.755000007152557,0.01
"statlog-heart",16,"rect",512,0.850746273994446,0.755000001192093,0.1
"statlog-heart",4,"rect",512,0.835820913314819,0.755000001192093,0.01
"statlog-heart",4,"cone",1024,0.820895433425903,0.750000017881393,1
"statlog-heart",4,"cone",512,0.716417849063873,0.750000011920929,1
"statlog-heart",3,"rect",512,0.820895552635193,0.750000011920929,1
"statlog-heart",4,"rect",256,0.671641767024994,0.75,0.1
"statlog-heart",3,"rect",512,0.850746273994446,0.75,0.1
"statlog-heart",2,"rect",1024,0.835820913314819,0.75,0.1
"statlog-heart",3,"cone",512,0.716417908668518,0.745000022649765,0.1
"statlog-heart",3,"rect",1024,0.835820913314819,0.745000004768372,1
"statlog-heart",8,"rect",1024,0.850746273994446,0.740000021457672,0.1
"statlog-heart",4,"cone",256,0.835820853710175,0.740000015497208,1
"statlog-heart",3,"cone",512,0.880596995353699,0.735000002384186,1
"statlog-heart",2,"rect",256,0.791044771671295,0.734999996423721,0.1
"statlog-heart",4,"cone",1024,0.746268630027771,0.715000033378601,0.1
"statlog-heart",4,"cone",256,0.567164182662964,0.700000047683716,0.1
"statlog-heart",3,"cone",256,0.79104471206665,0.700000047683716,0.01
"statlog-heart",8,"rect",512,0.880596995353699,0.700000035762787,1
"statlog-heart",2,"cone",512,0.746268630027771,0.694999986886978,0.01
"statlog-heart",8,"rect",512,0.865671634674072,0.690000039339066,0.1
"statlog-heart",3,"cone",256,0.611940264701843,0.680000025033951,0.1
"statlog-heart",8,"cone",256,0.776119351387024,0.670000034570694,0.01
"statlog-heart",16,"rect",512,0.552238821983337,0.655000025033951,1
"statlog-heart",8,"cone",1024,0.671641767024994,0.645000034570694,0.01
"statlog-heart",8,"rect",1024,0.626865684986115,0.640000021457672,1
"statlog-heart",16,"cone",256,0.671641767024994,0.610000032186508,1
"statlog-heart",8,"rect",256,0.552238821983337,0.610000026226044,0.01
"statlog-heart",8,"rect",512,0.552238821983337,0.605000025033951,0.01
"statlog-heart",32,"cone",512,0.552238821983337,0.600000023841858,0.01
"statlog-heart",32,"rect",512,0.552238821983337,0.600000023841858,0.01
"statlog-heart",32,"cone",256,0.552238821983337,0.600000023841858,0.01
"statlog-heart",32,"rect",256,0.552238821983337,0.600000023841858,0.01
"statlog-heart",32,"cone",1024,0.552238821983337,0.600000023841858,0.1
"statlog-heart",32,"cone",512,0.552238821983337,0.600000023841858,0.1
"statlog-heart",32,"rect",1024,0.552238821983337,0.600000023841858,1
"statlog-heart",32,"cone",512,0.552238821983337,0.600000023841858,1
"statlog-heart",16,"cone",1024,0.552238821983337,0.600000023841858,0.01
"statlog-heart",16,"rect",1024,0.552238821983337,0.600000023841858,0.01
"statlog-heart",16,"cone",512,0.552238821983337,0.600000023841858,0.01
"statlog-heart",16,"rect",512,0.552238821983337,0.600000023841858,0.01
"statlog-heart",16,"cone",256,0.552238821983337,0.600000023841858,0.01
"statlog-heart",16,"rect",256,0.552238821983337,0.600000023841858,0.01
"statlog-heart",16,"cone",512,0.552238821983337,0.600000023841858,0.1
"statlog-heart",16,"cone",256,0.552238821983337,0.600000023841858,0.1
"statlog-heart",16,"cone",1024,0.552238821983337,0.600000023841858,1
"statlog-heart",16,"rect",256,0.552238821983337,0.600000023841858,1
"statlog-heart",8,"rect",1024,0.552238821983337,0.600000023841858,0.01
"statlog-heart",8,"cone",512,0.552238821983337,0.600000023841858,0.01
"statlog-heart",4,"cone",256,0.552238821983337,0.600000023841858,0.01
"statlog-heart",32,"cone",1024,0.552238821983337,0.590000021457672,0.01
"statlog-heart",16,"cone",1024,0.656716346740723,0.570000004768372,0.1
"statlog-heart",32,"rect",1024,0.552238821983337,0.560000020265579,0.1
"statlog-heart",32,"cone",1024,0.552238821983337,0.560000020265579,1
"statlog-heart",8,"cone",256,0.552238821983337,0.560000017285347,0.1
"statlog-heart",32,"rect",256,0.552238821983337,0.520000016689301,1
"statlog-heart",16,"rect",1024,0.447761207818985,0.500000011920929,0.1
"statlog-heart",32,"rect",512,0.552238821983337,0.460000011324883,0.1
"statlog-heart",32,"rect",256,0.447761207818985,0.460000011324883,0.1
"statlog-heart",32,"rect",1024,0.447761207818985,0.440000009536743,0.01
"statlog-heart",32,"cone",256,0.447761207818985,0.430000007152557,0.1
"statlog-heart",8,"cone",1024,0.447761207818985,0.430000007152557,0.1
"statlog-heart",32,"rect",512,0.447761207818985,0.420000007748604,1
"statlog-heart",32,"cone",256,0.447761207818985,0.400000005960465,1
