"dataset","valAccuracy","nhidden","nlayers","learningrate","testAccuracy","layerForm"
"breast-tissue",0.322222229838371,256,16,1,0.269230782985687,"cone"
"breast-tissue",0.311111120134592,256,8,1,0.15384615957737,"cone"
"breast-tissue",0.300000008940697,1024,16,0.1,0.269230782985687,"rect"
"breast-tissue",0.300000007450581,512,8,0.01,0.192307710647583,"cone"
"breast-tissue",0.300000007450581,256,8,1,0.15384615957737,"rect"
"breast-tissue",0.288888897001743,256,16,1,0.269230782985687,"rect"
"breast-tissue",0.277777783572674,512,16,0.01,0.307692319154739,"cone"
"breast-tissue",0.266666673868895,256,32,1,0.269230782985687,"cone"
"breast-tissue",0.23333333954215,1024,16,1,0.269230782985687,"rect"
"breast-tissue",0.222222227603197,512,16,0.1,0.192307710647583,"rect"
"breast-tissue",0.211111116409302,1024,32,0.01,0.115384623408318,"cone"
"breast-tissue",0.188888894021511,512,16,1,0.115384623408318,"rect"
"breast-tissue",0.155555558204651,512,32,0.1,0.15384615957737,"rect"
"breast-tissue",0.133333334326744,1024,16,0.01,0.15384615957737,"cone"
"breast-tissue",0.111111111938953,512,32,0.01,0.15384615957737,"cone"
"breast-tissue",0.111111111938953,512,32,0.01,0.115384623408318,"rect"
"breast-tissue",0.111111111938953,512,32,1,0.15384615957737,"rect"
"breast-tissue",0.100000001490116,256,32,1,0.115384623408318,"rect"
"breast-tissue",0.100000000745058,1024,32,1,0.15384615957737,"rect"
"breast-tissue",0.066666667163372,1024,32,1,0.115384623408318,"cone"
"breast-tissue",0.0333333343267441,512,32,0.1,0.269230782985687,"cone"
"breast-tissue",0.033333333581686,1024,16,0.1,0.15384615957737,"cone"
