"dataset","nhidden","learningrate","testAccuracy","valAccuracy","layerForm","nlayers"
"breast-cancer-wisc-prog",1024,0.1,0.775510191917419,0.769230842590332,"cone",3
"breast-cancer-wisc-prog",1024,0.1,0.775510191917419,0.769230842590332,"rect",3
"breast-cancer-wisc-prog",512,0.1,0.775510191917419,0.769230842590332,"cone",3
"breast-cancer-wisc-prog",512,0.1,0.775510191917419,0.769230842590332,"rect",3
"breast-cancer-wisc-prog",256,0.1,0.775510191917419,0.769230842590332,"cone",3
"breast-cancer-wisc-prog",256,0.1,0.775510191917419,0.769230842590332,"rect",3
"breast-cancer-wisc-prog",1024,0.01,0.775510191917419,0.769230842590332,"cone",2
"breast-cancer-wisc-prog",1024,0.01,0.795918345451355,0.769230842590332,"rect",2
"breast-cancer-wisc-prog",512,0.01,0.775510191917419,0.769230842590332,"cone",2
"breast-cancer-wisc-prog",512,0.01,0.877550959587097,0.769230842590332,"rect",2
"breast-cancer-wisc-prog",256,0.01,0.816326498985291,0.769230842590332,"cone",2
"breast-cancer-wisc-prog",1024,0.1,0.775510191917419,0.769230842590332,"cone",2
"breast-cancer-wisc-prog",1024,0.1,0.775510191917419,0.769230842590332,"rect",2
"breast-cancer-wisc-prog",512,0.1,0.775510191917419,0.769230842590332,"cone",2
"breast-cancer-wisc-prog",512,0.1,0.775510191917419,0.769230842590332,"rect",2
"breast-cancer-wisc-prog",256,0.1,0.816326498985291,0.769230842590332,"cone",2
"breast-cancer-wisc-prog",256,0.1,0.775510191917419,0.769230842590332,"rect",2
"breast-cancer-wisc-prog",256,1,0.775510191917419,0.769230842590332,"cone",2
"breast-cancer-wisc-prog",512,1,0.795918345451355,0.761538529396057,"cone",4
"breast-cancer-wisc-prog",256,1,0.816326498985291,0.761538529396057,"cone",3
"breast-cancer-wisc-prog",256,1,0.775510191917419,0.761538517475128,"rect",4
"breast-cancer-wisc-prog",1024,1,0.816326498985291,0.753846228122711,"cone",4
