"dataset","nlayers","layerForm","testAccuracy","nhidden","learningrate","valAccuracy"
"semeion",4,"rect",0.86432158946991,512,0.01,0.858333349227905
"semeion",3,"cone",0.90452253818512,512,0.01,0.858333349227905
"semeion",2,"cone",0.869346678256989,512,0.01,0.847500085830688
"semeion",4,"rect",0.849246144294739,1024,1,0.846666753292084
"semeion",3,"rect",0.859296441078186,256,0.01,0.845833396911621
"semeion",4,"cone",0.861809015274048,512,0.1,0.84250009059906
"semeion",3,"rect",0.87185925245285,512,0.1,0.841666758060455
"semeion",2,"rect",0.864321649074554,256,0.01,0.841666698455811
"semeion",2,"cone",0.859296441078186,256,0.01,0.840833425521851
"semeion",3,"rect",0.866834163665771,512,0.01,0.835833430290222
"semeion",16,"cone",0.874371886253357,512,0.1,0.835000097751617
"semeion",16,"cone",0.841708540916443,256,1,0.835000026226044
"semeion",8,"rect",0.839195966720581,256,1,0.833333373069763
"semeion",4,"rect",0.874371767044067,1024,0.01,0.833333373069763
"semeion",16,"cone",0.834170818328857,1024,1,0.830000048875809
"semeion",4,"cone",0.839195907115936,1024,0.01,0.825833374261856
"semeion",3,"cone",0.869346678256989,256,0.1,0.825000083446503
"semeion",3,"rect",0.826633155345917,1024,1,0.803333365917206
"semeion",3,"cone",0.814070284366608,256,0.01,0.801666736602783
"semeion",4,"cone",0.891959726810455,256,0.1,0.800000071525574
"semeion",8,"rect",0.761306524276733,512,0.1,0.771666729450226
"semeion",8,"cone",0.846733629703522,512,0.1,0.766666746139526
"semeion",4,"rect",0.844221115112305,256,0.01,0.765000104904175
"semeion",8,"rect",0.741205990314484,256,0.1,0.760833323001862
"semeion",16,"cone",0.761306524276733,512,1,0.743333375453949
"semeion",16,"rect",0.824120581150055,1024,0.1,0.738333386182785
"semeion",8,"cone",0.75628137588501,1024,0.1,0.736666738986969
"semeion",4,"cone",0.768844246864319,256,0.01,0.736666709184646
"semeion",8,"cone",0.829145669937134,256,0.1,0.736666697263717
"semeion",4,"cone",0.781406998634338,512,0.01,0.715000033378601
"semeion",8,"rect",0.575376808643341,1024,1,0.616666674613953
"semeion",8,"rect",0.522613048553467,1024,0.1,0.440000039339066
"semeion",8,"cone",0.424623072147369,256,0.01,0.375833362340927
"semeion",8,"rect",0.339195936918259,1024,0.01,0.322500023245811
"semeion",8,"cone",0.417085379362106,256,1,0.320833364129066
"semeion",8,"cone",0.356783896684647,1024,0.01,0.310833340883255
"semeion",8,"rect",0.324120581150055,512,0.01,0.278333352506161
"semeion",16,"rect",0.298994958400726,512,1,0.270000022649765
"semeion",16,"rect",0.301507532596588,256,0.1,0.264166694879532
"semeion",8,"rect",0.319095462560654,512,1,0.259166690707207
"semeion",32,"rect",0.241206005215645,256,0.01,0.20250001847744
"semeion",8,"cone",0.266331672668457,512,0.01,0.190000014007092
"semeion",16,"rect",0.208542704582214,1024,1,0.184166677296162
"semeion",8,"rect",0.248743698000908,256,0.01,0.181666676700115
"semeion",32,"rect",0.115577884018421,1024,0.01,0.166666684299707
"semeion",16,"cone",0.201005026698112,1024,0.1,0.164166676998138
"semeion",32,"cone",0.155778884887695,256,0.01,0.148333348333836
"semeion",32,"cone",0.097989946603775,512,0.1,0.133333340287209
"semeion",16,"rect",0.0979899391531944,256,0.01,0.132500015199184
"semeion",16,"rect",0.128140702843666,512,0.01,0.128333339095116
"semeion",32,"rect",0.0979899391531944,256,0.1,0.125000014901161
"semeion",16,"cone",0.0979899391531944,256,0.01,0.125000014901161
"semeion",32,"rect",0.158291444182396,512,0.01,0.124166680127382
"semeion",16,"cone",0.133165821433067,1024,0.01,0.118333339691162
"semeion",32,"rect",0.0979899391531944,256,1,0.116666676849127
"semeion",16,"cone",0.11055276542902,512,0.01,0.116666674613953
"semeion",32,"cone",0.100502513349056,1024,1,0.116666674613953
"semeion",32,"cone",0.097989946603775,512,0.01,0.116666673123837
"semeion",16,"rect",0.113065324723721,256,1,0.111666675657034
"semeion",32,"cone",0.113065324723721,256,1,0.110833340883255
"semeion",32,"cone",0.113065324723721,1024,0.1,0.110000009089708
"semeion",32,"rect",0.0979899391531944,512,1,0.108333334326744
"semeion",32,"rect",0.113065324723721,1024,0.1,0.107500008493662
"semeion",32,"rect",0.100502505898476,512,0.1,0.107500006258488
"semeion",16,"rect",0.097989946603775,1024,0.01,0.104166676849127
"semeion",32,"cone",0.0728643164038658,1024,0.01,0.0958333399146795
"semeion",16,"cone",0.170854270458221,256,0.1,0.0808333389461041
"semeion",32,"cone",0.100502505898476,512,1,0.068333338201046
"semeion",32,"rect",0.100502505898476,1024,1,0.0583333373069763
"semeion",32,"cone",0.097989946603775,256,0.1,0.0558333374559879
