"dataset","nlayers","layerForm","testAccuracy","nhidden","learningrate","valAccuracy"
"semeion",4,"cone",0.937185943126678,1024,1,0.951666676998138
"semeion",3,"cone",0.927135705947876,1024,1,0.941666662693024
"semeion",2,"cone",0.927135705947876,512,0.1,0.941666662693024
"semeion",2,"rect",0.919597983360291,512,1,0.941666662693024
"semeion",4,"cone",0.919597923755646,256,1,0.936666667461395
"semeion",8,"cone",0.907035112380981,1024,1,0.933333337306976
"semeion",4,"rect",0.939698457717896,1024,0.1,0.933333337306976
"semeion",2,"cone",0.929648220539093,1024,0.1,0.931666672229767
"semeion",4,"cone",0.914572775363922,512,1,0.929166674613953
"semeion",3,"cone",0.927135705947876,1024,0.1,0.925000011920929
"semeion",3,"rect",0.917085409164429,1024,0.1,0.916666686534882
"semeion",2,"cone",0.909547686576843,256,0.1,0.916666686534882
"semeion",2,"cone",0.927135705947876,1024,1,0.916666686534882
"semeion",3,"rect",0.929648220539093,1024,0.01,0.910833358764648
"semeion",3,"cone",0.907035231590271,512,1,0.908333361148834
"semeion",3,"cone",0.922110557556152,256,1,0.908333361148834
"semeion",2,"rect",0.917085409164429,256,0.1,0.908333361148834
"semeion",8,"cone",0.914572834968567,512,1,0.90583336353302
"semeion",3,"cone",0.894472301006317,512,0.1,0.904166698455811
"semeion",2,"rect",0.934673309326172,1024,1,0.903333365917206
"semeion",2,"rect",0.907035171985626,512,0.1,0.900000035762787
"semeion",2,"cone",0.922110497951508,256,1,0.900000035762787
"semeion",16,"rect",0.866834163665771,512,0.1,0.893333357572556
"semeion",2,"rect",0.914572834968567,1024,0.01,0.89166671037674
"semeion",2,"rect",0.937185943126678,256,1,0.89166671037674
"semeion",4,"cone",0.884422063827515,1024,0.1,0.889166712760925
"semeion",4,"rect",0.884422063827515,512,0.1,0.886666715145111
"semeion",3,"rect",0.909547686576843,256,1,0.886666655540466
"semeion",4,"rect",0.869346737861633,256,0.1,0.883333384990692
"semeion",4,"rect",0.874371826648712,512,1,0.883333384990692
"semeion",3,"rect",0.8919597864151,256,0.1,0.883333384990692
"semeion",2,"rect",0.899497509002686,1024,0.1,0.883333384990692
"semeion",2,"cone",0.879396975040436,1024,0.01,0.883333325386047
"semeion",4,"rect",0.907035171985626,256,1,0.878333330154419
"semeion",2,"rect",0.902010023593903,512,0.01,0.875000059604645
"semeion",3,"rect",0.891959846019745,512,1,0.875
"semeion",3,"cone",0.881909549236298,1024,0.01,0.862500071525574
"semeion",2,"cone",0.894472301006317,512,1,0.85833340883255
