"dataset","nhidden","testAccuracy","learningrate","layerForm","nlayers","valAccuracy"
"hayes-roth",256,0.5,1,"cone",16,0.341666677594185
"hayes-roth",512,0.75,0.1,"cone",3,0.341666677594185
"hayes-roth",1024,0.0357142873108387,1,"rect",16,0.333333343267441
"hayes-roth",1024,0.5,0.01,"cone",32,0.333333343267441
"hayes-roth",256,0.5,0.01,"cone",32,0.333333343267441
"hayes-roth",512,0.535714268684387,0.1,"cone",4,0.333333343267441
"hayes-roth",1024,0.428571462631226,0.01,"cone",16,0.325000008940697
"hayes-roth",256,0.464285731315613,0.01,"cone",16,0.325000008940697
"hayes-roth",1024,0.5,1,"cone",32,0.316666674613953
"hayes-roth",1024,0.464285731315613,0.01,"cone",8,0.316666674613953
"hayes-roth",256,0.321428596973419,0.01,"rect",16,0.308333341777325
"hayes-roth",512,0.464285731315613,1,"cone",32,0.300000005960464
"hayes-roth",512,0.5,0.01,"cone",16,0.300000005960464
"hayes-roth",256,0.5,1,"cone",32,0.29166667163372
"hayes-roth",512,0.464285731315613,0.1,"cone",32,0.283333337306976
"hayes-roth",1024,0.464285731315613,0.1,"cone",32,0.275000002980232
"hayes-roth",1024,0.464285731315613,1,"rect",32,0.266666668653488
"hayes-roth",512,0.464285731315613,0.01,"cone",32,0.25
"hayes-roth",512,0.464285731315613,1,"rect",32,0.25
