"dataset","layerForm","nlayers","testAccuracy","learningrate","valAccuracy","nhidden"
"energy-y2","rect",32,0.5,1,0.495714312791824,512
"energy-y2","cone",16,0.333333343267441,1,0.401428586244583,1024
"energy-y2","rect",16,0.255208343267441,1,0.348571443557739,512
"energy-y2","rect",32,0.229166686534882,0.01,0.348571439087391,512
"energy-y2","rect",32,0.255208343267441,0.1,0.347142869234085,1024
"energy-y2","rect",32,0.255208343267441,0.01,0.328571438789368,1024
"energy-y2","cone",32,0.255208343267441,0.01,0.327142867445946,1024
"energy-y2","cone",32,0.244791656732559,1,0.264285726845264,512
"energy-y2","rect",32,0.244791686534882,1,0.26000000834465,256
"energy-y2","rect",32,0.244791656732559,0.1,0.174285720288754,256
