"dataset","valAccuracy","testAccuracy","nlayers","learningrate","layerForm","nhidden"
"teaching",0.41875,0.526315808296204,2,0.1,"rect",256
"teaching",0.41875,0.447368443012238,3,0.01,"rect",1024
"teaching",0.4125,0.5,2,0.1,"cone",1024
"teaching",0.40625,0.368421077728271,4,1,"rect",256
"teaching",0.40625,0.368421047925949,3,1,"cone",1024
"teaching",0.40625,0.289473682641983,2,1,"rect",256
"teaching",0.4,0.342105269432068,4,1,"rect",512
"teaching",0.3875,0.447368413209915,3,0.1,"rect",256
"teaching",0.3875,0.526315808296204,2,0.01,"rect",512
"teaching",0.38125,0.578947365283966,4,1,"cone",1024
"teaching",0.38125,0.5,3,1,"cone",512
"teaching",0.375,0.368421077728271,16,0.1,"rect",256
"teaching",0.375,0.315789461135864,32,0.1,"cone",1024
"teaching",0.375,0.315789461135864,32,1,"rect",512
"teaching",0.375,0.315789461135864,32,1,"rect",256
"teaching",0.375,0.315789461135864,16,1,"cone",1024
"teaching",0.375,0.447368413209915,4,0.1,"cone",512
"teaching",0.375,0.315789490938187,2,1,"rect",512
"teaching",0.36875,0.315789461135864,8,1,"rect",512
"teaching",0.3625,0.394736856222153,8,1,"rect",1024
"teaching",0.3625,0.473684221506119,3,0.01,"rect",512
"teaching",0.3625,0.315789461135864,32,1,"cone",1024
"teaching",0.35625,0.315789461135864,16,0.1,"cone",256
"teaching",0.35625,0.39473682641983,8,0.01,"cone",512
"teaching",0.35625,0.315789461135864,16,0.1,"rect",512
"teaching",0.35625,0.315789461135864,16,1,"rect",1024
"teaching",0.35,0.368421077728271,16,0.1,"rect",1024
"teaching",0.35,0.289473682641983,8,0.01,"cone",1024
"teaching",0.35,0.552631616592407,3,0.01,"cone",1024
"teaching",0.35,0.394736856222153,2,0.01,"cone",1024
"teaching",0.34375,0.315789461135864,16,1,"rect",512
"teaching",0.34375,0.315789461135864,16,1,"rect",256
"teaching",0.3375,0.315789461135864,32,0.1,"rect",512
"teaching",0.3375,0.368421077728271,16,0.1,"cone",1024
"teaching",0.3375,0.368421077728271,8,0.01,"rect",512
"teaching",0.3375,0.368421077728271,8,1,"cone",1024
"teaching",0.3375,0.5,2,0.01,"rect",1024
"teaching",0.33125,0.315789461135864,32,0.01,"cone",512
"teaching",0.33125,0.39473682641983,3,0.1,"cone",1024
"teaching",0.325,0.368421077728271,32,0.1,"rect",1024
"teaching",0.325,0.315789461135864,32,0.1,"rect",256
"teaching",0.325,0.368421077728271,32,1,"cone",512
"teaching",0.325,0.368421077728271,8,1,"rect",256
"teaching",0.31875,0.368421047925949,4,0.01,"cone",512
"teaching",0.31875,0.368421077728271,16,0.01,"rect",1024
"teaching",0.31875,0.368421077728271,16,0.1,"cone",512
"teaching",0.31875,0.368421077728271,16,1,"cone",512
"teaching",0.31875,0.368421077728271,16,1,"cone",256
