"dataset","valAccuracy","layerForm","testAccuracy","nhidden","nlayers","learningrate"
"energy-y1",0.85952388048172,"cone",0.864583373069763,256,2,0.1
"energy-y1",0.857142925262451,"rect",0.828125059604645,512,4,0.01
"energy-y1",0.850000059604645,"cone",0.84375,1024,3,0.1
"energy-y1",0.847619104385376,"rect",0.817708373069763,256,2,0.01
"energy-y1",0.847619104385376,"rect",0.8125,512,3,0.01
"energy-y1",0.842857199907303,"rect",0.833333373069763,512,8,0.1
"energy-y1",0.842857193946838,"rect",0.848958373069763,512,3,0.1
"energy-y1",0.838095283508301,"rect",0.854166746139526,512,4,0.1
"energy-y1",0.835714328289032,"rect",0.84375,1024,2,0.01
"energy-y1",0.835714328289032,"rect",0.854166686534882,512,2,0.1
"energy-y1",0.833333373069763,"rect",0.838541686534882,1024,4,0.01
"energy-y1",0.833333373069763,"rect",0.843750059604645,256,4,0.1
"energy-y1",0.833333367109299,"rect",0.838541686534882,1024,4,0.1
"energy-y1",0.828571474552155,"rect",0.864583373069763,1024,3,0.1
"energy-y1",0.826190507411957,"rect",0.838541686534882,256,3,1
"energy-y1",0.823809552192688,"rect",0.848958373069763,256,3,0.01
"energy-y1",0.821428608894348,"cone",0.848958432674408,1024,2,0.1
"energy-y1",0.81904764175415,"cone",0.817708373069763,512,2,0.1
"energy-y1",0.816666692495346,"rect",0.817708373069763,256,4,1
"energy-y1",0.816666680574417,"cone",0.807291686534882,1024,3,1
"energy-y1",0.814285761117935,"cone",0.828125059604645,512,4,0.1
"energy-y1",0.814285749197006,"rect",0.848958373069763,256,2,0.1
"energy-y1",0.814285731315613,"rect",0.807291746139526,1024,3,0.01
"energy-y1",0.814285731315613,"rect",0.802083373069763,512,2,1
"energy-y1",0.814285731315613,"rect",0.807291746139526,512,3,1
"energy-y1",0.811904793977738,"rect",0.75,256,3,0.1
"energy-y1",0.811904776096344,"cone",0.8125,512,3,1
"energy-y1",0.809523838758469,"rect",0.817708373069763,1024,8,0.1
"energy-y1",0.809523832798004,"rect",0.84375,1024,2,0.1
"energy-y1",0.809523820877075,"cone",0.812500059604645,256,4,0.1
"energy-y1",0.809523820877075,"cone",0.817708373069763,1024,4,1
"energy-y1",0.809523820877075,"cone",0.817708373069763,1024,3,0.01
"energy-y1",0.809523820877075,"cone",0.817708373069763,512,3,0.01
"energy-y1",0.809523820877075,"cone",0.817708373069763,512,3,0.1
"energy-y1",0.809523820877075,"cone",0.817708373069763,1024,2,0.01
"energy-y1",0.809523820877075,"cone",0.817708373069763,512,2,0.01
"energy-y1",0.809523820877075,"cone",0.78125,256,2,0.01
"energy-y1",0.809523820877075,"cone",0.812500059604645,512,2,1
"energy-y1",0.807142889499664,"cone",0.8125,256,3,0.1
"energy-y1",0.807142871618271,"rect",0.812500059604645,256,8,0.01
"energy-y1",0.804761922359467,"cone",0.8125,256,3,1
"energy-y1",0.804761922359466,"cone",0.807291686534882,512,4,1
"energy-y1",0.802381008863449,"rect",0.8125,1024,4,1
"energy-y1",0.802380973100662,"rect",0.8125,256,8,0.1
"energy-y1",0.802380973100662,"cone",0.817708373069763,256,2,1
"energy-y1",0.797619074583054,"cone",0.786458373069763,512,8,0.1
"energy-y1",0.797619074583054,"cone",0.770833373069763,256,3,0.01
"energy-y1",0.795238125324249,"cone",0.791666746139526,1024,8,1
"energy-y1",0.795238125324249,"rect",0.786458373069763,512,8,1
"energy-y1",0.792857176065445,"rect",0.781250059604645,512,4,1
"energy-y1",0.792857176065445,"rect",0.822916686534882,1024,3,1
"energy-y1",0.790476232767105,"cone",0.817708432674408,1024,2,1
"energy-y1",0.790476226806641,"cone",0.807291686534882,1024,4,0.01
"energy-y1",0.785714328289032,"cone",0.786458373069763,256,4,0.01
"energy-y1",0.785714328289032,"rect",0.822916746139526,512,2,0.01
"energy-y1",0.783333373069763,"cone",0.734375059604645,256,4,1
"energy-y1",0.776190531253815,"cone",0.723958373069763,512,8,0.01
"energy-y1",0.773809576034546,"cone",0.807291626930237,512,4,0.01
"energy-y1",0.773809564113617,"cone",0.776041686534882,512,8,1
"energy-y1",0.771428632736206,"cone",0.812500059604645,1024,8,0.1
"energy-y1",0.761904817819596,"rect",0.791666746139526,512,16,1
"energy-y1",0.761904811859131,"rect",0.770833373069763,512,8,0.01
"energy-y1",0.759523862600326,"cone",0.760416746139526,1024,4,0.1
"energy-y1",0.759523838758469,"rect",0.640625,1024,2,1
"energy-y1",0.750000041723251,"rect",0.744791746139526,256,2,1
"energy-y1",0.721428632736206,"rect",0.677083373069763,256,4,0.01
"energy-y1",0.685714310407639,"rect",0.630208373069763,1024,8,1
"energy-y1",0.647619050741196,"cone",0.651041686534882,512,16,0.1
"energy-y1",0.571428596973419,"rect",0.520833373069763,1024,16,1
"energy-y1",0.538095262646675,"cone",0.567708373069763,256,16,1
"energy-y1",0.507142874598503,"cone",0.473958343267441,256,8,1
"energy-y1",0.504761928319931,"rect",0.4375,256,32,0.01
"energy-y1",0.495238107442856,"rect",0.473958343267441,1024,8,0.01
"energy-y1",0.492857149243355,"rect",0.473958343267441,512,16,0.1
"energy-y1",0.478571435809135,"cone",0.473958373069763,512,32,0.01
"energy-y1",0.476190477609634,"cone",0.473958373069763,1024,32,0.01
"energy-y1",0.476190477609634,"cone",0.473958343267441,256,32,0.01
"energy-y1",0.476190477609634,"rect",0.473958373069763,1024,32,0.1
"energy-y1",0.476190477609634,"cone",0.473958373069763,512,32,0.1
