"dataset","learningrate","nlayers","layerForm","testAccuracy","nhidden","valAccuracy"
"vertebral-column-3clases",0.01,2,"cone",0.779220759868622,1024,0.888888895511627
"vertebral-column-3clases",0.01,3,"rect",0.727272689342499,256,0.855555528402329
"vertebral-column-3clases",0.01,2,"rect",0.74025970697403,256,0.85185182094574
"vertebral-column-3clases",0.1,2,"rect",0.766233742237091,512,0.84444442987442
"vertebral-column-3clases",0.01,3,"cone",0.727272689342499,256,0.84444442987442
"vertebral-column-3clases",0.01,2,"rect",0.779220759868622,1024,0.844444423913956
"vertebral-column-3clases",0.1,3,"cone",0.727272689342499,256,0.840740716457367
"vertebral-column-3clases",0.1,4,"cone",0.66233766078949,1024,0.840740716457367
"vertebral-column-3clases",1,2,"cone",0.779220759868622,1024,0.837037032842636
"vertebral-column-3clases",0.01,3,"rect",0.818181812763214,1024,0.837037020921707
"vertebral-column-3clases",0.01,4,"rect",0.701298654079437,512,0.837037014961243
"vertebral-column-3clases",1,3,"rect",0.779220759868622,1024,0.833333331346512
"vertebral-column-3clases",0.01,2,"rect",0.792207777500153,512,0.833333313465119
"vertebral-column-3clases",0.1,2,"cone",0.792207777500153,1024,0.833333313465119
"vertebral-column-3clases",0.1,2,"cone",0.75324672460556,256,0.833333313465119
"vertebral-column-3clases",0.1,2,"rect",0.818181872367859,1024,0.829629617929459
"vertebral-column-3clases",1,2,"cone",0.805194795131683,512,0.829629617929459
"vertebral-column-3clases",0.1,3,"rect",0.805194795131683,256,0.829629611968994
"vertebral-column-3clases",0.1,3,"cone",0.727272689342499,1024,0.82592591047287
"vertebral-column-3clases",1,2,"cone",0.818181812763214,256,0.822222220897675
"vertebral-column-3clases",0.1,8,"rect",0.766233742237091,1024,0.82222221493721
"vertebral-column-3clases",0.01,4,"rect",0.766233742237091,1024,0.822222208976746
"vertebral-column-3clases",0.1,4,"rect",0.75324672460556,512,0.822222208976746
"vertebral-column-3clases",0.1,8,"cone",0.714285671710968,1024,0.81851851940155
"vertebral-column-3clases",1,3,"cone",0.75324672460556,512,0.818518507480621
"vertebral-column-3clases",1,4,"cone",0.844155848026276,256,0.814814817905426
"vertebral-column-3clases",0.1,8,"cone",0.727272689342499,512,0.814814805984497
"vertebral-column-3clases",0.1,2,"cone",0.779220759868622,512,0.814814805984497
"vertebral-column-3clases",0.1,4,"rect",0.779220759868622,256,0.811111104488373
"vertebral-column-3clases",0.1,3,"cone",0.636363625526428,512,0.811111104488373
"vertebral-column-3clases",0.1,2,"rect",0.727272689342499,256,0.811111104488373
"vertebral-column-3clases",0.01,2,"cone",0.753246784210205,512,0.807407402992249
"vertebral-column-3clases",0.01,2,"cone",0.766233801841736,256,0.807407402992249
"vertebral-column-3clases",1,4,"cone",0.75324672460556,512,0.807407402992249
"vertebral-column-3clases",0.1,3,"rect",0.857142865657806,512,0.803703701496124
"vertebral-column-3clases",0.1,4,"rect",0.844155848026276,1024,0.8
"vertebral-column-3clases",0.1,3,"rect",0.766233742237091,1024,0.8
"vertebral-column-3clases",0.1,8,"rect",0.714285671710968,512,0.781481492519379
"vertebral-column-3clases",0.1,8,"rect",0.701298654079437,256,0.77407408952713
"vertebral-column-3clases",0.01,3,"rect",0.727272689342499,512,0.77407408952713
"vertebral-column-3clases",1,2,"rect",0.623376607894897,256,0.774074071645737
