"dataset","nlayers","learningrate","layerForm","nhidden","valAccuracy","testAccuracy"
"mammographic",2,0.1,"cone",512,0.854117679595947,0.816666781902313
"mammographic",2,0.1,"cone",256,0.838823568820953,0.808333396911621
"mammographic",8,1,"cone",512,0.832941198348999,0.820833384990692
"mammographic",2,0.1,"rect",256,0.831764757633209,0.775000095367432
"mammographic",3,1,"cone",1024,0.829411804676056,0.754166781902313
"mammographic",4,1,"cone",256,0.828235340118408,0.800000071525574
"mammographic",2,0.01,"cone",1024,0.828235340118408,0.79583340883255
"mammographic",3,1,"cone",256,0.827058863639832,0.820833444595337
"mammographic",3,0.01,"cone",256,0.817647099494934,0.79583340883255
"mammographic",4,1,"cone",512,0.812941193580627,0.829166769981384
"mammographic",3,0.1,"rect",256,0.811764752864838,0.808333396911621
"mammographic",2,1,"cone",256,0.810588276386261,0.833333373069763
"mammographic",2,0.01,"rect",1024,0.808235329389572,0.754166722297668
"mammographic",4,1,"cone",1024,0.805882394313812,0.79583340883255
"mammographic",8,1,"cone",1024,0.804705917835236,0.800000131130219
"mammographic",8,1,"cone",256,0.803529477119446,0.808333396911621
"mammographic",2,1,"cone",512,0.803529477119446,0.800000071525574
"mammographic",2,0.1,"rect",1024,0.802352982759476,0.770833373069763
"mammographic",3,0.1,"rect",512,0.802352976799011,0.816666781902313
"mammographic",3,0.1,"cone",512,0.796470642089844,0.825000107288361
"mammographic",8,0.1,"cone",256,0.796470636129379,0.783333420753479
"mammographic",2,0.01,"cone",512,0.796470618247986,0.787500083446503
"mammographic",2,0.1,"cone",1024,0.795294165611267,0.820833384990692
"mammographic",3,0.1,"cone",256,0.794117701053619,0.787500083446503
"mammographic",3,0.1,"rect",1024,0.792941218614578,0.704166650772095
"mammographic",2,0.1,"rect",512,0.792941212654114,0.737500131130219
"mammographic",2,0.01,"cone",256,0.791764748096466,0.745833456516266
"mammographic",2,0.01,"rect",512,0.791764748096466,0.745833456516266
"mammographic",8,1,"rect",512,0.791764736175537,0.741666734218597
"mammographic",3,0.1,"cone",1024,0.789411795139313,0.81250011920929
"mammographic",4,1,"rect",1024,0.785882389545441,0.758333384990692
"mammographic",2,1,"rect",512,0.782352977991104,0.791666746139526
"mammographic",2,1,"cone",1024,0.78235297203064,0.787500023841858
"mammographic",8,0.1,"rect",1024,0.778823566436768,0.816666722297668
"mammographic",4,0.1,"rect",1024,0.77176473736763,0.725000083446503
"mammographic",3,1,"rect",1024,0.768235337734222,0.800000071525574
"mammographic",2,1,"rect",256,0.768235337734222,0.775000095367432
"mammographic",3,1,"rect",512,0.762352979183197,0.762500107288361
"mammographic",4,0.01,"rect",1024,0.752941226959229,0.787500083446503
"mammographic",4,0.1,"rect",256,0.747058868408203,0.70416671037674
"mammographic",4,1,"rect",256,0.745882391929627,0.550000071525574
"mammographic",3,1,"rect",256,0.743529450893402,0.720833420753479
"mammographic",4,0.1,"rect",512,0.740000033378601,0.704166769981384
