"dataset","learningrate","nhidden","layerForm","nlayers","valAccuracy","testAccuracy"
"heart-switzerland",1,512,"rect",3,0.271428588032723,0.290322571992874
"heart-switzerland",1,1024,"cone",3,0.271428586542606,0.419354826211929
"heart-switzerland",0.01,512,"cone",32,0.257142877578735,0.419354826211929
"heart-switzerland",0.1,1024,"rect",32,0.257142874598503,0.419354826211929
"heart-switzerland",1,1024,"cone",2,0.257142871618271,0.451612889766693
"heart-switzerland",0.1,1024,"rect",16,0.257142871618271,0.387096762657166
"heart-switzerland",0.01,1024,"cone",4,0.257142868638039,0.451612889766693
"heart-switzerland",1,512,"cone",3,0.242857155203819,0.419354826211929
"heart-switzerland",1,512,"cone",8,0.242857155203819,0.225806444883347
"heart-switzerland",1,256,"cone",4,0.242857153713703,0.25806450843811
"heart-switzerland",1,256,"cone",2,0.228571438789368,0.354838699102402
"heart-switzerland",1,256,"cone",16,0.214285726845264,0.419354826211929
"heart-switzerland",0.1,256,"rect",32,0.200000008940697,0.225806444883347
"heart-switzerland",0.01,1024,"cone",32,0.185714299976826,0.419354826211929
"heart-switzerland",0.1,1024,"cone",16,0.185714294016361,0.25806450843811
"heart-switzerland",1,1024,"cone",8,0.185714294016361,0.0967741906642914
"heart-switzerland",0.01,256,"rect",2,0.185714294016361,0.451612889766693
"heart-switzerland",0.1,512,"rect",16,0.185714294016361,0.0322580635547638
"heart-switzerland",1,512,"rect",32,0.171428579092026,0.25806450843811
"heart-switzerland",0.1,512,"cone",32,0.142857149243355,0.0322580635547638
"heart-switzerland",0.01,512,"rect",32,0.142857149243355,0.25806450843811
"heart-switzerland",0.01,1024,"rect",32,0.0571428596973419,0.0645161271095276
