"dataset","valAccuracy","testAccuracy","layerForm","nlayers","learningrate","nhidden"
"lung-cancer",0.3,0.5,"cone",2,0.1,512
"lung-cancer",0.3,0.5,"cone",2,1,1024
"lung-cancer",0.25,0.125,"rect",16,0.01,256
"lung-cancer",0.25,0.25,"cone",4,0.01,1024
"lung-cancer",0.25,0.25,"cone",4,0.1,1024
"lung-cancer",0.25,0.25,"rect",3,0.1,1024
"lung-cancer",0.25,0.25,"rect",3,0.1,256
"lung-cancer",0.25,0.375,"cone",3,1,256
"lung-cancer",0.25,0.375,"rect",2,0.01,1024
"lung-cancer",0.2,0.25,"rect",32,0.1,1024
"lung-cancer",0.2,0.5,"rect",16,0.1,1024
"lung-cancer",0.2,0.5,"rect",16,0.1,512
"lung-cancer",0.2,0.25,"rect",8,1,512
"lung-cancer",0.15,0.625,"rect",8,0.01,256
"lung-cancer",0.15,0.375,"rect",4,0.1,256
"lung-cancer",0.15,0.375,"cone",4,1,512
"lung-cancer",0.1,0.25,"cone",16,0.1,1024
"lung-cancer",0.1,0.5,"rect",16,1,512
"lung-cancer",0.1,0.5,"cone",3,0.1,256
"lung-cancer",0.05,0.625,"rect",4,0.1,1024
"lung-cancer",0.05,0.5,"cone",3,0.1,1024
"lung-cancer",0.05,0.5,"cone",3,1,1024
"lung-cancer",0.05,0.5,"rect",2,0.1,1024
"lung-cancer",0,0.25,"cone",32,0.01,1024
"lung-cancer",0,0.25,"cone",32,0.01,512
"lung-cancer",0,0.25,"cone",32,0.01,256
"lung-cancer",0,0.25,"cone",32,0.1,512
"lung-cancer",0,0.25,"rect",32,0.1,512
"lung-cancer",0,0.25,"rect",32,0.1,256
"lung-cancer",0,0.25,"cone",32,1,512
"lung-cancer",0,0.25,"cone",16,0.01,1024
"lung-cancer",0,0.25,"cone",16,0.01,256
"lung-cancer",0,0.375,"cone",8,0.01,256
"lung-cancer",0,0.125,"cone",4,0.01,512
"lung-cancer",0,0.25,"rect",4,0.01,256
"lung-cancer",0,0.375,"cone",4,0.1,512
