"dataset","nhidden","nlayers","learningrate","valAccuracy","layerForm","testAccuracy"
"oocytes_trisopterus_nucleus_2f",256,2,1,0.796875,"cone",0.745614051818848
"oocytes_trisopterus_nucleus_2f",512,3,1,0.7671875,"cone",0.754385888576508
"oocytes_trisopterus_nucleus_2f",1024,4,1,0.7640625,"cone",0.802631556987762
"oocytes_trisopterus_nucleus_2f",1024,3,1,0.74375,"cone",0.758771896362305
"oocytes_trisopterus_nucleus_2f",256,2,1,0.728125,"rect",0.793859601020813
"oocytes_trisopterus_nucleus_2f",512,2,1,0.7234375,"cone",0.79824560880661
"oocytes_trisopterus_nucleus_2f",512,4,1,0.721875,"cone",0.70175439119339
"oocytes_trisopterus_nucleus_2f",256,3,1,0.71875,"cone",0.706140339374542
"oocytes_trisopterus_nucleus_2f",1024,2,1,0.7109375,"cone",0.622807025909424
"oocytes_trisopterus_nucleus_2f",256,3,1,0.70625,"rect",0.635964870452881
"oocytes_trisopterus_nucleus_2f",1024,2,0.01,0.696875,"rect",0.706140398979187
"oocytes_trisopterus_nucleus_2f",1024,3,1,0.675,"rect",0.728070139884949
"oocytes_trisopterus_nucleus_2f",1024,8,1,0.6703125,"cone",0.662280678749084
"oocytes_trisopterus_nucleus_2f",256,2,0.1,0.659375,"cone",0.697368383407593
"oocytes_trisopterus_nucleus_2f",1024,2,1,0.625,"rect",0.65350878238678
"oocytes_trisopterus_nucleus_2f",512,4,0.01,0.615625,"cone",0.635964930057526
"oocytes_trisopterus_nucleus_2f",1024,2,0.01,0.615625,"cone",0.719298183917999
"oocytes_trisopterus_nucleus_2f",512,2,0.1,0.5984375,"cone",0.614035069942474
"oocytes_trisopterus_nucleus_2f",256,4,0.01,0.5953125,"rect",0.592105269432068
"oocytes_trisopterus_nucleus_2f",256,8,0.01,0.5921875,"cone",0.614035069942474
"oocytes_trisopterus_nucleus_2f",1024,4,1,0.5828125,"rect",0.614035069942474
"oocytes_trisopterus_nucleus_2f",1024,4,0.1,0.578125,"cone",0.592105269432068
"oocytes_trisopterus_nucleus_2f",512,2,0.01,0.5734375,"cone",0.600877165794373
"oocytes_trisopterus_nucleus_2f",256,2,0.01,0.56875,"rect",0.649122834205627
"oocytes_trisopterus_nucleus_2f",512,2,1,0.56875,"rect",0.570175468921661
"oocytes_trisopterus_nucleus_2f",1024,2,0.1,0.5671875,"cone",0.609649181365967
"oocytes_trisopterus_nucleus_2f",512,2,0.01,0.565625,"rect",0.600877225399017
"oocytes_trisopterus_nucleus_2f",1024,2,0.1,0.565625,"rect",0.59649121761322
"oocytes_trisopterus_nucleus_2f",512,3,0.01,0.5625,"cone",0.600877165794373
"oocytes_trisopterus_nucleus_2f",256,2,0.01,0.5625,"cone",0.609649062156677
"oocytes_trisopterus_nucleus_2f",1024,3,0.01,0.559375,"rect",0.622807025909424
"oocytes_trisopterus_nucleus_2f",1024,3,0.1,0.5546875,"cone",0.592105209827423
"oocytes_trisopterus_nucleus_2f",512,2,0.1,0.5546875,"rect",0.587719321250916
"oocytes_trisopterus_nucleus_2f",256,3,0.01,0.553125,"rect",0.592105269432068
"oocytes_trisopterus_nucleus_2f",512,4,1,0.5515625,"rect",0.565789461135864
"oocytes_trisopterus_nucleus_2f",1024,3,0.1,0.5515625,"rect",0.583333313465118
"oocytes_trisopterus_nucleus_2f",1024,4,0.01,0.5484375,"rect",0.583333313465118
"oocytes_trisopterus_nucleus_2f",1024,3,0.01,0.5484375,"cone",0.587719321250916
"oocytes_trisopterus_nucleus_2f",512,8,1,0.546875,"rect",0.618421077728271
"oocytes_trisopterus_nucleus_2f",256,4,1,0.546875,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,2,0.1,0.5453125,"rect",0.592105209827423
"oocytes_trisopterus_nucleus_2f",256,16,1,0.54375,"rect",0.578947365283966
