"dataset","nlayers","valAccuracy","layerForm","testAccuracy","nhidden","learningrate"
"dermatology",8,1,"rect",0.934065937995911,1024,0.1
"dermatology",8,1,"cone",0.714285731315613,512,1
"dermatology",8,1,"cone",0.890109896659851,256,1
"dermatology",4,1,"cone",0.923076987266541,1024,0.01
"dermatology",4,1,"rect",0.95604395866394,512,0.01
"dermatology",4,1,"cone",0.934065937995911,1024,0.1
"dermatology",4,1,"rect",0.94505500793457,1024,0.1
"dermatology",4,1,"rect",0.912087917327881,512,0.1
"dermatology",4,1,"rect",0.923076987266541,256,0.1
"dermatology",4,1,"rect",0.769230842590332,512,1
"dermatology",4,1,"cone",0.890109896659851,256,1
"dermatology",3,1,"cone",0.9670330286026,1024,0.01
"dermatology",3,1,"rect",0.879120945930481,1024,0.01
"dermatology",3,1,"rect",0.824175834655762,512,0.01
"dermatology",3,1,"cone",0.802197813987732,256,0.01
"dermatology",3,1,"rect",0.857142925262451,256,0.01
"dermatology",3,1,"cone",0.95604395866394,1024,0.1
"dermatology",3,1,"rect",0.934065937995911,1024,0.1
"dermatology",3,1,"rect",0.94505500793457,512,0.1
"dermatology",3,1,"rect",0.912087917327881,256,0.1
"dermatology",3,1,"cone",0.923076987266541,1024,1
"dermatology",3,1,"rect",0.934065937995911,1024,1
"dermatology",3,1,"cone",0.9670330286026,512,1
"dermatology",3,1,"cone",0.94505500793457,256,1
"dermatology",2,1,"cone",0.94505500793457,512,0.01
"dermatology",2,1,"rect",0.94505500793457,512,0.01
"dermatology",2,1,"cone",0.901098966598511,256,0.01
"dermatology",2,1,"rect",0.934065937995911,256,0.01
"dermatology",2,1,"cone",0.95604395866394,1024,0.1
"dermatology",2,1,"rect",0.94505500793457,1024,0.1
"dermatology",2,1,"cone",0.94505500793457,512,0.1
"dermatology",2,1,"cone",0.912087917327881,256,0.1
"dermatology",2,1,"rect",0.835164904594421,256,0.1
"dermatology",2,1,"cone",0.934065937995911,512,1
"dermatology",2,1,"rect",0.95604395866394,512,1
"dermatology",2,1,"rect",0.934065937995911,256,1
"dermatology",4,0.994999998807907,"cone",0.747252821922302,512,0.01
"dermatology",4,0.994999998807907,"cone",0.879120945930481,256,0.01
"dermatology",8,0.989999997615814,"cone",0.923076987266541,1024,1
"dermatology",16,0.984999996423721,"rect",0.923076987266541,256,0.1
"dermatology",2,0.984999996423721,"cone",0.934065937995911,1024,1
"dermatology",8,0.979999995231628,"rect",0.879120945930481,512,0.1
"dermatology",4,0.979999995231628,"rect",0.95604395866394,1024,0.01
"dermatology",2,0.979999995231628,"rect",0.95604395866394,1024,0.01
"dermatology",2,0.974999994039536,"cone",0.95604395866394,256,1
"dermatology",2,0.974999994039535,"rect",0.95604395866394,1024,1
"dermatology",3,0.96499999165535,"rect",0.95604395866394,512,1
"dermatology",3,0.959999990463257,"cone",0.94505500793457,512,0.1
"dermatology",4,0.949999988079071,"rect",0.923076987266541,256,1
"dermatology",2,0.949999988079071,"cone",0.923076987266541,1024,0.01
"dermatology",4,0.939999985694885,"cone",0.923076987266541,512,1
"dermatology",2,0.934999984502792,"rect",0.95604395866394,512,0.1
"dermatology",4,0.924999982118607,"cone",0.835164904594421,1024,1
"dermatology",3,0.919999980926514,"rect",0.94505500793457,256,1
"dermatology",4,0.914999979734421,"rect",0.912087917327881,1024,1
"dermatology",8,0.899999976158142,"rect",0.923076987266541,256,0.1
"dermatology",3,0.899999976158142,"cone",0.934065937995911,512,0.01
"dermatology",3,0.899999976158142,"cone",0.879120945930481,256,0.1
"dermatology",16,0.885000014305115,"cone",0.604395627975464,256,0.1
"dermatology",16,0.850000023841858,"rect",0.560439586639404,512,0.1
"dermatology",16,0.850000023841858,"rect",0.593406617641449,512,1
"dermatology",8,0.850000023841858,"cone",0.516483545303345,1024,0.01
"dermatology",8,0.850000023841858,"rect",0.615384697914124,256,0.01
"dermatology",8,0.850000023841858,"cone",0.571428656578064,1024,0.1
"dermatology",8,0.850000023841858,"cone",0.560439586639404,512,0.1
"dermatology",8,0.850000023841858,"rect",0.648351669311523,512,1
"dermatology",8,0.850000023841858,"rect",0.802197813987732,256,1
