"dataset","valAccuracy","nlayers","layerForm","testAccuracy","learningrate","nhidden"
"image-segmentation",0.16000000461936,16,"cone",0.142857134342194,1,256
"image-segmentation",0.160000003874302,16,"cone",0.255714267492294,0.01,256
"image-segmentation",0.150000005960464,32,"cone",0.142857149243355,0.1,256
"image-segmentation",0.150000005960464,32,"rect",0.142857149243355,1,256
"image-segmentation",0.150000002235174,32,"cone",0.142857134342194,1,1024
"image-segmentation",0.130000002682209,16,"rect",0.142857134342194,1,256
"image-segmentation",0.130000001192093,16,"cone",0.142857149243355,1,1024
"image-segmentation",0.120000003278255,32,"rect",0.142857134342194,1,1024
"image-segmentation",0.120000001788139,16,"rect",0.142857134342194,0.1,1024
"image-segmentation",0.115000002086163,16,"cone",0.144285723567009,0.01,512
"image-segmentation",0.110000001639128,16,"rect",0.142857134342194,1,1024
"image-segmentation",0.105000001937151,32,"rect",0.142857149243355,0.01,1024
"image-segmentation",0.105000001937151,16,"rect",0.140000000596046,0.01,512
"image-segmentation",0.100000001490116,32,"cone",0.142857134342194,0.01,1024
"image-segmentation",0.100000001490116,32,"rect",0.142857134342194,0.01,512
"image-segmentation",0.100000001490116,32,"rect",0.142857134342194,0.01,256
"image-segmentation",0.100000001490116,32,"cone",0.142857134342194,0.1,1024
"image-segmentation",0.100000001490116,32,"rect",0.142857134342194,1,512
"image-segmentation",0.100000001490116,16,"rect",0.144285708665848,0.01,256
