"dataset","testAccuracy","nhidden","nlayers","learningrate","layerForm","valAccuracy"
"glass",0.584905683994293,512,4,0.01,"rect",0.804761922359467
"glass",0.660377383232117,512,3,0.01,"cone",0.761904835700989
"glass",0.603773593902588,512,2,0.01,"cone",0.761904776096344
"glass",0.698113203048706,1024,3,0.1,"rect",0.757142889499664
"glass",0.679245293140411,1024,8,0.1,"rect",0.747619062662125
"glass",0.679245293140411,256,8,0.1,"rect",0.747619062662125
"glass",0.660377383232117,256,3,0.01,"rect",0.742857205867767
"glass",0.50943398475647,1024,4,0.1,"rect",0.742857182025909
"glass",0.622641503810883,256,4,0.1,"rect",0.738095253705978
"glass",0.622641503810883,512,4,0.1,"rect",0.728571450710296
"glass",0.641509473323822,256,4,0.01,"rect",0.714285731315613
"glass",0.603773593902588,1024,3,0.01,"cone",0.709523850679398
"glass",0.603773593902588,256,3,1,"cone",0.709523850679397
"glass",0.603773593902588,512,3,0.1,"rect",0.70952382683754
"glass",0.660377383232117,512,4,0.1,"cone",0.70476194024086
"glass",0.584905683994293,256,3,0.1,"cone",0.704761922359466
"glass",0.603773593902588,512,2,0.1,"cone",0.704761922359466
"glass",0.584905624389648,1024,3,0.1,"cone",0.700000035762787
"glass",0.566037774085999,256,2,0.01,"rect",0.700000017881393
"glass",0.641509473323822,1024,2,1,"cone",0.700000017881393
"glass",0.603773593902588,256,2,0.1,"cone",0.690476226806641
"glass",0.603773593902588,512,8,0.1,"rect",0.690476220846176
"glass",0.584905683994293,256,3,0.1,"rect",0.680952399969101
"glass",0.679245293140411,512,3,0.01,"rect",0.676190495491028
"glass",0.716981112957001,1024,2,0.01,"cone",0.671428591012955
"glass",0.603773593902588,1024,4,0.1,"cone",0.66666669845581
"glass",0.584905683994293,256,2,0.01,"cone",0.666666686534881
"glass",0.622641503810883,512,3,1,"cone",0.661904799938202
"glass",0.528301894664764,512,2,1,"cone",0.652380990982056
"glass",0.528301894664764,1024,2,0.01,"rect",0.64285717010498
"glass",0.490566045045853,256,2,0.1,"rect",0.64285717010498
"glass",0.566037774085999,1024,4,0.01,"rect",0.642857164144516
"glass",0.471698105335236,256,4,0.01,"cone",0.642857164144516
"glass",0.698113203048706,1024,2,0.1,"rect",0.638095259666443
"glass",0.528301894664764,1024,3,0.01,"rect",0.633333373069763
"glass",0.73584908246994,256,2,1,"rect",0.628571447730064
"glass",0.584905683994293,512,2,0.1,"rect",0.623809552192688
"glass",0.528301894664764,1024,2,0.1,"cone",0.61904764175415
"glass",0.528301894664764,512,2,0.01,"rect",0.614285737276077
"glass",0.566037774085999,1024,8,0.01,"rect",0.609523832798004
"glass",0.566037774085999,512,3,0.1,"cone",0.604761928319931
"glass",0.50943398475647,512,4,0.01,"cone",0.600000023841858
"glass",0.471698105335236,256,3,0.01,"cone",0.600000023841858
"glass",0.433962285518646,256,2,1,"cone",0.600000023841858
"glass",0.566037714481354,1024,3,1,"cone",0.595238125324249
"glass",0.433962285518646,256,4,0.1,"cone",0.595238119363785
"glass",0.358490586280823,1024,16,0.1,"cone",0.547619074583053
"glass",0.452830195426941,1024,2,1,"rect",0.54285717010498
"glass",0.547169804573059,512,4,1,"cone",0.538095265626907
"glass",0.641509413719177,512,2,1,"rect",0.538095262646675
"glass",0.471698105335236,256,8,0.1,"cone",0.533333361148834
"glass",0.396226435899734,1024,8,0.01,"cone",0.528571456670761
"glass",0.433962285518646,256,8,0.01,"cone",0.528571456670761
"glass",0.415094316005707,1024,4,0.01,"cone",0.528571456670761
"glass",0.415094345808029,1024,4,1,"rect",0.495238119363785
"glass",0.433962285518646,1024,8,1,"rect",0.466666695475578
"glass",0.415094375610352,512,8,0.01,"rect",0.457142889499664
"glass",0.396226406097412,1024,4,1,"cone",0.457142889499664
"glass",0.415094316005707,256,8,0.01,"rect",0.442857176065445
"glass",0.490566074848175,256,4,1,"cone",0.438095262646675
"glass",0.377358496189117,1024,16,0.01,"rect",0.433333367109299
"glass",0.377358496189117,256,32,0.01,"cone",0.428571462631226
"glass",0.377358496189117,1024,16,0.01,"cone",0.428571462631226
"glass",0.377358496189117,256,16,0.01,"rect",0.428571462631226
"glass",0.377358496189117,512,8,0.1,"cone",0.428571462631226
"glass",0.547169804573059,1024,3,1,"rect",0.423809543251991
"glass",0.377358496189117,1024,32,1,"cone",0.414285746216774
"glass",0.377358496189117,256,32,1,"cone",0.414285746216774
"glass",0.358490586280823,256,16,0.1,"cone",0.409523841738701
"glass",0.207547172904015,512,3,1,"rect",0.400000023841858
"glass",0.547169804573059,512,4,1,"rect",0.400000020861626
"glass",0.547169804573059,256,3,1,"rect",0.366666680574417
"glass",0.377358496189117,256,32,0.1,"cone",0.361904789507389
"glass",0.320754706859589,256,32,1,"rect",0.357142880558968
"glass",0.433962255716324,256,8,1,"rect",0.357142868638039
"glass",0.358490586280823,1024,8,0.1,"cone",0.338095250725746
"glass",0.339622646570206,512,16,0.01,"rect",0.323809534311295
"glass",0.415094345808029,512,16,0.1,"cone",0.323809534311295
"glass",0.433962285518646,256,4,1,"rect",0.319047631323338
"glass",0.320754706859589,256,16,1,"rect",0.314285735413432
"glass",0.377358496189117,1024,32,0.1,"rect",0.300000020116568
"glass",0.358490586280823,1024,32,0.01,"cone",0.295238112285733
"glass",0.377358496189117,512,32,1,"cone",0.290476206317544
"glass",0.320754706859589,512,16,0.01,"cone",0.28571429848671
"glass",0.320754706859589,256,16,0.01,"cone",0.28571429848671
"glass",0.320754706859589,512,8,0.01,"cone",0.28571429848671
"glass",0.22641509771347,1024,8,1,"cone",0.266666680574417
"glass",0.0566037744283676,512,8,1,"rect",0.261904776468873
"glass",0.264150947332382,512,8,1,"cone",0.257142868638039
"glass",0.132075473666191,512,32,0.01,"rect",0.25238097012043
"glass",0.0754716992378235,1024,32,0.1,"cone",0.247619065642357
"glass",0.377358496189117,1024,16,0.1,"rect",0.228571444004774
"glass",0.0566037744283676,512,32,0.1,"rect",0.228571442142129
"glass",0.320754706859589,512,16,1,"rect",0.204761916026473
"glass",0.264150947332382,1024,16,1,"rect",0.171428579837084
"glass",0.320754706859589,1024,32,1,"rect",0.17142857760191
"glass",0.132075473666191,256,8,1,"cone",0.133333338052034
"glass",0.132075473666191,1024,32,0.01,"rect",0.128571433573961
"glass",0.132075473666191,1024,16,1,"cone",0.128571433573961
"glass",0.377358496189117,256,32,0.1,"rect",0.123809531331062
"glass",0.132075473666191,512,32,1,"rect",0.11428571715951
"glass",0.0566037744283676,256,16,0.1,"rect",0.100000002980232
