"dataset","valAccuracy","nlayers","testAccuracy","layerForm","learningrate","nhidden"
"contrac",0.564601802825928,2,0.45380437374115,"cone",0.1,1024
"contrac",0.554867267608643,3,0.49728262424469,"cone",1,1024
"contrac",0.551327437162399,8,0.429347842931747,"cone",1,256
"contrac",0.551327437162399,3,0.472826093435287,"cone",0.01,256
"contrac",0.550442487001419,8,0.442934781312943,"cone",0.1,256
"contrac",0.547787600755692,2,0.445652157068253,"cone",1,1024
"contrac",0.546902671456337,3,0.499999970197678,"rect",1,256
"contrac",0.541592928767204,2,0.48097825050354,"cone",1,256
"contrac",0.541592919826508,2,0.47826087474823,"cone",0.1,256
"contrac",0.540707969665527,4,0.440217405557632,"cone",1,256
"contrac",0.539823016524315,4,0.464673906564713,"cone",1,1024
"contrac",0.535398238897324,3,0.437500059604645,"cone",1,256
"contrac",0.53539822101593,2,0.445652186870575,"rect",1,256
"contrac",0.532743376493454,4,0.440217435359955,"cone",1,512
"contrac",0.531858417391777,8,0.451086938381195,"cone",0.1,512
"contrac",0.530973452329636,8,0.459239095449448,"cone",0.1,1024
"contrac",0.529203546047211,8,0.464673906564713,"cone",1,1024
"contrac",0.527433624863625,3,0.423913031816483,"cone",1,512
"contrac",0.523893815279007,2,0.442934811115265,"cone",0.01,512
"contrac",0.522123903036118,3,0.45380437374115,"cone",0.01,1024
"contrac",0.520353981852531,4,0.440217405557632,"cone",0.01,1024
"contrac",0.516814163327217,2,0.437500029802322,"rect",0.01,256
"contrac",0.514159300923348,2,0.4375,"cone",1,512
"contrac",0.51327431499958,3,0.423913061618805,"cone",0.01,512
"contrac",0.507079648971558,8,0.42119562625885,"rect",1,256
"contrac",0.506194695830345,3,0.434782654047012,"rect",0.01,512
"contrac",0.505309760570526,4,0.43206524848938,"rect",0.01,256
"contrac",0.505309730768204,3,0.423913061618805,"rect",1,512
"contrac",0.504424810409546,3,0.429347842931747,"rect",0.01,256
"contrac",0.503539851307869,4,0.429347842931747,"cone",0.01,256
"contrac",0.5,8,0.42934787273407,"cone",0.01,1024
"contrac",0.499115058779717,4,0.426630467176437,"rect",0.01,512
"contrac",0.49911504983902,2,0.43206524848938,"rect",0.01,1024
"contrac",0.499115046858788,2,0.426630467176437,"rect",0.1,256
"contrac",0.499115046858788,4,0.43206524848938,"rect",0.01,1024
