"dataset","nhidden","nlayers","valAccuracy","layerForm","learningrate","testAccuracy"
"pima",1024,3,0.780281662940979,"cone",1,0.718750059604645
"pima",512,4,0.769014072418213,"cone",1,0.682291746139526
"pima",512,2,0.759154921770096,"cone",1,0.734375059604645
"pima",512,3,0.757746475934982,"cone",1,0.723958373069763
"pima",256,2,0.750704210996628,"rect",0.01,0.697916746139526
"pima",256,2,0.742253506183624,"cone",1,0.708333373069763
"pima",1024,4,0.74225350022316,"cone",1,0.729166686534882
"pima",256,3,0.738028162717819,"cone",0.01,0.703125059604645
"pima",256,3,0.732394367456436,"rect",0.01,0.682291686534882
"pima",512,3,0.729577469825745,"cone",0.01,0.708333373069763
"pima",1024,2,0.728168988227844,"cone",1,0.6875
"pima",256,3,0.718309849500656,"cone",1,0.744791686534882
"pima",256,4,0.718309843540192,"rect",1,0.755208373069763
"pima",512,2,0.716901397705078,"rect",1,0.744791686534882
"pima",256,16,0.716901379823685,"rect",1,0.71875
"pima",256,8,0.715492951869965,"cone",0.1,0.713541686534882
"pima",512,4,0.714084511995316,"rect",1,0.708333313465118
"pima",512,4,0.707042235136032,"rect",0.01,0.697916686534882
"pima",256,3,0.705633783340454,"rect",1,0.750000059604645
"pima",512,2,0.70563377737999,"cone",0.01,0.713541746139526
"pima",1024,8,0.705633771419525,"rect",1,0.755208432674408
"pima",512,8,0.701408445835114,"cone",1,0.729166686534882
"pima",1024,4,0.701408433914185,"rect",1,0.708333313465118
"pima",256,2,0.699999988079071,"rect",1,0.661458373069763
"pima",256,4,0.692957729101181,"cone",1,0.760416686534882
"pima",1024,2,0.691549277305603,"rect",0.01,0.718750059604645
"pima",1024,8,0.690140813589096,"rect",0.1,0.687500059604645
"pima",1024,2,0.687323933839798,"rect",1,0.739583373069763
"pima",512,2,0.687323927879333,"rect",0.01,0.703125059604645
"pima",512,4,0.685915488004684,"cone",0.01,0.677083373069763
"pima",256,3,0.683098584413528,"cone",0.1,0.708333432674408
"pima",1024,4,0.680281656980515,"cone",0.1,0.697916686534882
"pima",256,2,0.678873240947723,"cone",0.01,0.713541686534882
"pima",1024,2,0.678873211145401,"rect",0.1,0.671875
"pima",1024,2,0.677464753389358,"cone",0.1,0.697916686534882
"pima",1024,8,0.67464787364006,"cone",1,0.645833313465118
"pima",512,2,0.674647867679596,"cone",0.1,0.65625
"pima",1024,3,0.673239409923553,"rect",0.1,0.692708373069763
"pima",1024,4,0.670422506332398,"rect",0.01,0.692708373069763
"pima",1024,4,0.667605596780777,"rect",0.1,0.703125
"pima",512,3,0.666197150945663,"cone",0.1,0.65625
"pima",256,8,0.664788722991943,"cone",1,0.59375
"pima",512,16,0.663380265235901,"rect",0.1,0.671875
"pima",512,3,0.661971795558929,"rect",0.1,0.661458313465118
"pima",512,3,0.657746440172195,"rect",1,0.703125059604645
"pima",1024,2,0.65352109670639,"cone",0.01,0.6875
"pima",256,8,0.652112671732903,"rect",1,0.671875059604645
"pima",1024,3,0.650704193115234,"cone",0.1,0.661458313465118
"pima",512,2,0.649295741319656,"rect",0.1,0.666666686534882
"pima",512,8,0.647887295484543,"rect",1,0.65625
"pima",1024,32,0.647887289524078,"cone",0.01,0.651041686534882
"pima",512,32,0.647887289524078,"cone",0.01,0.651041686534882
"pima",256,32,0.647887289524078,"cone",0.01,0.651041686534882
"pima",256,32,0.647887289524078,"rect",0.01,0.651041686534882
"pima",1024,32,0.647887289524078,"cone",0.1,0.651041686534882
"pima",1024,32,0.647887289524078,"cone",1,0.651041686534882
"pima",1024,32,0.647887289524078,"rect",1,0.651041686534882
"pima",512,32,0.647887289524078,"cone",1,0.651041686534882
"pima",512,32,0.647887289524078,"rect",1,0.651041686534882
"pima",256,32,0.647887289524078,"cone",1,0.651041686534882
"pima",1024,16,0.647887289524078,"cone",0.01,0.651041686534882
"pima",1024,16,0.647887289524078,"rect",0.01,0.651041686534882
"pima",512,16,0.647887289524078,"cone",0.01,0.651041686534882
"pima",512,16,0.647887289524078,"rect",0.01,0.651041686534882
"pima",256,16,0.647887289524078,"cone",0.01,0.651041686534882
"pima",256,16,0.647887289524078,"rect",0.01,0.651041686534882
"pima",1024,16,0.647887289524078,"cone",0.1,0.651041686534882
"pima",512,16,0.647887289524078,"cone",0.1,0.651041686534882
"pima",256,16,0.647887289524078,"cone",0.1,0.651041686534882
"pima",256,16,0.647887289524078,"rect",0.1,0.651041686534882
"pima",1024,16,0.647887289524078,"cone",1,0.651041686534882
"pima",1024,8,0.647887289524078,"cone",0.01,0.651041686534882
"pima",1024,8,0.647887289524078,"rect",0.01,0.651041686534882
"pima",512,8,0.647887289524078,"cone",0.01,0.651041686534882
"pima",512,8,0.647887289524078,"rect",0.01,0.651041686534882
"pima",256,8,0.647887289524078,"cone",0.01,0.651041686534882
"pima",256,8,0.647887289524078,"rect",0.01,0.651041686534882
"pima",512,8,0.647887289524078,"cone",0.1,0.651041686534882
"pima",512,8,0.647887289524078,"rect",0.1,0.651041686534882
"pima",256,8,0.647887289524078,"rect",0.1,0.651041686534882
"pima",1024,4,0.647887289524078,"cone",0.01,0.651041686534882
"pima",256,4,0.647887289524078,"cone",0.01,0.651041686534882
"pima",512,4,0.647887289524078,"cone",0.1,0.651041686534882
"pima",256,4,0.647887289524078,"cone",0.1,0.651041686534882
"pima",256,4,0.647887289524078,"rect",0.1,0.651041686534882
"pima",1024,3,0.647887289524078,"cone",0.01,0.661458373069763
"pima",256,2,0.647887283563614,"rect",0.1,0.651041686534882
"pima",512,32,0.6464788377285,"rect",0.01,0.651041686534882
"pima",1024,8,0.6464788377285,"cone",0.1,0.651041686534882
"pima",256,2,0.646478831768036,"cone",0.1,0.666666686534882
"pima",256,3,0.646478825807571,"rect",0.1,0.666666686534882
"pima",512,4,0.645070385932922,"rect",0.1,0.661458373069763
"pima",1024,3,0.645070379972458,"rect",0.01,0.661458373069763
"pima",512,3,0.640845036506653,"rect",0.01,0.713541686534882
"pima",256,4,0.638028120994568,"rect",0.01,0.625
"pima",512,32,0.636619693040848,"cone",0.1,0.578125
"pima",1024,16,0.62816898226738,"rect",0.1,0.604166686534882
"pima",1024,3,0.611267566680908,"rect",1,0.505208373069763
"pima",256,16,0.588732361793518,"cone",1,0.651041686534882
"pima",512,16,0.545070403814316,"rect",1,0.427083343267441
"pima",256,32,0.470422524213791,"rect",0.1,0.348958343267441
"pima",512,32,0.440845063328743,"rect",0.1,0.348958373069763
"pima",256,32,0.440845063328743,"rect",1,0.348958343267441
"pima",1024,16,0.412676051259041,"rect",1,0.651041686534882
"pima",1024,32,0.411267602443695,"rect",0.01,0.348958343267441
"pima",1024,32,0.411267602443695,"rect",0.1,0.348958373069763
"pima",512,16,0.381690141558647,"cone",1,0.348958343267441
"pima",256,32,0.352112680673599,"cone",0.1,0.348958373069763
