"dataset","nlayers","learningrate","nhidden","testAccuracy","valAccuracy","layerForm"
"letter",4,1,1024,0.979599714279175,0.977569490671158,"cone"
"letter",4,0.1,512,0.976999700069427,0.976341307163238,"rect"
"letter",8,0.1,512,0.978799700737,0.97627666592598,"rect"
"letter",3,0.1,256,0.975999653339386,0.976212024688721,"rect"
"letter",3,0.1,1024,0.976799666881561,0.975824177265167,"cone"
"letter",2,0.1,1024,0.975799739360809,0.97563025355339,"cone"
"letter",4,1,512,0.981799781322479,0.975565612316131,"cone"
"letter",4,0.1,256,0.977799713611603,0.975500971078873,"rect"
"letter",3,1,256,0.980199754238129,0.975500971078873,"rect"
"letter",8,0.1,256,0.975799739360809,0.975436329841614,"rect"
"letter",2,0.1,1024,0.976199746131897,0.974983841180801,"rect"
"letter",4,1,256,0.975399732589722,0.974789917469025,"cone"
"letter",4,1,256,0.978399753570557,0.974595993757248,"rect"
"letter",3,1,1024,0.97819972038269,0.974402070045471,"rect"
"letter",3,1,512,0.977799773216248,0.974014222621918,"rect"
"letter",3,1,1024,0.979399740695953,0.973949581384659,"cone"
"letter",2,1,512,0.974999606609344,0.973755657672882,"rect"
"letter",8,0.1,1024,0.977599740028381,0.973691016435623,"cone"
"letter",2,1,512,0.975599765777588,0.973238527774811,"cone"
"letter",2,0.1,512,0.975399672985077,0.973173886537552,"rect"
"letter",2,1,1024,0.976399719715118,0.972915321588516,"rect"
"letter",2,0.1,256,0.975399732589722,0.972786039113998,"rect"
"letter",2,1,1024,0.979399740695953,0.972786039113998,"cone"
"letter",2,0.01,1024,0.974199652671814,0.97265675663948,"rect"
"letter",3,0.1,512,0.976399719715118,0.972527474164963,"rect"
"letter",3,1,512,0.974799692630768,0.972527474164963,"cone"
"letter",16,0.1,256,0.974399745464325,0.972462832927704,"rect"
"letter",3,0.1,512,0.976799726486206,0.972398191690445,"cone"
"letter",8,1,512,0.9751997590065,0.972268909215927,"cone"
"letter",8,1,256,0.97059965133667,0.972139626741409,"cone"
"letter",4,1,1024,0.977199792861938,0.972010344266891,"rect"
"letter",8,1,1024,0.972999751567841,0.971881061792374,"cone"
"letter",2,1,256,0.977599680423737,0.971622496843338,"rect"
"letter",8,0.1,256,0.976399660110474,0.97149321436882,"cone"
"letter",16,0.1,512,0.973399698734283,0.971363931894302,"cone"
